"Parameter","If other","Unit","Type of infectious disease model","Mixing","Study","Pathogen","Variant/Strain","Host","Host type","Host breed","Host Age (group)","Host other characterics","Seeder / Inoculated vaccinated","Contact vaccinated","Vaccine","Value","Lower confidence/credible level","Upper confidence / credible level","Frequentist / Bayesian estimation","Estimation method","Remarks","Reference","doi","Filled in by:"
"Probability of transmission via indirect contact","fomites",NA,NA,NA,"Observational","Avian Influenza","HPAI","Chicken",NA,NA,NA,NA,NA,NA,NA,0.422,0.069,0.731,NA,NA,"The objective of this study was to elicit experts’ opinions and gather estimates on the perceived probability of introduction and spread of avian influenza (AI) virus in the Australian broiler and layer industry. Using a modified Delphi method and a 4-step elicitation process, 11 experts were asked to give initial individual estimates for the various pathways and practices in the presented scenarios using a questionnaire. Following this, a workshop was conducted to present group averages of estimates and discussion was facilitated to obtain final individual estimates. For each question, estimates for all experts were combined using a discrete distribution, with weights allocated representing the level of expertise. Indirect contact with wild birds either via a contaminated water source or fomites was considered the most likely pathway of introduction of low pathogenic avian influenza (LPAI) on poultry farms.","Singh et al., 2018","https://doi.org/10.1371%2Fjournal.pone.0193730","AA"
"Probability of transmission via indirect contact","contamined water",NA,NA,NA,"Observational","Avian Influenza","HPAI","Chicken",NA,NA,NA,NA,NA,NA,NA,0.297,0.126,0.508,NA,NA,"The objective of this study was to elicit experts’ opinions and gather estimates on the perceived probability of introduction and spread of avian influenza (AI) virus in the Australian broiler and layer industry. Using a modified Delphi method and a 4-step elicitation process, 11 experts were asked to give initial individual estimates for the various pathways and practices in the presented scenarios using a questionnaire. Following this, a workshop was conducted to present group averages of estimates and discussion was facilitated to obtain final individual estimates. For each question, estimates for all experts were combined using a discrete distribution, with weights allocated representing the level of expertise. Indirect contact with wild birds either via a contaminated water source or fomites was considered the most likely pathway of introduction of low pathogenic avian influenza (LPAI) on poultry farms.","Singh et al., 2018","https://doi.org/10.1371%2Fjournal.pone.0193730","AA"
"Probability of transmission via indirect contact","contamined water",NA,NA,NA,"Observational","Avian Influenza","HPAI","Chicken",NA,NA,NA,NA,NA,NA,NA,0.501,0.081,0.744,NA,NA,"The objective of this study was to elicit experts’ opinions and gather estimates on the perceived probability of introduction and spread of avian influenza (AI) virus in the Australian broiler and layer industry. Using a modified Delphi method and a 4-step elicitation process, 11 experts were asked to give initial individual estimates for the various pathways and practices in the presented scenarios using a questionnaire. Following this, a workshop was conducted to present group averages of estimates and discussion was facilitated to obtain final individual estimates. For each question, estimates for all experts were combined using a discrete distribution, with weights allocated representing the level of expertise. Indirect contact with wild birds either via a contaminated water source or fomites was considered the most likely pathway of introduction of low pathogenic avian influenza (LPAI) on poultry farms.","Singh et al., 2018","https://doi.org/10.1371%2Fjournal.pone.0193730","AA"
"Probability of transmission via indirect contact","aerial dispersion",NA,NA,NA,"Observational","Avian Influenza","HPAI","Chicken",NA,NA,NA,NA,NA,NA,NA,0.072,0.014,0.3,NA,NA,"The objective of this study was to elicit experts’ opinions and gather estimates on the perceived probability of introduction and spread of avian influenza (AI) virus in the Australian broiler and layer industry. Using a modified Delphi method and a 4-step elicitation process, 11 experts were asked to give initial individual estimates for the various pathways and practices in the presented scenarios using a questionnaire. Following this, a workshop was conducted to present group averages of estimates and discussion was facilitated to obtain final individual estimates. For each question, estimates for all experts were combined using a discrete distribution, with weights allocated representing the level of expertise. Indirect contact with wild birds either via a contaminated water source or fomites was considered the most likely pathway of introduction of low pathogenic avian influenza (LPAI) on poultry farms.","Singh et al., 2018","https://doi.org/10.1371%2Fjournal.pone.0193730","AA"
"Probability of transmission via indirect contact","aerial dispersion",NA,NA,NA,"Observational","Avian Influenza","HPAI","Chicken",NA,NA,NA,NA,NA,NA,NA,0.178,0.015,0.432,NA,NA,"The objective of this study was to elicit experts’ opinions and gather estimates on the perceived probability of introduction and spread of avian influenza (AI) virus in the Australian broiler and layer industry. Using a modified Delphi method and a 4-step elicitation process, 11 experts were asked to give initial individual estimates for the various pathways and practices in the presented scenarios using a questionnaire. Following this, a workshop was conducted to present group averages of estimates and discussion was facilitated to obtain final individual estimates. For each question, estimates for all experts were combined using a discrete distribution, with weights allocated representing the level of expertise. Indirect contact with wild birds either via a contaminated water source or fomites was considered the most likely pathway of introduction of low pathogenic avian influenza (LPAI) on poultry farms.","Singh et al., 2018","https://doi.org/10.1371%2Fjournal.pone.0193730","AA"
"Other","probability of transmission from vector to host",NA,NA,NA,NA,"Bluetongue",NA,"Ruminants",NA,NA,NA,NA,NA,NA,NA,0.8,NA,NA,NA,NA,"In this paper, we compute R0 for BTV in a population comprising two host species, cattle and sheep. Estimates for each parameter which influences R0 were obtained from the published literature, using those applicable to the UK situation wherever possible.","Gubbins et al., 2007","https://doi.org/10.1098/rsif.2007.1110","AA"
"Other","probability of transmission from vector to host",NA,NA,NA,NA,"Bluetongue",NA,"Ruminants",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"In this paper, we compute R0 for BTV in a population comprising two host species, cattle and sheep. Estimates for each parameter which influences R0 were obtained from the published literature, using those applicable to the UK situation wherever possible.","Gubbins et al., 2007","https://doi.org/10.1098/rsif.2007.1110","AA"
"Other","probability of transmission from host to vector",NA,NA,NA,NA,"Bluetongue",NA,"Ruminants",NA,NA,NA,NA,NA,NA,NA,0.001,NA,NA,NA,NA,"In this paper, we compute R0 for BTV in a population comprising two host species, cattle and sheep. Estimates for each parameter which influences R0 were obtained from the published literature, using those applicable to the UK situation wherever possible.","Gubbins et al., 2007","https://doi.org/10.1098/rsif.2007.1110","AA"
"Other","probability of transmission from host to vector",NA,NA,NA,NA,"Bluetongue",NA,"Ruminants",NA,NA,NA,NA,NA,NA,NA,0.15,NA,NA,NA,NA,"In this paper, we compute R0 for BTV in a population comprising two host species, cattle and sheep. Estimates for each parameter which influences R0 were obtained from the published literature, using those applicable to the UK situation wherever possible.","Gubbins et al., 2007","https://doi.org/10.1098/rsif.2007.1110","AA"
"Basic reproduction number","median",NA,NA,NA,NA,"Bluetongue",NA,"Cattle",NA,NA,NA,NA,NA,NA,NA,0.81,NA,NA,NA,NA,"In this paper, we compute R0 for BTV in a population comprising two host species, cattle and sheep. Estimates for each parameter which influences R0 were obtained from the published literature, using those applicable to the UK situation wherever possible.","Gubbins et al., 2007","https://doi.org/10.1098/rsif.2007.1110","AA"
"Basic reproduction number","maximum",NA,NA,NA,NA,"Bluetongue",NA,"Cattle",NA,NA,NA,NA,NA,NA,NA,18.77,NA,NA,NA,NA,"In this paper, we compute R0 for BTV in a population comprising two host species, cattle and sheep. Estimates for each parameter which influences R0 were obtained from the published literature, using those applicable to the UK situation wherever possible.","Gubbins et al., 2007","https://doi.org/10.1098/rsif.2007.1110","AA"
"Basic reproduction number","median",NA,NA,NA,NA,"Bluetongue",NA,"Sheep",NA,NA,NA,NA,NA,NA,NA,0.73,NA,NA,NA,NA,"In this paper, we compute R0 for BTV in a population comprising two host species, cattle and sheep. Estimates for each parameter which influences R0 were obtained from the published literature, using those applicable to the UK situation wherever possible.","Gubbins et al., 2007","https://doi.org/10.1098/rsif.2007.1110","AA"
"Basic reproduction number","maximum",NA,NA,NA,NA,"Bluetongue",NA,"Sheep",NA,NA,NA,NA,NA,NA,NA,15.48,NA,NA,NA,NA,"In this paper, we compute R0 for BTV in a population comprising two host species, cattle and sheep. Estimates for each parameter which influences R0 were obtained from the published literature, using those applicable to the UK situation wherever possible.","Gubbins et al., 2007","https://doi.org/10.1098/rsif.2007.1110","AA"
"Basic reproduction number","median",NA,NA,NA,NA,"Bluetongue",NA,"Ruminants",NA,NA,NA,NA,NA,NA,NA,0.55,NA,NA,NA,NA,"In this paper, we compute R0 for BTV in a population comprising two host species, cattle and sheep. Estimates for each parameter which influences R0 were obtained from the published literature, using those applicable to the UK situation wherever possible.","Gubbins et al., 2007","https://doi.org/10.1098/rsif.2007.1110","AA"
"Basic reproduction number","maximum",NA,NA,NA,NA,"Bluetongue",NA,"Ruminants",NA,NA,NA,NA,NA,NA,NA,12.82,NA,NA,NA,NA,"In this paper, we compute R0 for BTV in a population comprising two host species, cattle and sheep. Estimates for each parameter which influences R0 were obtained from the published literature, using those applicable to the UK situation wherever possible.","Gubbins et al., 2007","https://doi.org/10.1098/rsif.2007.1110","AA"
"Basic reproduction number",NA,NA,NA,NA,NA,"Bluetongue","BTV-8","Cattle",NA,NA,NA,NA,NA,NA,NA,3.6,NA,NA,NA,NA,"In 2006 and 2007, sheep and cattle farms in the Netherlands were affected by an epidemic of bluetongue virus serotype 8 (BTV-8). In order to obtain insight into the within-farm spread of the virus, five affected cattle and five affected sheep farms were longitudinally monitored between early 2007 and mid or late 2008.","Hagenaars et al., 2021","https://doi.org/10.1371/journal.pone.0246565","AA"
"Basic reproduction number",NA,NA,NA,NA,NA,"Bluetongue","BTV-8","Cattle",NA,NA,NA,NA,NA,NA,NA,6.9,NA,NA,NA,NA,"In 2006 and 2007, sheep and cattle farms in the Netherlands were affected by an epidemic of bluetongue virus serotype 8 (BTV-8). In order to obtain insight into the within-farm spread of the virus, five affected cattle and five affected sheep farms were longitudinally monitored between early 2007 and mid or late 2008.","Hagenaars et al., 2021","https://doi.org/10.1371/journal.pone.0246565","AA"
"Basic reproduction number",NA,NA,NA,NA,NA,"Bluetongue","BTV-8","Cattle",NA,NA,NA,NA,NA,NA,NA,2.9,NA,NA,NA,NA,"In 2006 and 2007, sheep and cattle farms in the Netherlands were affected by an epidemic of bluetongue virus serotype 8 (BTV-8). In order to obtain insight into the within-farm spread of the virus, five affected cattle and five affected sheep farms were longitudinally monitored between early 2007 and mid or late 2008.","Hagenaars et al., 2021","https://doi.org/10.1371/journal.pone.0246565","AA"
"Basic reproduction number",NA,NA,NA,NA,NA,"Bluetongue","BTV-8","Cattle",NA,NA,NA,NA,NA,NA,NA,3.1,NA,NA,NA,NA,"In 2006 and 2007, sheep and cattle farms in the Netherlands were affected by an epidemic of bluetongue virus serotype 8 (BTV-8). In order to obtain insight into the within-farm spread of the virus, five affected cattle and five affected sheep farms were longitudinally monitored between early 2007 and mid or late 2008.","Hagenaars et al., 2021","https://doi.org/10.1371/journal.pone.0246565","AA"
"Basic reproduction number",NA,NA,NA,NA,NA,"Bluetongue","BTV-8","Sheep",NA,NA,NA,NA,NA,NA,NA,2.1,NA,NA,NA,NA,"In 2006 and 2007, sheep and cattle farms in the Netherlands were affected by an epidemic of bluetongue virus serotype 8 (BTV-8). In order to obtain insight into the within-farm spread of the virus, five affected cattle and five affected sheep farms were longitudinally monitored between early 2007 and mid or late 2008.","Hagenaars et al., 2021","https://doi.org/10.1371/journal.pone.0246565","AA"
"Basic reproduction number",NA,NA,NA,NA,NA,"Bluetongue","BTV-8","Sheep",NA,NA,NA,NA,NA,NA,NA,3.2,NA,NA,NA,NA,"In 2006 and 2007, sheep and cattle farms in the Netherlands were affected by an epidemic of bluetongue virus serotype 8 (BTV-8). In order to obtain insight into the within-farm spread of the virus, five affected cattle and five affected sheep farms were longitudinally monitored between early 2007 and mid or late 2008.","Hagenaars et al., 2021","https://doi.org/10.1371/journal.pone.0246565","AA"
"Basic reproduction number",NA,NA,NA,NA,NA,"Bluetongue","BTV-8","Sheep",NA,NA,NA,NA,NA,NA,NA,1.5,NA,NA,NA,NA,"In 2006 and 2007, sheep and cattle farms in the Netherlands were affected by an epidemic of bluetongue virus serotype 8 (BTV-8). In order to obtain insight into the within-farm spread of the virus, five affected cattle and five affected sheep farms were longitudinally monitored between early 2007 and mid or late 2008.","Hagenaars et al., 2021","https://doi.org/10.1371/journal.pone.0246565","AA"
"Basic reproduction number",NA,NA,NA,NA,NA,"Bluetongue","BTV-8","Sheep",NA,NA,NA,NA,NA,NA,NA,1.8,NA,NA,NA,NA,"In 2006 and 2007, sheep and cattle farms in the Netherlands were affected by an epidemic of bluetongue virus serotype 8 (BTV-8). In order to obtain insight into the within-farm spread of the virus, five affected cattle and five affected sheep farms were longitudinally monitored between early 2007 and mid or late 2008.","Hagenaars et al., 2021","https://doi.org/10.1371/journal.pone.0246565","AA"
"Basic reproduction number",NA,NA,NA,NA,NA,"Bluetongue","BTV-8","Sheep",NA,NA,NA,NA,NA,NA,NA,1.3,NA,NA,NA,NA,"In 2006 and 2007, sheep and cattle farms in the Netherlands were affected by an epidemic of bluetongue virus serotype 8 (BTV-8). In order to obtain insight into the within-farm spread of the virus, five affected cattle and five affected sheep farms were longitudinally monitored between early 2007 and mid or late 2008.","Hagenaars et al., 2021","https://doi.org/10.1371/journal.pone.0246565","AA"
"Transmission parameter","density dependent",NA,NA,NA,"Review","Bovine Tuberculosis",NA,"Cattle",NA,NA,NA,NA,NA,NA,NA,0.0099,NA,NA,NA,NA,"the methodological approaches used to model bTB and published in the peer-reviewed literature in the last decades were reviewed with a focus on the impact that the models’ assumptions may have had on their results, such as the assumption of density vs. frequency-dependent transmission, the existence of non-infectious and non-detectable stages, and the effect of extrinsic sources of infection (usually associated with wildlife reservoirs).","Alvarez et al., 2014","https://doi.org/10.1016/j.rvsc.2014.04.009","AA"
"Transmission parameter","density dependent",NA,NA,NA,"Review","Bovine Tuberculosis",NA,"Cattle",NA,NA,NA,NA,NA,NA,NA,0.00475,NA,NA,NA,NA,"the methodological approaches used to model bTB and published in the peer-reviewed literature in the last decades were reviewed with a focus on the impact that the models’ assumptions may have had on their results, such as the assumption of density vs. frequency-dependent transmission, the existence of non-infectious and non-detectable stages, and the effect of extrinsic sources of infection (usually associated with wildlife reservoirs).","Alvarez et al., 2014","https://doi.org/10.1016/j.rvsc.2014.04.009","AA"
"Transmission parameter","density dependent",NA,NA,NA,"Review","Bovine Tuberculosis",NA,"Cattle",NA,NA,NA,NA,NA,NA,NA,0.00134,NA,NA,NA,NA,"the methodological approaches used to model bTB and published in the peer-reviewed literature in the last decades were reviewed with a focus on the impact that the models’ assumptions may have had on their results, such as the assumption of density vs. frequency-dependent transmission, the existence of non-infectious and non-detectable stages, and the effect of extrinsic sources of infection (usually associated with wildlife reservoirs).","Alvarez et al., 2014","https://doi.org/10.1016/j.rvsc.2014.04.009","AA"
"Transmission parameter","density dependent",NA,NA,NA,"Review","Bovine Tuberculosis",NA,"Cattle",NA,NA,NA,NA,NA,NA,NA,0.00053,NA,NA,NA,NA,"the methodological approaches used to model bTB and published in the peer-reviewed literature in the last decades were reviewed with a focus on the impact that the models’ assumptions may have had on their results, such as the assumption of density vs. frequency-dependent transmission, the existence of non-infectious and non-detectable stages, and the effect of extrinsic sources of infection (usually associated with wildlife reservoirs).","Alvarez et al., 2014","https://doi.org/10.1016/j.rvsc.2014.04.009","AA"
"Transmission parameter","density dependent",NA,NA,NA,"Review","Bovine Tuberculosis",NA,"Cattle",NA,NA,NA,NA,NA,NA,NA,7.2e-05,NA,NA,NA,NA,"the methodological approaches used to model bTB and published in the peer-reviewed literature in the last decades were reviewed with a focus on the impact that the models’ assumptions may have had on their results, such as the assumption of density vs. frequency-dependent transmission, the existence of non-infectious and non-detectable stages, and the effect of extrinsic sources of infection (usually associated with wildlife reservoirs).","Alvarez et al., 2014","https://doi.org/10.1016/j.rvsc.2014.04.009","AA"
"Transmission parameter","density dependent",NA,NA,NA,"Review","Bovine Tuberculosis",NA,"Cattle",NA,NA,NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA,"the methodological approaches used to model bTB and published in the peer-reviewed literature in the last decades were reviewed with a focus on the impact that the models’ assumptions may have had on their results, such as the assumption of density vs. frequency-dependent transmission, the existence of non-infectious and non-detectable stages, and the effect of extrinsic sources of infection (usually associated with wildlife reservoirs).","Alvarez et al., 2014","https://doi.org/10.1016/j.rvsc.2014.04.009","AA"
"Transmission parameter","frequency dependent",NA,NA,NA,"Review","Bovine Tuberculosis",NA,"Cattle",NA,NA,NA,NA,NA,NA,NA,2.23,-3.4,7.9,NA,NA,"the methodological approaches used to model bTB and published in the peer-reviewed literature in the last decades were reviewed with a focus on the impact that the models’ assumptions may have had on their results, such as the assumption of density vs. frequency-dependent transmission, the existence of non-infectious and non-detectable stages, and the effect of extrinsic sources of infection (usually associated with wildlife reservoirs).","Alvarez et al., 2014","https://doi.org/10.1016/j.rvsc.2014.04.009","AA"
"Transmission parameter","frequency dependent",NA,NA,NA,"Review","Bovine Tuberculosis",NA,"Cattle",NA,NA,NA,NA,NA,NA,NA,5.2,NA,NA,NA,NA,"the methodological approaches used to model bTB and published in the peer-reviewed literature in the last decades were reviewed with a focus on the impact that the models’ assumptions may have had on their results, such as the assumption of density vs. frequency-dependent transmission, the existence of non-infectious and non-detectable stages, and the effect of extrinsic sources of infection (usually associated with wildlife reservoirs).","Alvarez et al., 2014","https://doi.org/10.1016/j.rvsc.2014.04.009","AA"
"Transmission parameter","frequency dependent",NA,NA,NA,"Review","Bovine Tuberculosis",NA,"Cattle",NA,NA,NA,NA,NA,NA,NA,2.3,1.5,3.6,NA,NA,"the methodological approaches used to model bTB and published in the peer-reviewed literature in the last decades were reviewed with a focus on the impact that the models’ assumptions may have had on their results, such as the assumption of density vs. frequency-dependent transmission, the existence of non-infectious and non-detectable stages, and the effect of extrinsic sources of infection (usually associated with wildlife reservoirs).","Alvarez et al., 2014","https://doi.org/10.1016/j.rvsc.2014.04.009","AA"
"Transmission parameter","frequency dependent",NA,NA,NA,"Review","Bovine Tuberculosis",NA,"Cattle",NA,NA,NA,NA,NA,NA,NA,2.76,NA,NA,NA,NA,"the methodological approaches used to model bTB and published in the peer-reviewed literature in the last decades were reviewed with a focus on the impact that the models’ assumptions may have had on their results, such as the assumption of density vs. frequency-dependent transmission, the existence of non-infectious and non-detectable stages, and the effect of extrinsic sources of infection (usually associated with wildlife reservoirs).","Alvarez et al., 2014","https://doi.org/10.1016/j.rvsc.2014.04.009","AA"
"Basic reproduction number",NA,NA,NA,NA,"Review","Bovine Tuberculosis",NA,"Cattle",NA,NA,NA,NA,NA,NA,NA,1.5,0.26,4.9,NA,NA,"the methodological approaches used to model bTB and published in the peer-reviewed literature in the last decades were reviewed with a focus on the impact that the models’ assumptions may have had on their results, such as the assumption of density vs. frequency-dependent transmission, the existence of non-infectious and non-detectable stages, and the effect of extrinsic sources of infection (usually associated with wildlife reservoirs).","Alvarez et al., 2014","https://doi.org/10.1016/j.rvsc.2014.04.009","AA"
"Basic reproduction number",NA,NA,NA,NA,"Review","Bovine Tuberculosis",NA,"Cattle",NA,NA,NA,NA,NA,NA,NA,4.9,0.99,14,NA,NA,"the methodological approaches used to model bTB and published in the peer-reviewed literature in the last decades were reviewed with a focus on the impact that the models’ assumptions may have had on their results, such as the assumption of density vs. frequency-dependent transmission, the existence of non-infectious and non-detectable stages, and the effect of extrinsic sources of infection (usually associated with wildlife reservoirs).","Alvarez et al., 2014","https://doi.org/10.1016/j.rvsc.2014.04.009","AA"
"Basic reproduction number",NA,NA,NA,NA,"Review","Bovine Tuberculosis",NA,"Cattle",NA,NA,NA,NA,NA,NA,NA,0.52,0.1,1.6,NA,NA,"the methodological approaches used to model bTB and published in the peer-reviewed literature in the last decades were reviewed with a focus on the impact that the models’ assumptions may have had on their results, such as the assumption of density vs. frequency-dependent transmission, the existence of non-infectious and non-detectable stages, and the effect of extrinsic sources of infection (usually associated with wildlife reservoirs).","Alvarez et al., 2014","https://doi.org/10.1016/j.rvsc.2014.04.009","AA"
"Basic reproduction number",NA,NA,NA,NA,"Review","Bovine Tuberculosis",NA,"Cattle",NA,NA,NA,NA,NA,NA,NA,3.6,0.73,8.85,NA,NA,"the methodological approaches used to model bTB and published in the peer-reviewed literature in the last decades were reviewed with a focus on the impact that the models’ assumptions may have had on their results, such as the assumption of density vs. frequency-dependent transmission, the existence of non-infectious and non-detectable stages, and the effect of extrinsic sources of infection (usually associated with wildlife reservoirs).","Alvarez et al., 2014","https://doi.org/10.1016/j.rvsc.2014.04.009","AA"
"Basic reproduction number",NA,NA,NA,NA,"Review","Bovine Tuberculosis",NA,"Cattle",NA,NA,NA,NA,NA,NA,NA,1.02,NA,NA,NA,NA,"the methodological approaches used to model bTB and published in the peer-reviewed literature in the last decades were reviewed with a focus on the impact that the models’ assumptions may have had on their results, such as the assumption of density vs. frequency-dependent transmission, the existence of non-infectious and non-detectable stages, and the effect of extrinsic sources of infection (usually associated with wildlife reservoirs).","Alvarez et al., 2014","https://doi.org/10.1016/j.rvsc.2014.04.009","AA"
"Basic reproduction number",NA,NA,NA,NA,"Review","Bovine Tuberculosis",NA,"Cattle",NA,NA,NA,NA,NA,NA,NA,1.11,NA,NA,NA,NA,"the methodological approaches used to model bTB and published in the peer-reviewed literature in the last decades were reviewed with a focus on the impact that the models’ assumptions may have had on their results, such as the assumption of density vs. frequency-dependent transmission, the existence of non-infectious and non-detectable stages, and the effect of extrinsic sources of infection (usually associated with wildlife reservoirs).","Alvarez et al., 2014","https://doi.org/10.1016/j.rvsc.2014.04.009","AA"
"Basic reproduction number","frequency dependent",NA,NA,NA,"Review","Bovine Tuberculosis",NA,"Cattle",NA,"no test and cull",NA,NA,NA,NA,NA,4.13,NA,NA,NA,NA,"the methodological approaches used to model bTB and published in the peer-reviewed literature in the last decades were reviewed with a focus on the impact that the models’ assumptions may have had on their results, such as the assumption of density vs. frequency-dependent transmission, the existence of non-infectious and non-detectable stages, and the effect of extrinsic sources of infection (usually associated with wildlife reservoirs).","Alvarez et al., 2014","https://doi.org/10.1016/j.rvsc.2014.04.009","AA"
"Basic reproduction number","frequency dependent",NA,NA,NA,"Review","Bovine Tuberculosis",NA,"Cattle",NA,"test and cull",NA,NA,NA,NA,NA,0.02,NA,NA,NA,NA,"the methodological approaches used to model bTB and published in the peer-reviewed literature in the last decades were reviewed with a focus on the impact that the models’ assumptions may have had on their results, such as the assumption of density vs. frequency-dependent transmission, the existence of non-infectious and non-detectable stages, and the effect of extrinsic sources of infection (usually associated with wildlife reservoirs).","Alvarez et al., 2014","https://doi.org/10.1016/j.rvsc.2014.04.009","AA"
"Transmission parameter",NA,NA,NA,NA,"Observational","Bovine Tuberculosis",NA,"Cattle",NA,NA,NA,NA,NA,NA,NA,1e-05,NA,NA,"Bayesian","posterior","Fitting models with Bayesian likelihood-based parameter inference is becoming increasingly important in infectious disease epidemiology. Detailed datasets present the opportunity to identify subsets of these data that capture important characteristics of the underlying epidemiology. One such dataset describes the epidemic of bovine tuberculosis (bTB) in British cattle, which is also an important exemplar of a disease with a wildlife reservoir (the Eurasian badger). Here, we evaluate a set of nested dynamic models of bTB transmission, including individual- and herd-level transmission heterogeneity and assuming minimal prior knowledge of the transmission and diagnostic test parameters. We performed a likelihood-based bootstrapping operation on the model to infer parameters based only on the recorded numbers of cattle testing positive for bTB at the start of each herd outbreak considering high- and low-risk areas separately.","O'Hare et al., 2014","https://doi.org/10.1098/rspb.2014.0248","AA"
"Transmission parameter",NA,NA,NA,NA,"Observational","Bovine Tuberculosis",NA,"Cattle",NA,NA,NA,NA,NA,NA,NA,0.01,NA,NA,"Bayesian","posterior","Fitting models with Bayesian likelihood-based parameter inference is becoming increasingly important in infectious disease epidemiology. Detailed datasets present the opportunity to identify subsets of these data that capture important characteristics of the underlying epidemiology. One such dataset describes the epidemic of bovine tuberculosis (bTB) in British cattle, which is also an important exemplar of a disease with a wildlife reservoir (the Eurasian badger). Here, we evaluate a set of nested dynamic models of bTB transmission, including individual- and herd-level transmission heterogeneity and assuming minimal prior knowledge of the transmission and diagnostic test parameters. We performed a likelihood-based bootstrapping operation on the model to infer parameters based only on the recorded numbers of cattle testing positive for bTB at the start of each herd outbreak considering high- and low-risk areas separately.","O'Hare et al., 2014","https://doi.org/10.1098/rspb.2014.0248","AA"
"Basic reproduction number",NA,"HRA",NA,NA,"Review","Bovine Tuberculosis",NA,"Cattle",NA,NA,NA,NA,NA,NA,NA,1.3,NA,NA,"Bayesian","posterior","Fitting models with Bayesian likelihood-based parameter inference is becoming increasingly important in infectious disease epidemiology. Detailed datasets present the opportunity to identify subsets of these data that capture important characteristics of the underlying epidemiology. One such dataset describes the epidemic of bovine tuberculosis (bTB) in British cattle, which is also an important exemplar of a disease with a wildlife reservoir (the Eurasian badger). Here, we evaluate a set of nested dynamic models of bTB transmission, including individual- and herd-level transmission heterogeneity and assuming minimal prior knowledge of the transmission and diagnostic test parameters. We performed a likelihood-based bootstrapping operation on the model to infer parameters based only on the recorded numbers of cattle testing positive for bTB at the start of each herd outbreak considering high- and low-risk areas separately.","O'Hare et al., 2014","https://doi.org/10.1098/rspb.2014.0248","AA"
"Basic reproduction number",NA,"HRA",NA,NA,"Review","Bovine Tuberculosis",NA,"Cattle",NA,NA,NA,NA,NA,NA,NA,1.9,NA,NA,"Bayesian","posterior","Fitting models with Bayesian likelihood-based parameter inference is becoming increasingly important in infectious disease epidemiology. Detailed datasets present the opportunity to identify subsets of these data that capture important characteristics of the underlying epidemiology. One such dataset describes the epidemic of bovine tuberculosis (bTB) in British cattle, which is also an important exemplar of a disease with a wildlife reservoir (the Eurasian badger). Here, we evaluate a set of nested dynamic models of bTB transmission, including individual- and herd-level transmission heterogeneity and assuming minimal prior knowledge of the transmission and diagnostic test parameters. We performed a likelihood-based bootstrapping operation on the model to infer parameters based only on the recorded numbers of cattle testing positive for bTB at the start of each herd outbreak considering high- and low-risk areas separately.","O'Hare et al., 2014","https://doi.org/10.1098/rspb.2014.0248","AA"
"Basic reproduction number",NA,"LRA",NA,NA,"Review","Bovine Tuberculosis",NA,"Cattle",NA,NA,NA,NA,NA,NA,NA,0.6,NA,NA,"Bayesian","posterior","Fitting models with Bayesian likelihood-based parameter inference is becoming increasingly important in infectious disease epidemiology. Detailed datasets present the opportunity to identify subsets of these data that capture important characteristics of the underlying epidemiology. One such dataset describes the epidemic of bovine tuberculosis (bTB) in British cattle, which is also an important exemplar of a disease with a wildlife reservoir (the Eurasian badger). Here, we evaluate a set of nested dynamic models of bTB transmission, including individual- and herd-level transmission heterogeneity and assuming minimal prior knowledge of the transmission and diagnostic test parameters. We performed a likelihood-based bootstrapping operation on the model to infer parameters based only on the recorded numbers of cattle testing positive for bTB at the start of each herd outbreak considering high- and low-risk areas separately.","O'Hare et al., 2014","https://doi.org/10.1098/rspb.2014.0248","AA"
"Basic reproduction number",NA,"LRA",NA,NA,"Review","Bovine Tuberculosis",NA,"Cattle",NA,NA,NA,NA,NA,NA,NA,1.4,NA,NA,"Bayesian","posterior","Fitting models with Bayesian likelihood-based parameter inference is becoming increasingly important in infectious disease epidemiology. Detailed datasets present the opportunity to identify subsets of these data that capture important characteristics of the underlying epidemiology. One such dataset describes the epidemic of bovine tuberculosis (bTB) in British cattle, which is also an important exemplar of a disease with a wildlife reservoir (the Eurasian badger). Here, we evaluate a set of nested dynamic models of bTB transmission, including individual- and herd-level transmission heterogeneity and assuming minimal prior knowledge of the transmission and diagnostic test parameters. We performed a likelihood-based bootstrapping operation on the model to infer parameters based only on the recorded numbers of cattle testing positive for bTB at the start of each herd outbreak considering high- and low-risk areas separately.","O'Hare et al., 2014","https://doi.org/10.1098/rspb.2014.0248","AA"
"Transmission parameter",NA,NA,"SOEI",NA,"Observational","Bovine Tuberculosis",NA,"Cattle",NA,NA,NA,NA,NA,NA,NA,0.014,NA,NA,"Bayesian",NA,"We developed a compartmental stochastic model to simulate bTB within-herd transmission, fed it with epidemiological data from 22 herds (obtained from a previous work) and carried out parameter inference using Approximate Bayesian Computing methods We also estimated the “Within-herd transmission potential Number” (Rh), i.e. the average number of secondary cases generated by a single animal infected introduced into a totally susceptible herd, considering different scenarios depending on the frequency of controls. The median global values obtained for the transmission parameters were: for the transmission coefficient (β), 0.014 newly infected animals per infectious individual per day (i.e. 5.2 per year), for the rate at which infected individuals become infectious (α), 0.01 per day (equivalent to a latent period of 97 days)","Ciaravino et al., 2018","https://doi.org/10.1016/j.epidem.2018.01.003","AA"
