"","Parameter","If other","Unit","Study","Pathogen","Variant/Strain","Host","Host type","Host breed","Host Age (group)","Host other characterics","Inoculated / Contact","Vaccine","Value","Lower confidence/credible level","Upper confidence / credible level","Frequentist / Bayesian estimation","Remarks","Reference","doi","Filled in by:"
"147","Infectious period",NA,"days","Field","Avian Influenza","H5N1","Poultry",NA,NA,NA,NA,NA,NA,7.9,NA,NA,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Ssematimba et al.","https://doi.org/10.1111%2Ftbed.14678","AA"
"148","Infectious period",NA,"days","Field","Avian Influenza","H5N1","Poultry",NA,NA,NA,NA,NA,NA,8.1,NA,NA,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Ssematimba et al.","https://doi.org/10.1111%2Ftbed.14679","AA"
"149","Infectious period",NA,"days","Field","Avian Influenza","H5N1","Poultry",NA,NA,NA,NA,NA,NA,8.5,NA,NA,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Ssematimba et al.","https://doi.org/10.1111%2Ftbed.14680","AA"
"150","Infectious period",NA,"days","Field","Avian Influenza","H5N1","Poultry",NA,NA,NA,NA,NA,NA,8.5,NA,NA,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Ssematimba et al.","https://doi.org/10.1111%2Ftbed.14681","AA"
"151","Infectious period",NA,"days","Experimental","Avian Influenza","H5N1","Ducks",NA,NA,NA,NA,NA,NA,8.1,4.9,13.4,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Niqueux et al.","https://doi.org/10.1111%2Ftbed.14685","AA"
"152","Infectious period",NA,"days","Experimental","Avian Influenza","H5N2","Ducks",NA,NA,NA,NA,NA,NA,6.5,3.9,10.7,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Niqueux et al.","https://doi.org/10.1111%2Ftbed.14686","AA"
"153","Infectious period",NA,"days","Experimental","Avian Influenza","H5N3","Ducks",NA,NA,NA,NA,NA,NA,5.1,3.1,8.5,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Niqueux et al.","https://doi.org/10.1111%2Ftbed.14687","AA"
"154","Infectious period",NA,"days","Experimental","Avian Influenza","H7N1","Turkeys",NA,NA,NA,NA,NA,NA,1.47,1.3,1.7,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Saenz et al.","https://doi.org/10.1111%2Ftbed.14688","AA"
"155","Infectious period",NA,"days","Experimental","Avian Influenza","H7N1","Turkeys",NA,NA,NA,NA,NA,NA,7.65,7,8.3,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Saenz et al.","https://doi.org/10.1111%2Ftbed.14689","AA"
"156","Infectious period",NA,"days","Field","Avian Influenza","H7N1, H7N3","Turkeys",NA,NA,NA,NA,NA,NA,8.2,6.5,10.6,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Comin et al.","https://doi.org/10.1111%2Ftbed.14690","AA"
"157","Infectious period",NA,"days","Field","Avian Influenza","H7N1, H7N3","Turkeys",NA,NA,NA,NA,NA,NA,2.3,1.3,3.5,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Comin et al.","https://doi.org/10.1111%2Ftbed.14691","AA"
"158","Infectious period",NA,"days","Field","Avian Influenza","H5N1","Poultry",NA,NA,NA,NA,NA,NA,7,NA,NA,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Ward et al.","https://doi.org/10.1111%2Ftbed.14698","AA"
"159","Infectious period",NA,"days","Field","Avian Influenza","H5N1","Poultry",NA,NA,NA,NA,NA,NA,7,NA,NA,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Ward et al.","https://doi.org/10.1111%2Ftbed.14699","AA"
"160","Infectious period",NA,"days","Field","Avian Influenza","H5N1","Poultry",NA,NA,NA,NA,NA,NA,7,NA,NA,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Ward et al.","https://doi.org/10.1111%2Ftbed.14700","AA"
"161","Infectious period",NA,"days","Field","Avian Influenza","H5N1","Poultry",NA,NA,NA,NA,NA,NA,7,NA,NA,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Ward et al.","https://doi.org/10.1111%2Ftbed.14701","AA"
"162","Infectious period",NA,"days","Field","Avian Influenza","H7N7","Poultry",NA,NA,NA,NA,NA,NA,4,NA,NA,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Bos et al.","https://doi.org/10.1111%2Ftbed.14706","AA"
"163","Infectious period",NA,"days","Experimental","Avian Influenza","H7N7","Turkeys",NA,NA,NA,NA,NA,NA,6.2,NA,NA,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Bos et al.","https://doi.org/10.1111%2Ftbed.14707","AA"
"164","Infectious period",NA,"days","Field","Avian Influenza","H7N1","Turkeys",NA,NA,NA,NA,NA,NA,2,NA,NA,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Bos et al.","https://doi.org/10.1111%2Ftbed.14708","AA"
"165","Infectious period",NA,"days","Field","Avian Influenza","H7N1","Chickens, broilers",NA,NA,NA,NA,NA,NA,2,NA,NA,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Bos et al.","https://doi.org/10.1111%2Ftbed.14709","AA"
"166","Infectious period",NA,"days","Field","Avian Influenza","H5N1","Poultry",NA,NA,NA,NA,NA,NA,7,NA,NA,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Marquetoux et al.","https://doi.org/10.1111%2Ftbed.14710","AA"
"167","Infectious period",NA,"days","Field","Avian Influenza","H5N1","Poultry",NA,NA,NA,NA,NA,NA,7,NA,NA,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Marquetoux et al.","https://doi.org/10.1111%2Ftbed.14711","AA"
"168","Infectious period",NA,"days","Field","Avian Influenza","H5N1","Poultry",NA,NA,NA,NA,NA,NA,14,NA,NA,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Marquetoux et al.","https://doi.org/10.1111%2Ftbed.14712","AA"
"169","Infectious period",NA,"days","Field","Avian Influenza","H5N1","Poultry",NA,NA,NA,NA,NA,NA,14,NA,NA,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Marquetoux et al.","https://doi.org/10.1111%2Ftbed.14713","AA"
"170","Infectious period",NA,"days","Field","Avian Influenza","H5N1","Poultry",NA,NA,NA,NA,NA,NA,7,NA,NA,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Pandit et al.","https://doi.org/10.1111%2Ftbed.14714","AA"
"171","Infectious period",NA,"days","Field","Avian Influenza","H5N1","Poultry",NA,NA,NA,NA,NA,NA,7,NA,NA,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Pandit et al.","https://doi.org/10.1111%2Ftbed.14715","AA"
"172","Infectious period",NA,"days","Field","Avian Influenza","H5N1","Poultry",NA,NA,NA,NA,NA,NA,7,NA,NA,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Pandit et al.","https://doi.org/10.1111%2Ftbed.14716","AA"
"173","Infectious period",NA,"days","Field","Avian Influenza","H5N1","Poultry",NA,NA,NA,NA,NA,NA,7,NA,NA,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Pandit et al.","https://doi.org/10.1111%2Ftbed.14717","AA"
"174","Infectious period",NA,"days","Field","Avian Influenza","H5N1","Poultry",NA,NA,NA,NA,NA,NA,12,NA,NA,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Bett et al.","https://doi.org/10.1111%2Ftbed.14718","AA"
"175","Infectious period",NA,"days","Field","Avian Influenza","H7N7","Chickens",NA,NA,NA,NA,NA,NA,13.8,9.9,17.6,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Stegeman et al.","https://doi.org/10.1111%2Ftbed.14719","AA"
"176","Infectious period",NA,"days","Field","Avian Influenza","H7N7","Chickens",NA,NA,NA,NA,NA,NA,8,NA,NA,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Stegeman et al.","https://doi.org/10.1111%2Ftbed.14720","AA"
"177","Infectious period",NA,"days","Experimental","Avian Influenza","H7N1","Chickens",NA,NA,NA,NA,NA,NA,7.7,6.7,8.7,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Gonzales et al.","https://doi.org/10.1111%2Ftbed.14721","AA"
"178","Infectious period",NA,"days","Experimental","Avian Influenza","H7N1","Chickens",NA,NA,NA,NA,NA,NA,7.7,6.7,8.7,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Gonzales et al.","https://doi.org/10.1111%2Ftbed.14722","AA"
"179","Infectious period",NA,"days","Experimental","Avian Influenza","H7N3","Chickens",NA,NA,NA,NA,NA,NA,10.03,8.5,11.56,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Gonzales et al.","https://doi.org/10.1111%2Ftbed.14723","AA"
"180","Infectious period",NA,"days","Experimental","Avian Influenza","H7N3","Chickens",NA,NA,NA,NA,NA,NA,13.32,11.28,15.35,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Gonzales et al.","https://doi.org/10.1111%2Ftbed.14724","AA"
"181","Infectious period",NA,"days","Field","Avian Influenza","H7N3","Chickens, layers",NA,NA,NA,NA,NA,NA,7.69,5.88,11.11,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Gonzales et al.","https://doi.org/10.1111%2Ftbed.14725","AA"
"182","Infectious period",NA,"days","Field","Avian Influenza","H7N3","Chickens, layers",NA,NA,NA,NA,NA,NA,7.69,6.25,10,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Gonzales et al.","https://doi.org/10.1111%2Ftbed.14726","AA"
"183","Infectious period",NA,"days","Field","Avian Influenza","H7N3","Chickens, layers",NA,NA,NA,NA,NA,NA,9.09,6.25,20,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Gonzales et al.","https://doi.org/10.1111%2Ftbed.14727","AA"
"184","Infectious period",NA,"days","Field","Avian Influenza","H7N3","Chickens, layers",NA,NA,NA,NA,NA,NA,9.09,5.88,25,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Gonzales et al.","https://doi.org/10.1111%2Ftbed.14728","AA"
"185","Infectious period",NA,"days","Experimental","Avian Influenza","H7N7","Layer chickens",NA,NA,NA,NA,NA,NA,7.8,7,8.6,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Gonzales et al.","https://doi.org/10.1111%2Ftbed.14729","AA"
"186","Infectious period",NA,"days","Experimental","Avian Influenza","H7N7","Layer chickens",NA,NA,NA,NA,NA,NA,7.8,7,8.6,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Gonzales et al.","https://doi.org/10.1111%2Ftbed.14730","AA"
"187","Infectious period",NA,"days","Experimental","Avian Influenza","H7N7","Layer chickens",NA,NA,NA,NA,NA,NA,6.4,5.4,7.4,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Gonzales et al.","https://doi.org/10.1111%2Ftbed.14731","AA"
"188","Infectious period",NA,"days","Experimental","Avian Influenza","H7N7","Layer chickens",NA,NA,NA,NA,NA,NA,6.4,5.4,7.4,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Gonzales et al.","https://doi.org/10.1111%2Ftbed.14732","AA"
"189","Infectious period",NA,"days","Experimental","Avian Influenza","H5N2","Chickens",NA,NA,NA,NA,NA,NA,4.25,2.57,5.93,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Van der Goot et al.","https://doi.org/10.1111%2Ftbed.14747","AA"
"190","Infectious period",NA,"days","Experimental","Avian Influenza","H5N2","Chickens",NA,NA,NA,NA,NA,NA,4.25,2.57,5.96,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Van der Goot et al.","https://doi.org/10.1111%2Ftbed.14748","AA"
"191","Infectious period",NA,"days","Experimental","Avian Influenza","H5N2","Chickens",NA,NA,NA,NA,NA,NA,6.8,4.91,8.69,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Van der Goot et al.","https://doi.org/10.1111%2Ftbed.14749","AA"
"192","Infectious period",NA,"days","Experimental","Avian Influenza","H5N2","Chickens",NA,NA,NA,NA,NA,NA,6.8,4.91,8.69,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Van der Goot et al.","https://doi.org/10.1111%2Ftbed.14750","AA"
"193","Infectious period",NA,"days","Experimental","Avian Influenza","H5N2","Chickens",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Van der Goot et al.","https://doi.org/10.1111%2Ftbed.14751","AA"
"194","Infectious period",NA,"days","Experimental","Avian Influenza","H5N2","Chickens",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Van der Goot et al.","https://doi.org/10.1111%2Ftbed.14752","AA"
"195","Infectious period",NA,"days","Experimental","Avian Influenza","H5N1","Layer chickens",NA,NA,NA,NA,NA,NA,1.5,0,7.8,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Spekreijse et al.","https://doi.org/10.1111%2Ftbed.14753","AA"
"196","Infectious period",NA,"days","Experimental","Avian Influenza","H5N1","Layer chickens",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Spekreijse et al.","https://doi.org/10.1111%2Ftbed.14754","AA"
"197","Infectious period",NA,"days","Experimental","Avian Influenza","H5N1","Layer chickens",NA,NA,NA,NA,NA,NA,1.3,0.8,1.7,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Spekreijse et al.","https://doi.org/10.1111%2Ftbed.14755","AA"
"198","Infectious period",NA,"days","Experimental","Avian Influenza","H5N1","Layer chickens",NA,NA,NA,NA,NA,NA,2.8,0.6,5,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Spekreijse et al.","https://doi.org/10.1111%2Ftbed.14756","AA"
"199","Infectious period",NA,"days","Experimental","Avian Influenza","H5N1","Layer chickens",NA,NA,NA,NA,NA,NA,1.4,1,1.7,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Spekreijse et al.","https://doi.org/10.1111%2Ftbed.14757","AA"
"200","Infectious period",NA,"days","Experimental","Avian Influenza","H5N1","Layer chickens",NA,NA,NA,NA,NA,NA,1.8,1.2,2.4,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Spekreijse et al.","https://doi.org/10.1111%2Ftbed.14758","AA"
"201","Infectious period",NA,"days","Field","Avian Influenza","H5N1","Laying hens, broiler chickens",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Tiensin et al.","https://doi.org/10.1111%2Ftbed.14759","AA"
"202","Infectious period",NA,"days","Field","Avian Influenza","H5N1","Laying hens, broiler chickens",NA,NA,NA,NA,NA,NA,2,NA,NA,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Tiensin et al.","https://doi.org/10.1111%2Ftbed.14760","AA"
"203","Infectious period",NA,"days","Field","Avian Influenza","H5N1","Laying hens, broiler chickens",NA,NA,NA,NA,NA,NA,3,NA,NA,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Tiensin et al.","https://doi.org/10.1111%2Ftbed.14761","AA"
"204","Infectious period",NA,"days","Field","Avian Influenza","H5N1","Laying hens, broiler chickens",NA,NA,NA,NA,NA,NA,4,NA,NA,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Tiensin et al.","https://doi.org/10.1111%2Ftbed.14762","AA"
"205","Infectious period",NA,"days","Field","Avian Influenza","H5N1","Backyard chickens, fighting cocks",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Tiensin et al.","https://doi.org/10.1111%2Ftbed.14763","AA"
"206","Infectious period",NA,"days","Field","Avian Influenza","H5N1","Backyard chickens, fighting cocks",NA,NA,NA,NA,NA,NA,2,NA,NA,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Tiensin et al.","https://doi.org/10.1111%2Ftbed.14764","AA"
"207","Infectious period",NA,"days","Field","Avian Influenza","H5N1","Backyard chickens, fighting cocks",NA,NA,NA,NA,NA,NA,3,NA,NA,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Tiensin et al.","https://doi.org/10.1111%2Ftbed.14765","AA"
"208","Infectious period",NA,"days","Field","Avian Influenza","H5N1","Backyard chickens, fighting cocks",NA,NA,NA,NA,NA,NA,4,NA,NA,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Tiensin et al.","https://doi.org/10.1111%2Ftbed.14766","AA"
"209","Infectious period",NA,"days","Experimental","Avian Influenza","H7N7","Chickens",NA,NA,NA,NA,NA,NA,6.3,3.9,8.7,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Van der Goot et al.","https://doi.org/10.1111%2Ftbed.14767","AA"
"210","Infectious period",NA,"days","Experimental","Avian Influenza","H5N1","Chickens",NA,NA,NA,NA,NA,NA,2.5,2.2,2.8,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Bouma et al.","https://doi.org/10.1111%2Ftbed.14772","AA"
"211","Infectious period",NA,"days","Experimental","Avian Influenza","H5N1","Chickens",NA,NA,NA,NA,NA,NA,1.3,0.92,1.8,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Bouma et al.","https://doi.org/10.1111%2Ftbed.14773","AA"
"212","Infectious period",NA,"days","Field","Avian Influenza","H7N1","Poultry",NA,NA,NA,NA,NA,NA,12.3,NA,NA,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Mannelli et al.","https://doi.org/10.1111%2Ftbed.14774","AA"
"213","Infectious period",NA,"days","Field","Avian Influenza","H7N1","Poultry",NA,NA,NA,NA,NA,NA,11.3,NA,NA,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Mannelli et al.","https://doi.org/10.1111%2Ftbed.14775","AA"
"214","Infectious period",NA,"days",NA,"Avian Influenza","H5N1","Chickens",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review","Tiensin et al","https://doi.org/10.1186/s13567-023-01219-0","TV/AA"
"215","Infectious period",NA,"days",NA,"Avian Influenza","H5N1","Chickens",NA,NA,NA,NA,NA,NA,4,NA,NA,NA,"Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review","Tiensin et al","https://doi.org/10.1186/s13567-023-01219-0","TV/AA"
"216","Infectious period",NA,"days",NA,"Avian Influenza","H5N1","Chickens, ducks and geese",NA,NA,NA,NA,NA,NA,8.5,7.6,9.4,NA,"Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review","Walker et al","https://doi.org/10.1186/s13567-023-01219-0","TV/AA"
"217","Infectious period",NA,"days",NA,"Avian Influenza","H5N1","Poultry",NA,NA,NA,NA,NA,NA,7,NA,NA,NA,"Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review","Marquetoux et al","https://doi.org/10.1186/s13567-023-01219-0","TV/AA"
"218","Infectious period",NA,"days",NA,"Avian Influenza","H5N1","Poultry",NA,NA,NA,NA,NA,NA,14,NA,NA,NA,"Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review","Marquetoux et al","https://doi.org/10.1186/s13567-023-01219-0","TV/AA"
"219","Infectious period",NA,"days",NA,"Avian Influenza","H5N1","Poultry",NA,NA,NA,NA,NA,NA,4.74,3.84,5.91,NA,"Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review","Walker et al","https://doi.org/10.1186/s13567-023-01219-0","TV/AA"
"220","Infectious period",NA,"days",NA,"Avian Influenza","H5N1","Poultry",NA,NA,NA,NA,NA,NA,9.1,7.29,11.21,NA,"Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review","Walker et al","https://doi.org/10.1186/s13567-023-01219-0","TV/AA"
"221","Infectious period",NA,"days",NA,"Avian Influenza","H5N1","Poultry",NA,NA,NA,NA,NA,NA,4,NA,NA,NA,"Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review","Delabouglise et al","https://doi.org/10.1186/s13567-023-01219-0","TV/AA"
"222","Infectious period",NA,"days",NA,"Avian Influenza","H5N1","Poultry",NA,NA,NA,NA,NA,NA,13,NA,NA,NA,"Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review","Delabouglise et al","https://doi.org/10.1186/s13567-023-01219-0","TV/AA"
"223","Infectious period",NA,"days",NA,"Avian Influenza","H5N1","Poultry",NA,NA,NA,NA,NA,NA,10,NA,NA,NA,"Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review","Smirnova & Tuncer","https://doi.org/10.1186/s13567-023-01219-0","TV/AA"
"224","Infectious period",NA,"days",NA,"Avian Influenza","H5N1","Poultry",NA,NA,NA,NA,NA,NA,10,NA,NA,NA,"Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review","Tuncer & Martcheva","https://doi.org/10.1186/s13567-023-01219-0","TV/AA"
"225","Infectious period",NA,"days",NA,"Avian Influenza",NA,NA,NA,NA,NA,NA,NA,NA,7.9,NA,NA,NA,"Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review","Ssematimba et al","https://doi.org/10.1186/s13567-023-01219-0","TV/AA"
"226","Infectious period",NA,"days",NA,"Avian Influenza","H5N1","Poultry",NA,NA,NA,NA,NA,NA,12,NA,NA,NA,"Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review","Ssematimba et al","https://doi.org/10.1186/s13567-023-01219-0","TV/AA"
"227","Infectious period",NA,"days",NA,"Avian Influenza","H5N1","Poultry",NA,NA,NA,NA,NA,NA,7,NA,NA,NA,"Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review","Pandit et al","https://doi.org/10.1186/s13567-023-01219-0","TV/AA"
"228","Infectious period",NA,"days",NA,"Avian Influenza","H5N1","Poultry",NA,NA,NA,NA,NA,NA,10,NA,NA,NA,"Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review","Pelletier et al","https://doi.org/10.1186/s13567-023-01219-0","TV/AA"
"229","Infectious period",NA,"days",NA,"Avian Influenza","H5N1","Poultry",NA,NA,NA,NA,NA,NA,12,NA,NA,NA,"Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review","Bett et al","https://doi.org/10.1186/s13567-023-01219-0","TV/AA"
"230","Infectious period",NA,"days",NA,"Avian Influenza","H5N1","Poultry",NA,NA,NA,NA,NA,NA,10,NA,NA,NA,"Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review","Lee et al","https://doi.org/10.1186/s13567-023-01219-0","TV/AA"
"231","Infectious period",NA,"days",NA,"Avian Influenza","H5N1","Poultry",NA,NA,NA,NA,NA,NA,7,NA,NA,NA,"Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review","Ward et al","https://doi.org/10.1186/s13567-023-01219-0","TV/AA"
"232","Infectious period",NA,"days",NA,"Avian Influenza","H5N2","Poultry",NA,NA,NA,NA,NA,NA,7,NA,NA,NA,"Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review","Rorres et al","https://doi.org/10.1186/s13567-023-01219-0","TV/AA"
"233","Infectious period",NA,"days",NA,"Avian Influenza","H5N2","Poultry",NA,NA,NA,NA,NA,NA,7,NA,NA,NA,"Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review","Rorres et al","https://doi.org/10.1186/s13567-023-01219-0","TV/AA"
"234","Infectious period",NA,"days",NA,"Avian Influenza","H5N2","Chickens and turkeys",NA,NA,NA,NA,NA,NA,17.22,16.57,17.87,NA,"Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review","Bonney et al","https://doi.org/10.1186/s13567-023-01219-0","TV/AA"
"235","Infectious period",NA,"days",NA,"Avian Influenza","H5N2","Turkeys",NA,NA,NA,NA,NA,NA,4,NA,NA,NA,"Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review","Ssematimba et al","https://doi.org/10.1186/s13567-023-01219-0","TV/AA"
"236","Infectious period",NA,"days",NA,"Avian Influenza",NA,NA,NA,NA,NA,NA,NA,NA,1.1,NA,NA,NA,"Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review","Hobbelen et al","https://doi.org/10.1186/s13567-023-01219-0","TV/AA"
"237","Infectious period",NA,"days",NA,"Avian Influenza","H5N8","Chickens and ducks",NA,NA,NA,NA,NA,NA,8.5,NA,NA,NA,"Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review","Hobbelen et al","https://doi.org/10.1186/s13567-023-01219-0","TV/AA"
"238","Infectious period",NA,"days",NA,"Avian Influenza","H5N8","Ducks",NA,NA,NA,NA,NA,NA,4.3,2.8,5.7,NA,"Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review","Vergne et al","https://doi.org/10.1186/s13567-023-01219-0","TV/AA"
"239","Infectious period",NA,"days",NA,"Avian Influenza","H5N8","Chickens",NA,NA,NA,NA,NA,NA,4,NA,NA,NA,"Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review","Hayma et al","https://doi.org/10.1186/s13567-023-01219-0","TV/AA"
"240","Infectious period",NA,"days",NA,"Avian Influenza","H5Nx","Poultry",NA,NA,NA,NA,NA,NA,4.5,NA,NA,NA,"Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review","Chen et al","https://doi.org/10.1186/s13567-023-01219-0","TV/AA"
"241","Infectious period",NA,"days",NA,"Avian Influenza","H7N1","Chickens, turkeys and others",NA,NA,NA,NA,NA,NA,11.82,6,26,NA,"Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review","Dorigatti et al","https://doi.org/10.1186/s13567-023-01219-0","TV/AA"
"242","Infectious period",NA,"days",NA,"Avian Influenza",NA,NA,NA,NA,NA,NA,NA,NA,6.9,3.9,9.9,NA,"Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review","Stegeman et al","https://doi.org/10.1186/s13567-023-01219-0","TV/AA"
"243","Infectious period",NA,"days",NA,"Avian Influenza","H7N7","Poultry",NA,NA,NA,NA,NA,NA,13.8,9.9,17.6,NA,"Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review","Stegeman et al","https://doi.org/10.1186/s13567-023-01219-0","TV/AA"
"244","Infectious period",NA,"days",NA,"Avian Influenza",NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,"Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review","Le Menach et al","https://doi.org/10.1186/s13567-023-01219-0","TV/AA"
