"","Parameter","If other","Unit","Type of infectious disease model","Mixing","Study","Pathogen","Variant/Strain","Host","Host type","Host breed","Host Age (group)","Host other characterics","Seeder / Inoculated vaccinated","Contact vaccinated","Vaccine","Value","Lower confidence/credible level","Upper confidence / credible level","Frequentist / Bayesian estimation","Estimation method","Remarks","Reference","doi","Filled in by:","ParameterType","Inoculated / Contact","Material","Test Type","study","Type of sample","Type of study","Time period","Country","Sampling purpose","Information level","Control pogramm in place","Type of programme","Coverage (regional/national)","Country status for the disease","Control plan type","Last updated","Link","Type","Table","Term","Explanation...47","...48","...49","...50","...51","...52","...53","...54","...55","...56","...57","...58","Explanation...59","Denote major changes to the template in this sheet","...61","...62","Transmission Parameters","Latent/incubation","Pathogen Survival","Diagnostic","Within Herd prevalence","Regional Prevalence","Control Programme"
"145","Transmission parameter",NA,NA,"SIR model",NA,"Field","Avian Influenza","H5N1","Laying hens, broiler chickens",NA,NA,NA,NA,NA,NA,NA,1.16,0.9,1.5,NA,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Tiensin et al.","https://doi.org/10.1111%2Ftbed.14761","AA","Transmission",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146","Transmission parameter",NA,NA,"SIR model",NA,"Field","Avian Influenza","H5N1","Laying hens, broiler chickens",NA,NA,NA,NA,NA,NA,NA,0.79,0.5,1.25,NA,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Tiensin et al.","https://doi.org/10.1111%2Ftbed.14762","AA","Transmission",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147","Transmission parameter",NA,NA,"SIR model",NA,"Field","Avian Influenza","H5N1","Backyard chickens, fighting cocks",NA,NA,NA,NA,NA,NA,NA,2.18,1.94,2.46,NA,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Tiensin et al.","https://doi.org/10.1111%2Ftbed.14763","AA","Transmission",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148","Transmission parameter",NA,NA,"SIR model",NA,"Field","Avian Influenza","H5N1","Backyard chickens, fighting cocks",NA,NA,NA,NA,NA,NA,NA,1.15,1.02,1.3,NA,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Tiensin et al.","https://doi.org/10.1111%2Ftbed.14764","AA","Transmission",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149","Transmission parameter",NA,NA,"SIR model",NA,"Field","Avian Influenza","H5N1","Backyard chickens, fighting cocks",NA,NA,NA,NA,NA,NA,NA,0.75,0.63,0.91,NA,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Tiensin et al.","https://doi.org/10.1111%2Ftbed.14765","AA","Transmission",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150","Transmission parameter",NA,NA,"SIR model",NA,"Field","Avian Influenza","H5N1","Backyard chickens, fighting cocks",NA,NA,NA,NA,NA,NA,NA,0.6,0.43,0.84,NA,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Tiensin et al.","https://doi.org/10.1111%2Ftbed.14766","AA","Transmission",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151","Transmission parameter",NA,NA,"SEIR model",NA,"Experimental","Avian Influenza","H7N7","Chickens",NA,NA,NA,NA,NA,NA,NA,33,NA,NA,NA,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Van der Goot et al.","https://doi.org/10.1111%2Ftbed.14767","AA","Transmission",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152","Transmission parameter",NA,NA,"Bayesian analysis",NA,"Experimental","Avian Influenza","H5N1","Chickens",NA,NA,NA,NA,NA,NA,NA,0.8,0.38,1.5,NA,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Bouma et al.","https://doi.org/10.1111%2Ftbed.14772","AA","Transmission",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153","Transmission parameter",NA,NA,"Bayesian analysis",NA,"Experimental","Avian Influenza","H5N1","Chickens",NA,NA,NA,NA,NA,NA,NA,0.74,0.27,1.6,NA,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Bouma et al.","https://doi.org/10.1111%2Ftbed.14773","AA","Transmission",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154","Transmission parameter",NA,NA,"GLM",NA,"Field","Avian Influenza","H7N1","Poultry",NA,NA,NA,NA,NA,NA,NA,0.15,0.09,0.25,NA,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Mannelli et al.","https://doi.org/10.1111%2Ftbed.14774","AA","Transmission",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155","Transmission parameter",NA,NA,"GLM",NA,"Field","Avian Influenza","H7N1","Poultry",NA,NA,NA,NA,NA,NA,NA,0.13,1,0.18,NA,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Mannelli et al.","https://doi.org/10.1111%2Ftbed.14775","AA","Transmission",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156","Transmission parameter",NA,NA,NA,NA,NA,"Avian Influenza","H5N1","Chickens",NA,NA,NA,NA,NA,NA,NA,0.6,0.43,0.84,NA,NA,"Parameters extracted from supplementary materials Lambert et al., 2022 Systematic Review","Tiensin et al","https://doi.org/10.1186/s13567-023-01219-0","TV/AA","Transmission",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157","Transmission parameter",NA,NA,NA,NA,NA,"Avian Influenza","H5N1","Chickens",NA,NA,NA,NA,NA,NA,NA,2.3,1.92,2.76,NA,NA,"Parameters extracted from supplementary materials Lambert et al., 2022 Systematic Review","Tiensin et al","https://doi.org/10.1186/s13567-023-01219-0","TV/AA","Transmission",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158","Transmission parameter",NA,NA,NA,NA,NA,"Avian Influenza","H5N1","Poultry",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Parameters extracted from supplementary materials Lambert et al., 2022 Systematic Review","Marquetoux et al","https://doi.org/10.1186/s13567-023-01219-2","TV/AA","Transmission",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159","Transmission parameter",NA,NA,NA,NA,NA,"Avian Influenza","H5N1","Poultry",NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,"Parameters extracted from supplementary materials Lambert et al., 2022 Systematic Review","Marquetoux et al","https://doi.org/10.1186/s13567-023-01219-2","TV/AA","Transmission",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160","Transmission parameter",NA,NA,NA,NA,NA,"Avian Influenza","H5N1","Chickens and ducks",NA,NA,NA,NA,NA,NA,NA,9.91e-07,7.6e-07,1.12e-06,NA,NA,"Parameters extracted from supplementary materials Lambert et al., 2022 Systematic Review","Retkute et al","https://doi.org/10.1186/s13567-023-01219-3","TV/AA","Transmission",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161","Transmission parameter",NA,NA,NA,NA,NA,"Avian Influenza","H5N1","Chickens and ducks",NA,NA,NA,NA,NA,NA,NA,4.1e-06,3.4e-06,5.2e-06,NA,NA,"Parameters extracted from supplementary materials Lambert et al., 2022 Systematic Review","Retkute et al","https://doi.org/10.1186/s13567-023-01219-3","TV/AA","Transmission",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"162","Transmission parameter",NA,NA,NA,NA,NA,"Avian Influenza","H5N1","Poultry",NA,NA,NA,NA,NA,NA,NA,1.85e-06,7.5e-07,4.88e-06,NA,NA,"Parameters extracted from supplementary materials Lambert et al., 2022 Systematic Review","Walker et al","https://doi.org/10.1186/s13567-023-01219-5","TV/AA","Transmission",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"163","Transmission parameter",NA,NA,NA,NA,NA,"Avian Influenza","H5N1","Poultry",NA,NA,NA,NA,NA,NA,NA,3.96e-06,4.5e-07,1.45e-05,NA,NA,"Parameters extracted from supplementary materials Lambert et al., 2022 Systematic Review","Walker et al","https://doi.org/10.1186/s13567-023-01219-5","TV/AA","Transmission",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"164","Transmission parameter",NA,NA,NA,NA,NA,"Avian Influenza","H5N1","Poultry",NA,NA,NA,NA,NA,NA,NA,1.4e-08,NA,NA,NA,NA,"Parameters extracted from supplementary materials Lambert et al., 2022 Systematic Review","Delabouglise et al","https://doi.org/10.1186/s13567-023-01219-6","TV/AA","Transmission",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"165","Transmission parameter",NA,NA,NA,NA,NA,"Avian Influenza","H5N1","Poultry",NA,NA,NA,NA,NA,NA,NA,4e-07,NA,NA,NA,NA,"Parameters extracted from supplementary materials Lambert et al., 2022 Systematic Review","Delabouglise et al","https://doi.org/10.1186/s13567-023-01219-6","TV/AA","Transmission",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166","Transmission parameter","probability",NA,NA,NA,NA,"Avian Influenza","H5N1","Chickens and ducks",NA,NA,NA,NA,NA,NA,NA,0.429,NA,NA,NA,NA,"Parameters extracted from supplementary materials Lambert et al., 2022 Systematic Review","Kim et al","https://doi.org/10.1186/s13567-023-01219-7","TV/AA","Transmission",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"167","Transmission parameter",NA,NA,NA,NA,NA,"Avian Influenza","H5N1","Poultry",NA,NA,NA,NA,NA,NA,NA,4.75e-05,NA,NA,NA,NA,"Parameters extracted from supplementary materials Lambert et al., 2022 Systematic Review","Tuncer & Martcheva","https://doi.org/10.1186/s13567-023-01219-10","TV/AA","Transmission",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168","Transmission parameter",NA,NA,NA,NA,NA,"Avian Influenza","H5N1","Poultry",NA,NA,NA,NA,NA,NA,NA,5.78e-05,NA,NA,NA,NA,"Parameters extracted from supplementary materials Lambert et al., 2022 Systematic Review","Tuncer & Martcheva","https://doi.org/10.1186/s13567-023-01219-10","TV/AA","Transmission",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169","Transmission parameter",NA,NA,NA,NA,NA,"Avian Influenza","H5N1","Chickens",NA,NA,NA,NA,NA,NA,NA,1.71e-10,5.86e-11,3.63e-10,NA,NA,"Parameters extracted from supplementary materials Lambert et al., 2022 Systematic Review","Hill et al","https://doi.org/10.1186/s13567-023-01219-11","TV/AA","Transmission",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"170","Transmission parameter",NA,NA,NA,NA,NA,"Avian Influenza","H5N1","Chickens",NA,NA,NA,NA,NA,NA,NA,1.06e-07,7.29e-09,3.78e-07,NA,NA,"Parameters extracted from supplementary materials Lambert et al., 2022 Systematic Review","Hill et al","https://doi.org/10.1186/s13567-023-01219-12","TV/AA","Transmission",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171","Transmission parameter",NA,NA,NA,NA,NA,"Avian Influenza","H5N1","Poultry",NA,NA,NA,NA,NA,NA,NA,0.08,0.06,0.1,NA,NA,"Parameters extracted from supplementary materials Lambert et al., 2022 Systematic Review","Ssematimba et al","https://doi.org/10.1186/s13567-023-01219-13","TV/AA","Transmission",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172","Transmission parameter",NA,NA,NA,NA,NA,"Avian Influenza","H5N1","Poultry",NA,NA,NA,NA,NA,NA,NA,0.11,0.08,0.2,NA,NA,"Parameters extracted from supplementary materials Lambert et al., 2022 Systematic Review","Ssematimba et al","https://doi.org/10.1186/s13567-023-01219-13","TV/AA","Transmission",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"173","Transmission parameter",NA,NA,NA,NA,NA,"Avian Influenza","H5N1","Poultry",NA,NA,NA,NA,NA,NA,NA,0.122,NA,NA,NA,NA,"Parameters extracted from supplementary materials Lambert et al., 2022 Systematic Review","Pandit et al","https://doi.org/10.1186/s13567-023-01219-14","TV/AA","Transmission",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174","Transmission parameter",NA,NA,NA,NA,NA,"Avian Influenza","H5N1","Poultry",NA,NA,NA,NA,NA,NA,NA,0.07,0.06,0.09,NA,NA,"Parameters extracted from supplementary materials Lambert et al., 2022 Systematic Review","Bett et al","https://doi.org/10.1186/s13567-023-01219-16","TV/AA","Transmission",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"175","Transmission parameter",NA,NA,NA,NA,NA,"Avian Influenza","H5N1","Poultry",NA,NA,NA,NA,NA,NA,NA,58,NA,NA,NA,NA,"Parameters extracted from supplementary materials Lambert et al., 2022 Systematic Review","Lee et al","https://doi.org/10.1186/s13567-023-01219-17","TV/AA","Transmission",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"176","Transmission parameter",NA,NA,NA,NA,NA,"Avian Influenza","H5N1","Poultry",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Parameters extracted from supplementary materials Lambert et al., 2022 Systematic Review","Ward et al","https://doi.org/10.1186/s13567-023-01219-18","TV/AA","Transmission",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"177","Transmission parameter",NA,NA,NA,NA,NA,"Avian Influenza","H5N1","Poultry",NA,NA,NA,NA,NA,NA,NA,2.001,NA,NA,NA,NA,"Parameters extracted from supplementary materials Lambert et al., 2022 Systematic Review","Ward et al","https://doi.org/10.1186/s13567-023-01219-18","TV/AA","Transmission",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"178","Transmission parameter",NA,NA,NA,NA,NA,"Avian Influenza","H5N2","Chickens and turkeys",NA,NA,NA,NA,NA,NA,NA,0.0061,0.0025,0.137,NA,NA,"Parameters extracted from supplementary materials Lambert et al., 2022 Systematic Review","Bonney et al","https://doi.org/10.1186/s13567-023-01219-21","TV/AA","Transmission",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"179","Transmission parameter",NA,NA,NA,NA,NA,"Avian Influenza","H5N2","Turkeys",NA,NA,NA,NA,NA,NA,NA,3.2,2.3,4.3,NA,NA,"Parameters extracted from supplementary materials Lambert et al., 2022 Systematic Review","Ssematimba et al","https://doi.org/10.1186/s13567-023-01219-22","TV/AA","Transmission",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"180","Transmission parameter",NA,NA,NA,NA,NA,"Avian Influenza","H5N6","Poultry",NA,NA,NA,NA,NA,NA,NA,0.0035,NA,NA,NA,NA,"Parameters extracted from supplementary materials Lambert et al., 2022 Systematic Review","Lee & Lao","https://doi.org/10.1186/s13567-023-01219-23","TV/AA","Transmission",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"181","Transmission parameter",NA,NA,NA,NA,NA,"Avian Influenza","H5N6","Poultry",NA,NA,NA,NA,NA,NA,NA,0.0012,1e-04,0.1,NA,NA,"Parameters extracted from supplementary materials Lambert et al., 2022 Systematic Review","Salvador et al","https://doi.org/10.1186/s13567-023-01219-24","TV/AA","Transmission",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"182","Transmission parameter",NA,NA,NA,NA,NA,"Avian Influenza","H5N6/H5N8","Chickens and ducks",NA,NA,NA,NA,NA,NA,NA,7e-05,NA,NA,NA,NA,"Parameters extracted from supplementary materials Lambert et al., 2022 Systematic Review","Lee et al","https://doi.org/10.1186/s13567-023-01219-25","TV/AA","Transmission",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"183","Transmission parameter",NA,NA,NA,NA,NA,"Avian Influenza","H5N6/H5N8","Chickens and ducks",NA,NA,NA,NA,NA,NA,NA,0.00707,NA,NA,NA,NA,"Parameters extracted from supplementary materials Lambert et al., 2022 Systematic Review","Lee et al","https://doi.org/10.1186/s13567-023-01219-25","TV/AA","Transmission",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"184","Transmission parameter",NA,NA,NA,NA,NA,"Avian Influenza","H5N8","Chickens and ducks",NA,NA,NA,NA,NA,NA,NA,0.95,0.3,2.3,NA,NA,"Parameters extracted from supplementary materials Lambert et al., 2022 Systematic Review","Hobbelen et al","https://doi.org/10.1186/s13567-023-01219-27","TV/AA","Transmission",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"185","Transmission parameter",NA,NA,NA,NA,NA,"Avian Influenza","H5N8","Chickens and ducks",NA,NA,NA,NA,NA,NA,NA,34.4,27.3,44.4,NA,NA,"Parameters extracted from supplementary materials Lambert et al., 2022 Systematic Review","Hobbelen et al","https://doi.org/10.1186/s13567-023-01219-27","TV/AA","Transmission",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"186","Transmission parameter",NA,NA,NA,NA,NA,"Avian Influenza","H5N8","Galliformes and palmipeds",NA,NA,NA,NA,NA,NA,NA,0.23,0.16,0.31,NA,NA,"Parameters extracted from supplementary materials Lambert et al., 2022 Systematic Review","Andronico et al","https://doi.org/10.1186/s13567-023-01219-28","TV/AA","Transmission",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"187","Transmission parameter",NA,NA,NA,NA,NA,"Avian Influenza","H5N8","Galliformes and palmipeds",NA,NA,NA,NA,NA,NA,NA,0.53,0.37,0.72,NA,NA,"Parameters extracted from supplementary materials Lambert et al., 2022 Systematic Review","Andronico et al","https://doi.org/10.1186/s13567-023-01219-28","TV/AA","Transmission",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"188","Transmission parameter",NA,NA,NA,NA,NA,"Avian Influenza","H5N8","Ducks",NA,NA,NA,NA,NA,NA,NA,4.1,2.8,5.8,NA,NA,"Parameters extracted from supplementary materials Lambert et al., 2022 Systematic Review","Vergne et al","https://doi.org/10.1186/s13567-023-01219-29","TV/AA","Transmission",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"189","Transmission parameter",NA,NA,NA,NA,NA,"Avian Influenza","H5N8","Chickens",NA,NA,NA,NA,NA,NA,NA,0.661,0.627,0.696,NA,NA,"Parameters extracted from supplementary materials Lambert et al., 2022 Systematic Review","Hayma et al","https://doi.org/10.1186/s13567-023-01219-30","TV/AA","Transmission",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190","Transmission parameter",NA,NA,NA,NA,NA,"Avian Influenza","H5N8","Chickens",NA,NA,NA,NA,NA,NA,NA,3.387,1.774,2.071,NA,NA,"Parameters extracted from supplementary materials Lambert et al., 2022 Systematic Review","Hayma et al","https://doi.org/10.1186/s13567-023-01219-30","TV/AA","Transmission",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
