"","Parameter","Pathogen","Host","Host type","Host breed","Host Age (group)","Host  other characterics","Type of study","Time period","Value","Lower confidence/credible level","Upper confidence / credible level","Remarks","Reference","doi","Filled in by:"
"54","Within herd prevalence","Hepatitis E","Pigs",NA,NA,"9-11 weeks","IgG","Survey","1999",0.342,NA,NA,"A survey to detect antibodies against hepatitis E virus (HEV) was undertaken on 41 Spanish pig farms using an indirect enzyme-linked immunosorbent assay (ELISA). Forty of the farms (97.6%) were positive for anti-HEV IgG antibodies, while 34/41 (82.9%) had IgM positive animals. The highest proportion of IgG positive pigs comprised the adult sows (45/74, 60.8%; P = 0.01), followed by young piglets aged 3–6 weeks (79/218, 36.2%). IgM positive pigs were more frequently found to be those animals ⩾12 weeks of age (P < 0.001).","Seminati et al., 2008","https://doi.org/10.1016/j.tvjl.2006.11.018","AA"
"55","Within herd prevalence","Hepatitis E","Pigs",NA,NA,"9-11 weeks","IgM","Survey","1999",0.375,NA,NA,"A survey to detect antibodies against hepatitis E virus (HEV) was undertaken on 41 Spanish pig farms using an indirect enzyme-linked immunosorbent assay (ELISA). Forty of the farms (97.6%) were positive for anti-HEV IgG antibodies, while 34/41 (82.9%) had IgM positive animals. The highest proportion of IgG positive pigs comprised the adult sows (45/74, 60.8%; P = 0.01), followed by young piglets aged 3–6 weeks (79/218, 36.2%). IgM positive pigs were more frequently found to be those animals ⩾12 weeks of age (P < 0.001).","Seminati et al., 2008","https://doi.org/10.1016/j.tvjl.2006.11.018","AA"
"56","Within herd prevalence","Hepatitis E","Pigs",NA,NA,">=12 weeks","IgG","Survey","1999",0.133,NA,NA,"A survey to detect antibodies against hepatitis E virus (HEV) was undertaken on 41 Spanish pig farms using an indirect enzyme-linked immunosorbent assay (ELISA). Forty of the farms (97.6%) were positive for anti-HEV IgG antibodies, while 34/41 (82.9%) had IgM positive animals. The highest proportion of IgG positive pigs comprised the adult sows (45/74, 60.8%; P = 0.01), followed by young piglets aged 3–6 weeks (79/218, 36.2%). IgM positive pigs were more frequently found to be those animals ⩾12 weeks of age (P < 0.001).","Seminati et al., 2008","https://doi.org/10.1016/j.tvjl.2006.11.018","AA"
"57","Within herd prevalence","Hepatitis E","Pigs",NA,NA,">=12 weeks","IgM","Survey","1999",0.429,NA,NA,"A survey to detect antibodies against hepatitis E virus (HEV) was undertaken on 41 Spanish pig farms using an indirect enzyme-linked immunosorbent assay (ELISA). Forty of the farms (97.6%) were positive for anti-HEV IgG antibodies, while 34/41 (82.9%) had IgM positive animals. The highest proportion of IgG positive pigs comprised the adult sows (45/74, 60.8%; P = 0.01), followed by young piglets aged 3–6 weeks (79/218, 36.2%). IgM positive pigs were more frequently found to be those animals ⩾12 weeks of age (P < 0.001).","Seminati et al., 2008","https://doi.org/10.1016/j.tvjl.2006.11.018","AA"
"58","Within herd prevalence","Hepatitis E","Pigs",NA,NA,"Gilts and Sows","IgG","Survey","1999",0.928,NA,NA,"A survey to detect antibodies against hepatitis E virus (HEV) was undertaken on 41 Spanish pig farms using an indirect enzyme-linked immunosorbent assay (ELISA). Forty of the farms (97.6%) were positive for anti-HEV IgG antibodies, while 34/41 (82.9%) had IgM positive animals. The highest proportion of IgG positive pigs comprised the adult sows (45/74, 60.8%; P = 0.01), followed by young piglets aged 3–6 weeks (79/218, 36.2%). IgM positive pigs were more frequently found to be those animals ⩾12 weeks of age (P < 0.001).","Seminati et al., 2008","https://doi.org/10.1016/j.tvjl.2006.11.018","AA"
"59","Within herd prevalence","Hepatitis E","Pigs",NA,NA,"Gilts and Sows","IgM","Survey","1999",0.571,NA,NA,"A survey to detect antibodies against hepatitis E virus (HEV) was undertaken on 41 Spanish pig farms using an indirect enzyme-linked immunosorbent assay (ELISA). Forty of the farms (97.6%) were positive for anti-HEV IgG antibodies, while 34/41 (82.9%) had IgM positive animals. The highest proportion of IgG positive pigs comprised the adult sows (45/74, 60.8%; P = 0.01), followed by young piglets aged 3–6 weeks (79/218, 36.2%). IgM positive pigs were more frequently found to be those animals ⩾12 weeks of age (P < 0.001).","Seminati et al., 2008","https://doi.org/10.1016/j.tvjl.2006.11.018","AA"
"60","Within herd prevalence","Hepatitis E","Pigs",NA,NA,"All ages","IgG","Survey","1999",0.575,NA,NA,"A survey to detect antibodies against hepatitis E virus (HEV) was undertaken on 41 Spanish pig farms using an indirect enzyme-linked immunosorbent assay (ELISA). Forty of the farms (97.6%) were positive for anti-HEV IgG antibodies, while 34/41 (82.9%) had IgM positive animals. The highest proportion of IgG positive pigs comprised the adult sows (45/74, 60.8%; P = 0.01), followed by young piglets aged 3–6 weeks (79/218, 36.2%). IgM positive pigs were more frequently found to be those animals ⩾12 weeks of age (P < 0.001).","Seminati et al., 2008","https://doi.org/10.1016/j.tvjl.2006.11.018","AA"
"61","Within herd prevalence","Hepatitis E","Pigs",NA,NA,"All ages","IgM","Survey","1999",0.257,NA,NA,"A survey to detect antibodies against hepatitis E virus (HEV) was undertaken on 41 Spanish pig farms using an indirect enzyme-linked immunosorbent assay (ELISA). Forty of the farms (97.6%) were positive for anti-HEV IgG antibodies, while 34/41 (82.9%) had IgM positive animals. The highest proportion of IgG positive pigs comprised the adult sows (45/74, 60.8%; P = 0.01), followed by young piglets aged 3–6 weeks (79/218, 36.2%). IgM positive pigs were more frequently found to be those animals ⩾12 weeks of age (P < 0.001).","Seminati et al., 2008","https://doi.org/10.1016/j.tvjl.2006.11.018","AA"
"62","Within herd prevalence","Hepatitis E","Pigs",NA,NA,"3-6 weeks","IgG","Survey","2000",0.636,NA,NA,"A survey to detect antibodies against hepatitis E virus (HEV) was undertaken on 41 Spanish pig farms using an indirect enzyme-linked immunosorbent assay (ELISA). Forty of the farms (97.6%) were positive for anti-HEV IgG antibodies, while 34/41 (82.9%) had IgM positive animals. The highest proportion of IgG positive pigs comprised the adult sows (45/74, 60.8%; P = 0.01), followed by young piglets aged 3–6 weeks (79/218, 36.2%). IgM positive pigs were more frequently found to be those animals ⩾12 weeks of age (P < 0.001).","Seminati et al., 2008","https://doi.org/10.1016/j.tvjl.2006.11.018","AA"
"63","Within herd prevalence","Hepatitis E","Pigs",NA,NA,"3-6 weeks","IgM","Survey","2000",0.091,NA,NA,"A survey to detect antibodies against hepatitis E virus (HEV) was undertaken on 41 Spanish pig farms using an indirect enzyme-linked immunosorbent assay (ELISA). Forty of the farms (97.6%) were positive for anti-HEV IgG antibodies, while 34/41 (82.9%) had IgM positive animals. The highest proportion of IgG positive pigs comprised the adult sows (45/74, 60.8%; P = 0.01), followed by young piglets aged 3–6 weeks (79/218, 36.2%). IgM positive pigs were more frequently found to be those animals ⩾12 weeks of age (P < 0.001).","Seminati et al., 2008","https://doi.org/10.1016/j.tvjl.2006.11.018","AA"
"64","Within herd prevalence","Hepatitis E","Pigs",NA,NA,"7-8 weeks","IgG","Survey","2000",0.65,NA,NA,"A survey to detect antibodies against hepatitis E virus (HEV) was undertaken on 41 Spanish pig farms using an indirect enzyme-linked immunosorbent assay (ELISA). Forty of the farms (97.6%) were positive for anti-HEV IgG antibodies, while 34/41 (82.9%) had IgM positive animals. The highest proportion of IgG positive pigs comprised the adult sows (45/74, 60.8%; P = 0.01), followed by young piglets aged 3–6 weeks (79/218, 36.2%). IgM positive pigs were more frequently found to be those animals ⩾12 weeks of age (P < 0.001).","Seminati et al., 2008","https://doi.org/10.1016/j.tvjl.2006.11.018","AA"
"65","Within herd prevalence","Hepatitis E","Pigs",NA,NA,"7-8 weeks","IgM","Survey","2000",0.263,NA,NA,"A survey to detect antibodies against hepatitis E virus (HEV) was undertaken on 41 Spanish pig farms using an indirect enzyme-linked immunosorbent assay (ELISA). Forty of the farms (97.6%) were positive for anti-HEV IgG antibodies, while 34/41 (82.9%) had IgM positive animals. The highest proportion of IgG positive pigs comprised the adult sows (45/74, 60.8%; P = 0.01), followed by young piglets aged 3–6 weeks (79/218, 36.2%). IgM positive pigs were more frequently found to be those animals ⩾12 weeks of age (P < 0.001).","Seminati et al., 2008","https://doi.org/10.1016/j.tvjl.2006.11.018","AA"
"66","Within herd prevalence","Hepatitis E","Pigs",NA,NA,"9-11 weeks","IgG","Survey","2000",0.372,NA,NA,"A survey to detect antibodies against hepatitis E virus (HEV) was undertaken on 41 Spanish pig farms using an indirect enzyme-linked immunosorbent assay (ELISA). Forty of the farms (97.6%) were positive for anti-HEV IgG antibodies, while 34/41 (82.9%) had IgM positive animals. The highest proportion of IgG positive pigs comprised the adult sows (45/74, 60.8%; P = 0.01), followed by young piglets aged 3–6 weeks (79/218, 36.2%). IgM positive pigs were more frequently found to be those animals ⩾12 weeks of age (P < 0.001).","Seminati et al., 2008","https://doi.org/10.1016/j.tvjl.2006.11.018","AA"
"67","Within herd prevalence","Hepatitis E","Pigs",NA,NA,"9-11 weeks","IgM","Survey","2000",0.268,NA,NA,"A survey to detect antibodies against hepatitis E virus (HEV) was undertaken on 41 Spanish pig farms using an indirect enzyme-linked immunosorbent assay (ELISA). Forty of the farms (97.6%) were positive for anti-HEV IgG antibodies, while 34/41 (82.9%) had IgM positive animals. The highest proportion of IgG positive pigs comprised the adult sows (45/74, 60.8%; P = 0.01), followed by young piglets aged 3–6 weeks (79/218, 36.2%). IgM positive pigs were more frequently found to be those animals ⩾12 weeks of age (P < 0.001).","Seminati et al., 2008","https://doi.org/10.1016/j.tvjl.2006.11.018","AA"
"68","Within herd prevalence","Hepatitis E","Pigs",NA,NA,">=12 weeks","IgG","Survey","2000",0.409,NA,NA,"A survey to detect antibodies against hepatitis E virus (HEV) was undertaken on 41 Spanish pig farms using an indirect enzyme-linked immunosorbent assay (ELISA). Forty of the farms (97.6%) were positive for anti-HEV IgG antibodies, while 34/41 (82.9%) had IgM positive animals. The highest proportion of IgG positive pigs comprised the adult sows (45/74, 60.8%; P = 0.01), followed by young piglets aged 3–6 weeks (79/218, 36.2%). IgM positive pigs were more frequently found to be those animals ⩾12 weeks of age (P < 0.001).","Seminati et al., 2008","https://doi.org/10.1016/j.tvjl.2006.11.018","AA"
"69","Within herd prevalence","Hepatitis E","Pigs",NA,NA,">=12 weeks","IgM","Survey","2000",0.525,NA,NA,"A survey to detect antibodies against hepatitis E virus (HEV) was undertaken on 41 Spanish pig farms using an indirect enzyme-linked immunosorbent assay (ELISA). Forty of the farms (97.6%) were positive for anti-HEV IgG antibodies, while 34/41 (82.9%) had IgM positive animals. The highest proportion of IgG positive pigs comprised the adult sows (45/74, 60.8%; P = 0.01), followed by young piglets aged 3–6 weeks (79/218, 36.2%). IgM positive pigs were more frequently found to be those animals ⩾12 weeks of age (P < 0.001).","Seminati et al., 2008","https://doi.org/10.1016/j.tvjl.2006.11.018","AA"
"70","Within herd prevalence","Hepatitis E","Pigs",NA,NA,"Gilts and Sows","IgG","Survey","2000",0,NA,NA,"A survey to detect antibodies against hepatitis E virus (HEV) was undertaken on 41 Spanish pig farms using an indirect enzyme-linked immunosorbent assay (ELISA). Forty of the farms (97.6%) were positive for anti-HEV IgG antibodies, while 34/41 (82.9%) had IgM positive animals. The highest proportion of IgG positive pigs comprised the adult sows (45/74, 60.8%; P = 0.01), followed by young piglets aged 3–6 weeks (79/218, 36.2%). IgM positive pigs were more frequently found to be those animals ⩾12 weeks of age (P < 0.001).","Seminati et al., 2008","https://doi.org/10.1016/j.tvjl.2006.11.018","AA"
"71","Within herd prevalence","Hepatitis E","Pigs",NA,NA,"Gilts and Sows","IgM","Survey","2000",0,NA,NA,"A survey to detect antibodies against hepatitis E virus (HEV) was undertaken on 41 Spanish pig farms using an indirect enzyme-linked immunosorbent assay (ELISA). Forty of the farms (97.6%) were positive for anti-HEV IgG antibodies, while 34/41 (82.9%) had IgM positive animals. The highest proportion of IgG positive pigs comprised the adult sows (45/74, 60.8%; P = 0.01), followed by young piglets aged 3–6 weeks (79/218, 36.2%). IgM positive pigs were more frequently found to be those animals ⩾12 weeks of age (P < 0.001).","Seminati et al., 2008","https://doi.org/10.1016/j.tvjl.2006.11.018","AA"
"72","Within herd prevalence","Hepatitis E","Pigs",NA,NA,"All ages","IgG","Survey","2000",0.458,NA,NA,"A survey to detect antibodies against hepatitis E virus (HEV) was undertaken on 41 Spanish pig farms using an indirect enzyme-linked immunosorbent assay (ELISA). Forty of the farms (97.6%) were positive for anti-HEV IgG antibodies, while 34/41 (82.9%) had IgM positive animals. The highest proportion of IgG positive pigs comprised the adult sows (45/74, 60.8%; P = 0.01), followed by young piglets aged 3–6 weeks (79/218, 36.2%). IgM positive pigs were more frequently found to be those animals ⩾12 weeks of age (P < 0.001).","Seminati et al., 2008","https://doi.org/10.1016/j.tvjl.2006.11.018","AA"
"73","Within herd prevalence","Hepatitis E","Pigs",NA,NA,"All ages","IgM","Survey","2000",0.342,NA,NA,"A survey to detect antibodies against hepatitis E virus (HEV) was undertaken on 41 Spanish pig farms using an indirect enzyme-linked immunosorbent assay (ELISA). Forty of the farms (97.6%) were positive for anti-HEV IgG antibodies, while 34/41 (82.9%) had IgM positive animals. The highest proportion of IgG positive pigs comprised the adult sows (45/74, 60.8%; P = 0.01), followed by young piglets aged 3–6 weeks (79/218, 36.2%). IgM positive pigs were more frequently found to be those animals ⩾12 weeks of age (P < 0.001).","Seminati et al., 2008","https://doi.org/10.1016/j.tvjl.2006.11.018","AA"
"74","Within herd prevalence","Hepatitis E","Pigs",NA,NA,"3-6 weeks","IgG","Survey","1998-2000",0.471,NA,NA,"A survey to detect antibodies against hepatitis E virus (HEV) was undertaken on 41 Spanish pig farms using an indirect enzyme-linked immunosorbent assay (ELISA). Forty of the farms (97.6%) were positive for anti-HEV IgG antibodies, while 34/41 (82.9%) had IgM positive animals. The highest proportion of IgG positive pigs comprised the adult sows (45/74, 60.8%; P = 0.01), followed by young piglets aged 3–6 weeks (79/218, 36.2%). IgM positive pigs were more frequently found to be those animals ⩾12 weeks of age (P < 0.001).","Seminati et al., 2008","https://doi.org/10.1016/j.tvjl.2006.11.018","AA"
"75","Within herd prevalence","Hepatitis E","Pigs",NA,NA,"3-6 weeks","IgM","Survey","1998-2000",0.173,NA,NA,"A survey to detect antibodies against hepatitis E virus (HEV) was undertaken on 41 Spanish pig farms using an indirect enzyme-linked immunosorbent assay (ELISA). Forty of the farms (97.6%) were positive for anti-HEV IgG antibodies, while 34/41 (82.9%) had IgM positive animals. The highest proportion of IgG positive pigs comprised the adult sows (45/74, 60.8%; P = 0.01), followed by young piglets aged 3–6 weeks (79/218, 36.2%). IgM positive pigs were more frequently found to be those animals ⩾12 weeks of age (P < 0.001).","Seminati et al., 2008","https://doi.org/10.1016/j.tvjl.2006.11.018","AA"
"76","Within herd prevalence","Hepatitis E","Pigs",NA,NA,"7-8 weeks","IgG","Survey","1998-2000",0.354,NA,NA,"A survey to detect antibodies against hepatitis E virus (HEV) was undertaken on 41 Spanish pig farms using an indirect enzyme-linked immunosorbent assay (ELISA). Forty of the farms (97.6%) were positive for anti-HEV IgG antibodies, while 34/41 (82.9%) had IgM positive animals. The highest proportion of IgG positive pigs comprised the adult sows (45/74, 60.8%; P = 0.01), followed by young piglets aged 3–6 weeks (79/218, 36.2%). IgM positive pigs were more frequently found to be those animals ⩾12 weeks of age (P < 0.001).","Seminati et al., 2008","https://doi.org/10.1016/j.tvjl.2006.11.018","AA"
"77","Within herd prevalence","Hepatitis E","Pigs",NA,NA,"7-8 weeks","IgM","Survey","1998-2000",0.194,NA,NA,"A survey to detect antibodies against hepatitis E virus (HEV) was undertaken on 41 Spanish pig farms using an indirect enzyme-linked immunosorbent assay (ELISA). Forty of the farms (97.6%) were positive for anti-HEV IgG antibodies, while 34/41 (82.9%) had IgM positive animals. The highest proportion of IgG positive pigs comprised the adult sows (45/74, 60.8%; P = 0.01), followed by young piglets aged 3–6 weeks (79/218, 36.2%). IgM positive pigs were more frequently found to be those animals ⩾12 weeks of age (P < 0.001).","Seminati et al., 2008","https://doi.org/10.1016/j.tvjl.2006.11.018","AA"
"78","Within herd prevalence","Hepatitis E","Pigs",NA,NA,"9-11 weeks","IgG","Survey","1998-2000",0.357,NA,NA,"A survey to detect antibodies against hepatitis E virus (HEV) was undertaken on 41 Spanish pig farms using an indirect enzyme-linked immunosorbent assay (ELISA). Forty of the farms (97.6%) were positive for anti-HEV IgG antibodies, while 34/41 (82.9%) had IgM positive animals. The highest proportion of IgG positive pigs comprised the adult sows (45/74, 60.8%; P = 0.01), followed by young piglets aged 3–6 weeks (79/218, 36.2%). IgM positive pigs were more frequently found to be those animals ⩾12 weeks of age (P < 0.001).","Seminati et al., 2008","https://doi.org/10.1016/j.tvjl.2006.11.018","AA"
"79","Within herd prevalence","Hepatitis E","Pigs",NA,NA,"9-11 weeks","IgM","Survey","1998-2000",0.28,NA,NA,"A survey to detect antibodies against hepatitis E virus (HEV) was undertaken on 41 Spanish pig farms using an indirect enzyme-linked immunosorbent assay (ELISA). Forty of the farms (97.6%) were positive for anti-HEV IgG antibodies, while 34/41 (82.9%) had IgM positive animals. The highest proportion of IgG positive pigs comprised the adult sows (45/74, 60.8%; P = 0.01), followed by young piglets aged 3–6 weeks (79/218, 36.2%). IgM positive pigs were more frequently found to be those animals ⩾12 weeks of age (P < 0.001).","Seminati et al., 2008","https://doi.org/10.1016/j.tvjl.2006.11.018","AA"
"80","Within herd prevalence","Hepatitis E","Pigs",NA,NA,">=12 weeks","IgG","Survey","1998-2000",0.339,NA,NA,"A survey to detect antibodies against hepatitis E virus (HEV) was undertaken on 41 Spanish pig farms using an indirect enzyme-linked immunosorbent assay (ELISA). Forty of the farms (97.6%) were positive for anti-HEV IgG antibodies, while 34/41 (82.9%) had IgM positive animals. The highest proportion of IgG positive pigs comprised the adult sows (45/74, 60.8%; P = 0.01), followed by young piglets aged 3–6 weeks (79/218, 36.2%). IgM positive pigs were more frequently found to be those animals ⩾12 weeks of age (P < 0.001).","Seminati et al., 2008","https://doi.org/10.1016/j.tvjl.2006.11.018","AA"
"81","Within herd prevalence","Hepatitis E","Pigs",NA,NA,">=12 weeks","IgM","Survey","1998-2000",0.5,NA,NA,"A survey to detect antibodies against hepatitis E virus (HEV) was undertaken on 41 Spanish pig farms using an indirect enzyme-linked immunosorbent assay (ELISA). Forty of the farms (97.6%) were positive for anti-HEV IgG antibodies, while 34/41 (82.9%) had IgM positive animals. The highest proportion of IgG positive pigs comprised the adult sows (45/74, 60.8%; P = 0.01), followed by young piglets aged 3–6 weeks (79/218, 36.2%). IgM positive pigs were more frequently found to be those animals ⩾12 weeks of age (P < 0.001).","Seminati et al., 2008","https://doi.org/10.1016/j.tvjl.2006.11.018","AA"
"82","Within herd prevalence","Hepatitis E","Pigs",NA,NA,"Gilts and Sows","IgG","Survey","1998-2000",0.608,NA,NA,"A survey to detect antibodies against hepatitis E virus (HEV) was undertaken on 41 Spanish pig farms using an indirect enzyme-linked immunosorbent assay (ELISA). Forty of the farms (97.6%) were positive for anti-HEV IgG antibodies, while 34/41 (82.9%) had IgM positive animals. The highest proportion of IgG positive pigs comprised the adult sows (45/74, 60.8%; P = 0.01), followed by young piglets aged 3–6 weeks (79/218, 36.2%). IgM positive pigs were more frequently found to be those animals ⩾12 weeks of age (P < 0.001).","Seminati et al., 2008","https://doi.org/10.1016/j.tvjl.2006.11.018","AA"
"83","Within herd prevalence","Hepatitis E","Pigs",NA,NA,"Gilts and Sows","IgM","Survey","1998-2000",0.324,NA,NA,"A survey to detect antibodies against hepatitis E virus (HEV) was undertaken on 41 Spanish pig farms using an indirect enzyme-linked immunosorbent assay (ELISA). Forty of the farms (97.6%) were positive for anti-HEV IgG antibodies, while 34/41 (82.9%) had IgM positive animals. The highest proportion of IgG positive pigs comprised the adult sows (45/74, 60.8%; P = 0.01), followed by young piglets aged 3–6 weeks (79/218, 36.2%). IgM positive pigs were more frequently found to be those animals ⩾12 weeks of age (P < 0.001).","Seminati et al., 2008","https://doi.org/10.1016/j.tvjl.2006.11.018","AA"
"84","Within herd prevalence","Hepatitis E","Pigs",NA,NA,"All ages","IgG","Survey","1998-2000",0.419,NA,NA,"A survey to detect antibodies against hepatitis E virus (HEV) was undertaken on 41 Spanish pig farms using an indirect enzyme-linked immunosorbent assay (ELISA). Forty of the farms (97.6%) were positive for anti-HEV IgG antibodies, while 34/41 (82.9%) had IgM positive animals. The highest proportion of IgG positive pigs comprised the adult sows (45/74, 60.8%; P = 0.01), followed by young piglets aged 3–6 weeks (79/218, 36.2%). IgM positive pigs were more frequently found to be those animals ⩾12 weeks of age (P < 0.001).","Seminati et al., 2008","https://doi.org/10.1016/j.tvjl.2006.11.018","AA"
"85","Within herd prevalence","Hepatitis E","Pigs",NA,NA,"All ages","IgM","Survey","1998-2000",0.282,NA,NA,"A survey to detect antibodies against hepatitis E virus (HEV) was undertaken on 41 Spanish pig farms using an indirect enzyme-linked immunosorbent assay (ELISA). Forty of the farms (97.6%) were positive for anti-HEV IgG antibodies, while 34/41 (82.9%) had IgM positive animals. The highest proportion of IgG positive pigs comprised the adult sows (45/74, 60.8%; P = 0.01), followed by young piglets aged 3–6 weeks (79/218, 36.2%). IgM positive pigs were more frequently found to be those animals ⩾12 weeks of age (P < 0.001).","Seminati et al., 2008","https://doi.org/10.1016/j.tvjl.2006.11.018","AA"
"86","Within herd prevalence","Hepatitis E","Pigs",NA,NA,"3-6 weeks","Serum","Survey","1998-2000",0,NA,NA,"A survey to detect antibodies against hepatitis E virus (HEV) was undertaken on 41 Spanish pig farms using an indirect enzyme-linked immunosorbent assay (ELISA). Forty of the farms (97.6%) were positive for anti-HEV IgG antibodies, while 34/41 (82.9%) had IgM positive animals. The highest proportion of IgG positive pigs comprised the adult sows (45/74, 60.8%; P = 0.01), followed by young piglets aged 3–6 weeks (79/218, 36.2%). IgM positive pigs were more frequently found to be those animals ⩾12 weeks of age (P < 0.001).","Seminati et al., 2008","https://doi.org/10.1016/j.tvjl.2006.11.018","AA"
"87","Within herd prevalence","Hepatitis E","Pigs",NA,NA,"8-10 weeks","Serum","Survey","1998-2000",0.667,NA,NA,"A survey to detect antibodies against hepatitis E virus (HEV) was undertaken on 41 Spanish pig farms using an indirect enzyme-linked immunosorbent assay (ELISA). Forty of the farms (97.6%) were positive for anti-HEV IgG antibodies, while 34/41 (82.9%) had IgM positive animals. The highest proportion of IgG positive pigs comprised the adult sows (45/74, 60.8%; P = 0.01), followed by young piglets aged 3–6 weeks (79/218, 36.2%). IgM positive pigs were more frequently found to be those animals ⩾12 weeks of age (P < 0.001).","Seminati et al., 2008","https://doi.org/10.1016/j.tvjl.2006.11.018","AA"
"88","Within herd prevalence","Hepatitis E","Pigs",NA,NA,"12-13 weeks","Serum","Survey","1998-2000",0.867,NA,NA,"A survey to detect antibodies against hepatitis E virus (HEV) was undertaken on 41 Spanish pig farms using an indirect enzyme-linked immunosorbent assay (ELISA). Forty of the farms (97.6%) were positive for anti-HEV IgG antibodies, while 34/41 (82.9%) had IgM positive animals. The highest proportion of IgG positive pigs comprised the adult sows (45/74, 60.8%; P = 0.01), followed by young piglets aged 3–6 weeks (79/218, 36.2%). IgM positive pigs were more frequently found to be those animals ⩾12 weeks of age (P < 0.001).","Seminati et al., 2008","https://doi.org/10.1016/j.tvjl.2006.11.018","AA"
"89","Within herd prevalence","Hepatitis E","Pigs",NA,NA,"22 weeks","Serum","Survey","1998-2000",0,NA,NA,"A survey to detect antibodies against hepatitis E virus (HEV) was undertaken on 41 Spanish pig farms using an indirect enzyme-linked immunosorbent assay (ELISA). Forty of the farms (97.6%) were positive for anti-HEV IgG antibodies, while 34/41 (82.9%) had IgM positive animals. The highest proportion of IgG positive pigs comprised the adult sows (45/74, 60.8%; P = 0.01), followed by young piglets aged 3–6 weeks (79/218, 36.2%). IgM positive pigs were more frequently found to be those animals ⩾12 weeks of age (P < 0.001).","Seminati et al., 2008","https://doi.org/10.1016/j.tvjl.2006.11.018","AA"
"90","Within herd prevalence","Hepatitis E","Pigs",NA,NA,"Sows","Serum","Survey","1998-2000",0.063,NA,NA,"A survey to detect antibodies against hepatitis E virus (HEV) was undertaken on 41 Spanish pig farms using an indirect enzyme-linked immunosorbent assay (ELISA). Forty of the farms (97.6%) were positive for anti-HEV IgG antibodies, while 34/41 (82.9%) had IgM positive animals. The highest proportion of IgG positive pigs comprised the adult sows (45/74, 60.8%; P = 0.01), followed by young piglets aged 3–6 weeks (79/218, 36.2%). IgM positive pigs were more frequently found to be those animals ⩾12 weeks of age (P < 0.001).","Seminati et al., 2008","https://doi.org/10.1016/j.tvjl.2006.11.018","AA"
"91","Within herd prevalence","Hepatitis E","Pigs",NA,NA,"All ages","Serum","Survey","1998-2000",0.273,NA,NA,"A survey to detect antibodies against hepatitis E virus (HEV) was undertaken on 41 Spanish pig farms using an indirect enzyme-linked immunosorbent assay (ELISA). Forty of the farms (97.6%) were positive for anti-HEV IgG antibodies, while 34/41 (82.9%) had IgM positive animals. The highest proportion of IgG positive pigs comprised the adult sows (45/74, 60.8%; P = 0.01), followed by young piglets aged 3–6 weeks (79/218, 36.2%). IgM positive pigs were more frequently found to be those animals ⩾12 weeks of age (P < 0.001).","Seminati et al., 2008","https://doi.org/10.1016/j.tvjl.2006.11.018","AA"
"92","Within herd prevalence","Hepatitis E","Pigs",NA,NA,"3-6 weeks","Faeces","Survey","1998-2000",0,NA,NA,"A survey to detect antibodies against hepatitis E virus (HEV) was undertaken on 41 Spanish pig farms using an indirect enzyme-linked immunosorbent assay (ELISA). Forty of the farms (97.6%) were positive for anti-HEV IgG antibodies, while 34/41 (82.9%) had IgM positive animals. The highest proportion of IgG positive pigs comprised the adult sows (45/74, 60.8%; P = 0.01), followed by young piglets aged 3–6 weeks (79/218, 36.2%). IgM positive pigs were more frequently found to be those animals ⩾12 weeks of age (P < 0.001).","Seminati et al., 2008","https://doi.org/10.1016/j.tvjl.2006.11.018","AA"
"93","Within herd prevalence","Hepatitis E","Pigs",NA,NA,"8-10 weeks","Faeces","Survey","1998-2000",1,NA,NA,"A survey to detect antibodies against hepatitis E virus (HEV) was undertaken on 41 Spanish pig farms using an indirect enzyme-linked immunosorbent assay (ELISA). Forty of the farms (97.6%) were positive for anti-HEV IgG antibodies, while 34/41 (82.9%) had IgM positive animals. The highest proportion of IgG positive pigs comprised the adult sows (45/74, 60.8%; P = 0.01), followed by young piglets aged 3–6 weeks (79/218, 36.2%). IgM positive pigs were more frequently found to be those animals ⩾12 weeks of age (P < 0.001).","Seminati et al., 2008","https://doi.org/10.1016/j.tvjl.2006.11.018","AA"
"94","Within herd prevalence","Hepatitis E","Pigs",NA,NA,"12-13 weeks","Faeces","Survey","1998-2000",0.4,NA,NA,"A survey to detect antibodies against hepatitis E virus (HEV) was undertaken on 41 Spanish pig farms using an indirect enzyme-linked immunosorbent assay (ELISA). Forty of the farms (97.6%) were positive for anti-HEV IgG antibodies, while 34/41 (82.9%) had IgM positive animals. The highest proportion of IgG positive pigs comprised the adult sows (45/74, 60.8%; P = 0.01), followed by young piglets aged 3–6 weeks (79/218, 36.2%). IgM positive pigs were more frequently found to be those animals ⩾12 weeks of age (P < 0.001).","Seminati et al., 2008","https://doi.org/10.1016/j.tvjl.2006.11.018","AA"
"95","Within herd prevalence","Hepatitis E","Pigs",NA,NA,"22 weeks","Faeces","Survey","1998-2000",0,NA,NA,"A survey to detect antibodies against hepatitis E virus (HEV) was undertaken on 41 Spanish pig farms using an indirect enzyme-linked immunosorbent assay (ELISA). Forty of the farms (97.6%) were positive for anti-HEV IgG antibodies, while 34/41 (82.9%) had IgM positive animals. The highest proportion of IgG positive pigs comprised the adult sows (45/74, 60.8%; P = 0.01), followed by young piglets aged 3–6 weeks (79/218, 36.2%). IgM positive pigs were more frequently found to be those animals ⩾12 weeks of age (P < 0.001).","Seminati et al., 2008","https://doi.org/10.1016/j.tvjl.2006.11.018","AA"
