"","Parameter","Test Type","Pathogen","Host","Host type","Host breed","Host Age (group)","Host other characterics","study","Type of sample","Value","Lower confidence/credible level","Upper confidence / credible level","Remarks","Reference","doi","Filled in by:"
"111","Sensitivity","SICCT","Bovine Tuberculosis","Cattle",NA,NA,NA,NA,"Review","Skin",0.75,NA,NA,"Although various factors can reduce the sensitivity and specificity of the skin tests, these remain the primary ante mortem diagnostic tools for TB in cattle, providing a cost-effective and reliable means of screening entire cattle populations.","de la Rua-Domenech et al., 2006","https://doi.org/10.1016/j.rvsc.2005.11.005","AA"
"112","Sensitivity","SICCT","Bovine Tuberculosis","Cattle",NA,NA,NA,NA,"Review","Skin",0.935,NA,NA,"Although various factors can reduce the sensitivity and specificity of the skin tests, these remain the primary ante mortem diagnostic tools for TB in cattle, providing a cost-effective and reliable means of screening entire cattle populations.","de la Rua-Domenech et al., 2006","https://doi.org/10.1016/j.rvsc.2005.11.005","AA"
"113","Specificity","SICCT","Bovine Tuberculosis","Cattle",NA,NA,NA,NA,"Review","Skin",100,NA,NA,"Although various factors can reduce the sensitivity and specificity of the skin tests, these remain the primary ante mortem diagnostic tools for TB in cattle, providing a cost-effective and reliable means of screening entire cattle populations.","de la Rua-Domenech et al., 2006","https://doi.org/10.1016/j.rvsc.2005.11.005","AA"
"114","Specificity","SICCT","Bovine Tuberculosis","Cattle",NA,NA,NA,NA,"Review","Skin",99.9,NA,NA,"Although various factors can reduce the sensitivity and specificity of the skin tests, these remain the primary ante mortem diagnostic tools for TB in cattle, providing a cost-effective and reliable means of screening entire cattle populations.","de la Rua-Domenech et al., 2006","https://doi.org/10.1016/j.rvsc.2005.11.005","AA"
"115","Specificity","SICCT","Bovine Tuberculosis","Cattle",NA,NA,NA,NA,"Review","Skin",97.8,NA,NA,"Although various factors can reduce the sensitivity and specificity of the skin tests, these remain the primary ante mortem diagnostic tools for TB in cattle, providing a cost-effective and reliable means of screening entire cattle populations.","de la Rua-Domenech et al., 2006","https://doi.org/10.1016/j.rvsc.2005.11.005","AA"
"116","Specificity","SICCT","Bovine Tuberculosis","Cattle",NA,NA,NA,NA,"Review","Skin",88.8,NA,NA,"Although various factors can reduce the sensitivity and specificity of the skin tests, these remain the primary ante mortem diagnostic tools for TB in cattle, providing a cost-effective and reliable means of screening entire cattle populations.","de la Rua-Domenech et al., 2006","https://doi.org/10.1016/j.rvsc.2005.11.005","AA"
"117","Specificity","SICCT","Bovine Tuberculosis","Cattle",NA,NA,NA,NA,"Review","Skin",1,NA,NA,"Although various factors can reduce the sensitivity and specificity of the skin tests, these remain the primary ante mortem diagnostic tools for TB in cattle, providing a cost-effective and reliable means of screening entire cattle populations.","de la Rua-Domenech et al., 2006","https://doi.org/10.1016/j.rvsc.2005.11.005","AA"
"118","Specificity","SICCT","Bovine Tuberculosis","Cattle",NA,NA,NA,NA,"Review","Skin",1,NA,NA,"Although various factors can reduce the sensitivity and specificity of the skin tests, these remain the primary ante mortem diagnostic tools for TB in cattle, providing a cost-effective and reliable means of screening entire cattle populations.","de la Rua-Domenech et al., 2006","https://doi.org/10.1016/j.rvsc.2005.11.005","AA"
"119","Specificity","SICCT","Bovine Tuberculosis","Cattle",NA,NA,NA,NA,"Review","Skin",0.94,NA,NA,"Although various factors can reduce the sensitivity and specificity of the skin tests, these remain the primary ante mortem diagnostic tools for TB in cattle, providing a cost-effective and reliable means of screening entire cattle populations.","de la Rua-Domenech et al., 2006","https://doi.org/10.1016/j.rvsc.2005.11.005","AA"
"120","Specificity","SICCT","Bovine Tuberculosis","Cattle",NA,NA,NA,NA,"Review","Skin",0.99,NA,NA,"Although various factors can reduce the sensitivity and specificity of the skin tests, these remain the primary ante mortem diagnostic tools for TB in cattle, providing a cost-effective and reliable means of screening entire cattle populations.","de la Rua-Domenech et al., 2006","https://doi.org/10.1016/j.rvsc.2005.11.005","AA"
"121","Specificity","SICCT","Bovine Tuberculosis","Cattle",NA,NA,NA,NA,"Review","Skin",1,NA,NA,"Although various factors can reduce the sensitivity and specificity of the skin tests, these remain the primary ante mortem diagnostic tools for TB in cattle, providing a cost-effective and reliable means of screening entire cattle populations.","de la Rua-Domenech et al., 2006","https://doi.org/10.1016/j.rvsc.2005.11.005","AA"
"122","Sensitivity","Bovigam","Bovine Tuberculosis","Cattle",NA,NA,NA,NA,"Review","Serum",0.816,NA,NA,"Although various factors can reduce the sensitivity and specificity of the skin tests, these remain the primary ante mortem diagnostic tools for TB in cattle, providing a cost-effective and reliable means of screening entire cattle populations.","de la Rua-Domenech et al., 2006","https://doi.org/10.1016/j.rvsc.2005.11.005","AA"
"123","Sensitivity","Bovigam","Bovine Tuberculosis","Cattle",NA,NA,NA,NA,"Review","Serum",0.818,NA,NA,"Although various factors can reduce the sensitivity and specificity of the skin tests, these remain the primary ante mortem diagnostic tools for TB in cattle, providing a cost-effective and reliable means of screening entire cattle populations.","de la Rua-Domenech et al., 2006","https://doi.org/10.1016/j.rvsc.2005.11.005","AA"
"124","Sensitivity","Bovigam","Bovine Tuberculosis","Cattle",NA,NA,NA,NA,"Review","Serum",0.843,NA,NA,"Although various factors can reduce the sensitivity and specificity of the skin tests, these remain the primary ante mortem diagnostic tools for TB in cattle, providing a cost-effective and reliable means of screening entire cattle populations.","de la Rua-Domenech et al., 2006","https://doi.org/10.1016/j.rvsc.2005.11.005","AA"
"125","Sensitivity","Bovigam","Bovine Tuberculosis","Cattle",NA,NA,NA,NA,"Review","Serum",0.73,NA,NA,"Although various factors can reduce the sensitivity and specificity of the skin tests, these remain the primary ante mortem diagnostic tools for TB in cattle, providing a cost-effective and reliable means of screening entire cattle populations.","de la Rua-Domenech et al., 2006","https://doi.org/10.1016/j.rvsc.2005.11.005","AA"
"126","Sensitivity","Bovigam","Bovine Tuberculosis","Cattle",NA,NA,NA,NA,"Review","Serum",0.937,NA,NA,"Although various factors can reduce the sensitivity and specificity of the skin tests, these remain the primary ante mortem diagnostic tools for TB in cattle, providing a cost-effective and reliable means of screening entire cattle populations.","de la Rua-Domenech et al., 2006","https://doi.org/10.1016/j.rvsc.2005.11.005","AA"
"127","Sensitivity","Bovigam","Bovine Tuberculosis","Cattle",NA,NA,NA,NA,"Review","Serum",0.874,NA,NA,"Although various factors can reduce the sensitivity and specificity of the skin tests, these remain the primary ante mortem diagnostic tools for TB in cattle, providing a cost-effective and reliable means of screening entire cattle populations.","de la Rua-Domenech et al., 2006","https://doi.org/10.1016/j.rvsc.2005.11.005","AA"
"128","Sensitivity","Bovigam","Bovine Tuberculosis","Cattle",NA,NA,NA,NA,"Review","Serum",0.877,NA,NA,"Although various factors can reduce the sensitivity and specificity of the skin tests, these remain the primary ante mortem diagnostic tools for TB in cattle, providing a cost-effective and reliable means of screening entire cattle populations.","de la Rua-Domenech et al., 2006","https://doi.org/10.1016/j.rvsc.2005.11.005","AA"
"129","Sensitivity","Bovigam","Bovine Tuberculosis","Cattle",NA,NA,NA,NA,"Review","Serum",1,NA,NA,"Although various factors can reduce the sensitivity and specificity of the skin tests, these remain the primary ante mortem diagnostic tools for TB in cattle, providing a cost-effective and reliable means of screening entire cattle populations.","de la Rua-Domenech et al., 2006","https://doi.org/10.1016/j.rvsc.2005.11.005","AA"
"130","Sensitivity","Bovigam","Bovine Tuberculosis","Cattle",NA,NA,NA,NA,"Review","Serum",0.849,NA,NA,"Although various factors can reduce the sensitivity and specificity of the skin tests, these remain the primary ante mortem diagnostic tools for TB in cattle, providing a cost-effective and reliable means of screening entire cattle populations.","de la Rua-Domenech et al., 2006","https://doi.org/10.1016/j.rvsc.2005.11.005","AA"
"131","Sensitivity","Bovigam","Bovine Tuberculosis","Cattle",NA,NA,NA,NA,"Review","Serum",0.955,NA,NA,"Although various factors can reduce the sensitivity and specificity of the skin tests, these remain the primary ante mortem diagnostic tools for TB in cattle, providing a cost-effective and reliable means of screening entire cattle populations.","de la Rua-Domenech et al., 2006","https://doi.org/10.1016/j.rvsc.2005.11.005","AA"
"132","Sensitivity","Bovigam","Bovine Tuberculosis","Cattle",NA,NA,NA,NA,"Review","Serum",0.85,NA,NA,"Although various factors can reduce the sensitivity and specificity of the skin tests, these remain the primary ante mortem diagnostic tools for TB in cattle, providing a cost-effective and reliable means of screening entire cattle populations.","de la Rua-Domenech et al., 2006","https://doi.org/10.1016/j.rvsc.2005.11.005","AA"
"133","Sensitivity","Bovigam","Bovine Tuberculosis","Cattle",NA,NA,NA,NA,"Review","Serum",0.94,NA,NA,"Although various factors can reduce the sensitivity and specificity of the skin tests, these remain the primary ante mortem diagnostic tools for TB in cattle, providing a cost-effective and reliable means of screening entire cattle populations.","de la Rua-Domenech et al., 2006","https://doi.org/10.1016/j.rvsc.2005.11.005","AA"
"134","Sensitivity","Bovigam","Bovine Tuberculosis","Cattle",NA,NA,NA,NA,"Review","Serum",0.98,NA,NA,"Although various factors can reduce the sensitivity and specificity of the skin tests, these remain the primary ante mortem diagnostic tools for TB in cattle, providing a cost-effective and reliable means of screening entire cattle populations.","de la Rua-Domenech et al., 2006","https://doi.org/10.1016/j.rvsc.2005.11.005","AA"
"135","Sensitivity","Bovigam","Bovine Tuberculosis","Cattle",NA,NA,NA,NA,"Review","Serum",0.882,NA,NA,"Although various factors can reduce the sensitivity and specificity of the skin tests, these remain the primary ante mortem diagnostic tools for TB in cattle, providing a cost-effective and reliable means of screening entire cattle populations.","de la Rua-Domenech et al., 2006","https://doi.org/10.1016/j.rvsc.2005.11.005","AA"
"136","Specificity","Bovigam","Bovine Tuberculosis","Cattle",NA,NA,NA,NA,"Review","Serum",0.994,NA,NA,"Although various factors can reduce the sensitivity and specificity of the skin tests, these remain the primary ante mortem diagnostic tools for TB in cattle, providing a cost-effective and reliable means of screening entire cattle populations.","de la Rua-Domenech et al., 2006","https://doi.org/10.1016/j.rvsc.2005.11.005","AA"
"137","Specificity","Bovigam","Bovine Tuberculosis","Cattle",NA,NA,NA,NA,"Review","Serum",0.962,NA,NA,"Although various factors can reduce the sensitivity and specificity of the skin tests, these remain the primary ante mortem diagnostic tools for TB in cattle, providing a cost-effective and reliable means of screening entire cattle populations.","de la Rua-Domenech et al., 2006","https://doi.org/10.1016/j.rvsc.2005.11.005","AA"
"138","Specificity","Bovigam","Bovine Tuberculosis","Cattle",NA,NA,NA,NA,"Review","Serum",0.974,NA,NA,"Although various factors can reduce the sensitivity and specificity of the skin tests, these remain the primary ante mortem diagnostic tools for TB in cattle, providing a cost-effective and reliable means of screening entire cattle populations.","de la Rua-Domenech et al., 2006","https://doi.org/10.1016/j.rvsc.2005.11.005","AA"
"139","Specificity","Bovigam","Bovine Tuberculosis","Cattle",NA,NA,NA,NA,"Review","Serum",0.98,NA,NA,"Although various factors can reduce the sensitivity and specificity of the skin tests, these remain the primary ante mortem diagnostic tools for TB in cattle, providing a cost-effective and reliable means of screening entire cattle populations.","de la Rua-Domenech et al., 2006","https://doi.org/10.1016/j.rvsc.2005.11.005","AA"
"140","Specificity","Bovigam","Bovine Tuberculosis","Cattle",NA,NA,NA,NA,"Review","Serum",0.981,NA,NA,"Although various factors can reduce the sensitivity and specificity of the skin tests, these remain the primary ante mortem diagnostic tools for TB in cattle, providing a cost-effective and reliable means of screening entire cattle populations.","de la Rua-Domenech et al., 2006","https://doi.org/10.1016/j.rvsc.2005.11.005","AA"
"141","Specificity","Bovigam","Bovine Tuberculosis","Cattle",NA,NA,NA,NA,"Review","Serum",0.978,NA,NA,"Although various factors can reduce the sensitivity and specificity of the skin tests, these remain the primary ante mortem diagnostic tools for TB in cattle, providing a cost-effective and reliable means of screening entire cattle populations.","de la Rua-Domenech et al., 2006","https://doi.org/10.1016/j.rvsc.2005.11.005","AA"
"142","Specificity","Bovigam","Bovine Tuberculosis","Cattle",NA,NA,NA,NA,"Review","Serum",0.991,NA,NA,"Although various factors can reduce the sensitivity and specificity of the skin tests, these remain the primary ante mortem diagnostic tools for TB in cattle, providing a cost-effective and reliable means of screening entire cattle populations.","de la Rua-Domenech et al., 2006","https://doi.org/10.1016/j.rvsc.2005.11.005","AA"
"143","Specificity","Bovigam","Bovine Tuberculosis","Cattle",NA,NA,NA,NA,"Review","Serum",0.996,NA,NA,"Although various factors can reduce the sensitivity and specificity of the skin tests, these remain the primary ante mortem diagnostic tools for TB in cattle, providing a cost-effective and reliable means of screening entire cattle populations.","de la Rua-Domenech et al., 2006","https://doi.org/10.1016/j.rvsc.2005.11.005","AA"
"144","Specificity","Bovigam","Bovine Tuberculosis","Cattle",NA,NA,NA,NA,"Review","Serum",0.966,NA,NA,"Although various factors can reduce the sensitivity and specificity of the skin tests, these remain the primary ante mortem diagnostic tools for TB in cattle, providing a cost-effective and reliable means of screening entire cattle populations.","de la Rua-Domenech et al., 2006","https://doi.org/10.1016/j.rvsc.2005.11.005","AA"
"145","Specificity","Bovigam","Bovine Tuberculosis","Cattle",NA,NA,NA,NA,"Review","Serum",0.94,NA,NA,"Although various factors can reduce the sensitivity and specificity of the skin tests, these remain the primary ante mortem diagnostic tools for TB in cattle, providing a cost-effective and reliable means of screening entire cattle populations.","de la Rua-Domenech et al., 2006","https://doi.org/10.1016/j.rvsc.2005.11.005","AA"
"146","Specificity","Bovigam","Bovine Tuberculosis","Cattle",NA,NA,NA,NA,"Review","Serum",0.889,NA,NA,"Although various factors can reduce the sensitivity and specificity of the skin tests, these remain the primary ante mortem diagnostic tools for TB in cattle, providing a cost-effective and reliable means of screening entire cattle populations.","de la Rua-Domenech et al., 2006","https://doi.org/10.1016/j.rvsc.2005.11.005","AA"
"147","Specificity","Bovigam","Bovine Tuberculosis","Cattle",NA,NA,NA,NA,"Review","Serum",0.877,NA,NA,"Although various factors can reduce the sensitivity and specificity of the skin tests, these remain the primary ante mortem diagnostic tools for TB in cattle, providing a cost-effective and reliable means of screening entire cattle populations.","de la Rua-Domenech et al., 2006","https://doi.org/10.1016/j.rvsc.2005.11.005","AA"
"148","Specificity","Bovigam","Bovine Tuberculosis","Cattle",NA,NA,NA,NA,"Review","Serum",0.93,NA,NA,"Although various factors can reduce the sensitivity and specificity of the skin tests, these remain the primary ante mortem diagnostic tools for TB in cattle, providing a cost-effective and reliable means of screening entire cattle populations.","de la Rua-Domenech et al., 2006","https://doi.org/10.1016/j.rvsc.2005.11.005","AA"
"149","Specificity","Bovigam","Bovine Tuberculosis","Cattle",NA,NA,NA,NA,"Review","Serum",0.94,NA,NA,"Although various factors can reduce the sensitivity and specificity of the skin tests, these remain the primary ante mortem diagnostic tools for TB in cattle, providing a cost-effective and reliable means of screening entire cattle populations.","de la Rua-Domenech et al., 2006","https://doi.org/10.1016/j.rvsc.2005.11.005","AA"
"150","Specificity","Bovigam","Bovine Tuberculosis","Cattle",NA,NA,NA,NA,"Review","Serum",0.85,NA,NA,"Although various factors can reduce the sensitivity and specificity of the skin tests, these remain the primary ante mortem diagnostic tools for TB in cattle, providing a cost-effective and reliable means of screening entire cattle populations.","de la Rua-Domenech et al., 2006","https://doi.org/10.1016/j.rvsc.2005.11.005","AA"
"151","Specificity","Bovigam","Bovine Tuberculosis","Cattle",NA,NA,NA,NA,"Review","Serum",0.92,NA,NA,"Although various factors can reduce the sensitivity and specificity of the skin tests, these remain the primary ante mortem diagnostic tools for TB in cattle, providing a cost-effective and reliable means of screening entire cattle populations.","de la Rua-Domenech et al., 2006","https://doi.org/10.1016/j.rvsc.2005.11.005","AA"
"152","Sensitivity","CFTb","Bovine Tuberculosis","Cattle",NA,NA,NA,NA,"Comparative","Skin",93.5,NA,NA,"the methodological approaches used to model bTB and published in the peer-reviewed literature in the last decades were reviewed with a focus on the impact that the models’ assumptions may have had on their results, such as the assumption of density vs. frequency-dependent transmission, the existence of non-infectious and non-detectable stages, and the effect of extrinsic sources of infection (usually associated with wildlife reservoirs).","Alvarez et al., 2014","https://doi.org/10.1016/j.rvsc.2014.04.009","AA"
"153","Sensitivity","CFT","Bovine Tuberculosis","Cattle",NA,NA,NA,NA,"Comparative","Skin",0.8,NA,NA,"the methodological approaches used to model bTB and published in the peer-reviewed literature in the last decades were reviewed with a focus on the impact that the models’ assumptions may have had on their results, such as the assumption of density vs. frequency-dependent transmission, the existence of non-infectious and non-detectable stages, and the effect of extrinsic sources of infection (usually associated with wildlife reservoirs).","Alvarez et al., 2014","https://doi.org/10.1016/j.rvsc.2014.04.009","AA"
"154","Sensitivity","CFT","Bovine Tuberculosis","Cattle",NA,NA,NA,NA,"Comparative","Skin",0.968,0.632,1,"the methodological approaches used to model bTB and published in the peer-reviewed literature in the last decades were reviewed with a focus on the impact that the models’ assumptions may have had on their results, such as the assumption of density vs. frequency-dependent transmission, the existence of non-infectious and non-detectable stages, and the effect of extrinsic sources of infection (usually associated with wildlife reservoirs).","Alvarez et al., 2014","https://doi.org/10.1016/j.rvsc.2014.04.009","AA"
"155","Sensitivity","CFT","Bovine Tuberculosis","Cattle",NA,NA,NA,NA,"Comparative","Skin",0.8,NA,NA,"the methodological approaches used to model bTB and published in the peer-reviewed literature in the last decades were reviewed with a focus on the impact that the models’ assumptions may have had on their results, such as the assumption of density vs. frequency-dependent transmission, the existence of non-infectious and non-detectable stages, and the effect of extrinsic sources of infection (usually associated with wildlife reservoirs).","Alvarez et al., 2014","https://doi.org/10.1016/j.rvsc.2014.04.009","AA"
"156","Sensitivity","CCTc","Bovine Tuberculosis","Cattle",NA,NA,NA,NA,"Comparative","Skin",0.904,NA,NA,"the methodological approaches used to model bTB and published in the peer-reviewed literature in the last decades were reviewed with a focus on the impact that the models’ assumptions may have had on their results, such as the assumption of density vs. frequency-dependent transmission, the existence of non-infectious and non-detectable stages, and the effect of extrinsic sources of infection (usually associated with wildlife reservoirs).","Alvarez et al., 2014","https://doi.org/10.1016/j.rvsc.2014.04.009","AA"
"157","Sensitivity","CCT","Bovine Tuberculosis","Cattle",NA,NA,NA,NA,"Comparative","Skin",0.7,0.6,0.8,"the methodological approaches used to model bTB and published in the peer-reviewed literature in the last decades were reviewed with a focus on the impact that the models’ assumptions may have had on their results, such as the assumption of density vs. frequency-dependent transmission, the existence of non-infectious and non-detectable stages, and the effect of extrinsic sources of infection (usually associated with wildlife reservoirs).","Alvarez et al., 2014","https://doi.org/10.1016/j.rvsc.2014.04.009","AA"
"158","Sensitivity","CCT","Bovine Tuberculosis","Cattle",NA,NA,NA,NA,"Comparative","Skin",0.995,0.551,1,"the methodological approaches used to model bTB and published in the peer-reviewed literature in the last decades were reviewed with a focus on the impact that the models’ assumptions may have had on their results, such as the assumption of density vs. frequency-dependent transmission, the existence of non-infectious and non-detectable stages, and the effect of extrinsic sources of infection (usually associated with wildlife reservoirs).","Alvarez et al., 2014","https://doi.org/10.1016/j.rvsc.2014.04.009","AA"
"159","Sensitivity","SCT + CCTd","Bovine Tuberculosis","Cattle",NA,NA,NA,NA,"Comparative","Skin",0.65,0.55,0.75,"the methodological approaches used to model bTB and published in the peer-reviewed literature in the last decades were reviewed with a focus on the impact that the models’ assumptions may have had on their results, such as the assumption of density vs. frequency-dependent transmission, the existence of non-infectious and non-detectable stages, and the effect of extrinsic sources of infection (usually associated with wildlife reservoirs).","Alvarez et al., 2014","https://doi.org/10.1016/j.rvsc.2014.04.009","AA"
"160","Sensitivity","CCT severe","Bovine Tuberculosis","Cattle",NA,NA,NA,NA,"Comparative","Skin",0.72,0.56,0.88,"the methodological approaches used to model bTB and published in the peer-reviewed literature in the last decades were reviewed with a focus on the impact that the models’ assumptions may have had on their results, such as the assumption of density vs. frequency-dependent transmission, the existence of non-infectious and non-detectable stages, and the effect of extrinsic sources of infection (usually associated with wildlife reservoirs).","Alvarez et al., 2014","https://doi.org/10.1016/j.rvsc.2014.04.009","AA"
"161","Sensitivity","CCT standard","Bovine Tuberculosis","Cattle",NA,NA,NA,NA,"Comparative","Skin",0.66,0.52,0.8,"the methodological approaches used to model bTB and published in the peer-reviewed literature in the last decades were reviewed with a focus on the impact that the models’ assumptions may have had on their results, such as the assumption of density vs. frequency-dependent transmission, the existence of non-infectious and non-detectable stages, and the effect of extrinsic sources of infection (usually associated with wildlife reservoirs).","Alvarez et al., 2014","https://doi.org/10.1016/j.rvsc.2014.04.009","AA"
"162","Sensitivity","CCT severe","Bovine Tuberculosis","Cattle",NA,NA,NA,NA,"Comparative","Skin",0.48,0.34,0.69,"the methodological approaches used to model bTB and published in the peer-reviewed literature in the last decades were reviewed with a focus on the impact that the models’ assumptions may have had on their results, such as the assumption of density vs. frequency-dependent transmission, the existence of non-infectious and non-detectable stages, and the effect of extrinsic sources of infection (usually associated with wildlife reservoirs).","Alvarez et al., 2014","https://doi.org/10.1016/j.rvsc.2014.04.009","AA"
"163","Sensitivity","CCT standard","Bovine Tuberculosis","Cattle",NA,NA,NA,NA,"Comparative","Skin",0.36,0.24,0.51,"the methodological approaches used to model bTB and published in the peer-reviewed literature in the last decades were reviewed with a focus on the impact that the models’ assumptions may have had on their results, such as the assumption of density vs. frequency-dependent transmission, the existence of non-infectious and non-detectable stages, and the effect of extrinsic sources of infection (usually associated with wildlife reservoirs).","Alvarez et al., 2014","https://doi.org/10.1016/j.rvsc.2014.04.009","AA"
"164","Sensitivity","ELISA Ab","Bovine Respiratory Syncytial Virus","Cattle",NA,NA,NA,NA,"Comparative","Bulk Milk Tank",0.944,0.898,0.987,"he objective of this study was to estimate sensitivity and specificity across different cut-off values for the MVD-Enferplex BCV/Bovine Respiratory Syncytial Virus multiplex, by comparing them to a commercially available ELISA, the SVANOVIR® BCV-Ab and SVANOVIR® Bovine Respiratory Syncytial Virus-Ab, respectively. We analyzed bulk tank milk samples from 360 herds in a low- and 360 herds in a high-prevalence area. As none of the tests were considered perfect, estimation of test characteristics was performed using Bayesian latent class models. At the manufacturers’ recommended cut-off values, the median sensitivity for the Bovine Respiratory Syncytial Virus multiplex and the Bovine Respiratory Syncytial Virus ELISA was 94.4 [89.8–98.7 95% Posterior Credibility Interval (PCI)] and 99.8 [98.7–100 95% PCI], respectively. The median specificity for the Bovine Respiratory Syncytial Virus multiplex was 90.6 [85.5–94.4 95% PCI], but only 57.4 [50.5–64.4 95% PCI] for the Bovine Respiratory Syncytial Virus ELISA.","Toftaker et al., 2018","https://doi.org/10.1016/j.prevetmed.2018.03.008","AA"
"165","Sensitivity","ELISA Ab","Bovine Respiratory Syncytial Virus","Cattle",NA,NA,NA,NA,"Comparative","Bulk Milk Tank",0.998,0.987,1,"he objective of this study was to estimate sensitivity and specificity across different cut-off values for the MVD-Enferplex BCV/Bovine Respiratory Syncytial Virus multiplex, by comparing them to a commercially available ELISA, the SVANOVIR® BCV-Ab and SVANOVIR® Bovine Respiratory Syncytial Virus-Ab, respectively. We analyzed bulk tank milk samples from 360 herds in a low- and 360 herds in a high-prevalence area. As none of the tests were considered perfect, estimation of test characteristics was performed using Bayesian latent class models. At the manufacturers’ recommended cut-off values, the median sensitivity for the Bovine Respiratory Syncytial Virus multiplex and the Bovine Respiratory Syncytial Virus ELISA was 94.4 [89.8–98.7 95% Posterior Credibility Interval (PCI)] and 99.8 [98.7–100 95% PCI], respectively. The median specificity for the Bovine Respiratory Syncytial Virus multiplex was 90.6 [85.5–94.4 95% PCI], but only 57.4 [50.5–64.4 95% PCI] for the Bovine Respiratory Syncytial Virus ELISA.","Toftaker et al., 2018","https://doi.org/10.1016/j.prevetmed.2018.03.008","AA"
"166","Specificity","ELISA Ab","Bovine Respiratory Syncytial Virus","Cattle",NA,NA,NA,NA,"Comparative","Bulk Milk Tank",0.574,0.505,0.644,"he objective of this study was to estimate sensitivity and specificity across different cut-off values for the MVD-Enferplex BCV/Bovine Respiratory Syncytial Virus multiplex, by comparing them to a commercially available ELISA, the SVANOVIR® BCV-Ab and SVANOVIR® Bovine Respiratory Syncytial Virus-Ab, respectively. We analyzed bulk tank milk samples from 360 herds in a low- and 360 herds in a high-prevalence area. As none of the tests were considered perfect, estimation of test characteristics was performed using Bayesian latent class models. At the manufacturers’ recommended cut-off values, the median sensitivity for the Bovine Respiratory Syncytial Virus multiplex and the Bovine Respiratory Syncytial Virus ELISA was 94.4 [89.8–98.7 95% Posterior Credibility Interval (PCI)] and 99.8 [98.7–100 95% PCI], respectively. The median specificity for the Bovine Respiratory Syncytial Virus multiplex was 90.6 [85.5–94.4 95% PCI], but only 57.4 [50.5–64.4 95% PCI] for the Bovine Respiratory Syncytial Virus ELISA.","Toftaker et al., 2018","https://doi.org/10.1016/j.prevetmed.2018.03.008","AA"
"167","Specificity","ELISA Ab","Bovine Respiratory Syncytial Virus","Cattle",NA,NA,NA,NA,"Comparative","Bulk Milk Tank",0.906,0.855,0.944,"he objective of this study was to estimate sensitivity and specificity across different cut-off values for the MVD-Enferplex BCV/Bovine Respiratory Syncytial Virus multiplex, by comparing them to a commercially available ELISA, the SVANOVIR® BCV-Ab and SVANOVIR® Bovine Respiratory Syncytial Virus-Ab, respectively. We analyzed bulk tank milk samples from 360 herds in a low- and 360 herds in a high-prevalence area. As none of the tests were considered perfect, estimation of test characteristics was performed using Bayesian latent class models. At the manufacturers’ recommended cut-off values, the median sensitivity for the Bovine Respiratory Syncytial Virus multiplex and the Bovine Respiratory Syncytial Virus ELISA was 94.4 [89.8–98.7 95% Posterior Credibility Interval (PCI)] and 99.8 [98.7–100 95% PCI], respectively. The median specificity for the Bovine Respiratory Syncytial Virus multiplex was 90.6 [85.5–94.4 95% PCI], but only 57.4 [50.5–64.4 95% PCI] for the Bovine Respiratory Syncytial Virus ELISA.","Toftaker et al., 2018","https://doi.org/10.1016/j.prevetmed.2018.03.008","AA"
"168","Sensitivity","RT-PCR","Bovine Respiratory Syncytial Virus","Cattle",NA,NA,NA,NA,"Experimental","Tracheal Aspiration Sample",0.993,NA,NA,"twenty Bovine Respiratory Syncytial Virus strains and 14 heterologous bovine viruses were used to check the kit's sensitivity and specificity. The efficiency and detection limit of the kit were determined by testing dilution series of a Bovine Respiratory Syncytial Virus strain. The comparison between real-time RT-PCR kit and FAT was performed with 94 clinical samples from calves with clinical signs of respiratory disease including lung tissues (n = 55), transtracheal aspiration samples (n = 20), and nasal swab samples (n = 19). All of the Bovine Respiratory Syncytial Virus strains tested were detected by real-time RT-PCR. No cross-reaction was shown with the 14 heterologous bovine viruses.","Timsit et al., 2010","https://doi.org/10.1177/104063871002200211","AA"
"169","Sensitivity","ELISA Ab","Bovine Viral Diarrhoea Virus","Cattle",NA,NA,NA,NA,NA,"Serum (individual)",NA,0.93,0.987,NA,"Hanon et al. 2018","https://doi.org/10.1016/j.prevetmed.2018.07.008",NA
"170","Specificity","ELISA Ab","Bovine Viral Diarrhoea Virus","Cattle",NA,NA,NA,NA,NA,"Serum (individual)",NA,0.946,0.991,NA,"Hanon et al. 2019","https://doi.org/10.1016/j.prevetmed.2018.07.009",NA
"171","Sensitivity","ELISA Ab","Bovine Viral Diarrhoea Virus","Cattle",NA,NA,NA,NA,NA,"Milk (individual)",NA,0.913,0.967,NA,"Hanon et al. 2020","https://doi.org/10.1016/j.prevetmed.2018.07.010",NA
"172","Specificity","ELISA Ab","Bovine Viral Diarrhoea Virus","Cattle",NA,NA,NA,NA,NA,"Milk (individual)",NA,0.94,1,NA,"Hanon et al. 2021","https://doi.org/10.1016/j.prevetmed.2018.07.011",NA
"173","Sensitivity","ELISA Ag","Bovine Viral Diarrhoea Virus","Cattle",NA,NA,NA,NA,NA,"Serum (individual)",NA,0.97,1,NA,"Mars and Van Maanen 2005","https://doi.org/10.1016/j.prevetmed.2005.08.005",NA
"174","Specificity","ELISA Ag","Bovine Viral Diarrhoea Virus","Cattle",NA,NA,NA,NA,NA,"Serum (individual)",NA,0.99,0.995,NA,"Mars and Van Maanen 2006","https://doi.org/10.1016/j.prevetmed.2005.08.006",NA
