"parameter","if_other","unit","scale","study_type","pathogen","variant_strain","host","host_type","host_breed","host_age","host_other","inoculated_contact","vaccine","value","lower_cl","upper_cl","estimation_type","estimation_method","remarks","ref_short","year","ref","filled_by"
"Infectious period",NA,"days","Individual bird","Experimental","Avian Influenza","LPAI H7N1 (A/chicken/Italy/1279/99)","Turkeys",NA,NA,"Three weeks",NA,NA,NA,7.65,7,8.3,"Frequentist","MLE","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675","Saenz et al., 2012",2012,"https://doi.org/10.1371/journal.pone.0045059","AA/SL"
"Infectious period",NA,"days","Individual bird","Experimental","Avian Influenza","LPAI H5N2 (A/TK/IT/80), H7N3 (A/TK/IT/8000/02)","Turkeys",NA,NA,NA,NA,NA,NA,8.2,6.5,10.6,"Bayesian","MCMC","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675","Comin et al., 2011",2011,"https://doi.org/10.1371/journal.pone.0026935","AA/SL"
"Infectious period",NA,"days","Individual bird","Experimental","Avian Influenza","LPAI H5N2 (A/TK/IT/80), H7N3 (A/TK/IT/8000/02)","Turkeys",NA,NA,NA,NA,NA,NA,2.3,1.3,3.5,"Bayesian","MCMC","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675","Comin et al., 2011",2011,"https://doi.org/10.1371/journal.pone.0026935","AA/SL"
"Infectious period",NA,"days","Village","Field","Avian Influenza","HPAI H5N1","Poultry",NA,NA,NA,NA,NA,NA,7,NA,NA,NA,"Assumed","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675 and Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","Ward et al., 2009",2009,"https://doi.org/10.1017/S0950268808000885","AA/SL"
"Infectious period",NA,"days","Individual bird","Field","Avian Influenza","HPAI H7N7","Chickens, Turkeys","Chicken layers, Chicken breeders, Turkeys",NA,NA,NA,NA,NA,4,NA,NA,NA,"Assumed","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675 and Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","Bos et al., 2009",2009,"https://doi.org/10.1016/j.prevetmed.2008.12.003","AA/SL"
"Infectious period",NA,"days","Individual bird","Experimental","Avian Influenza","HPAI H7N7 (A/Chicken/Netherlands/621557/03)","Turkeys",NA,NA,"Twelve weeks",NA,"Contact",NA,6.2,NA,NA,"Frequentist","Calculated","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675","Bos et al., 2008",2008,"https://doi.org/10.1016/j.vaccine.2008.09.022","AA/SL"
"Infectious period",NA,"days","Individual bird","Field","Avian Influenza","HPAI H7N1","Chickens, Turkeys",NA,NA,NA,NA,NA,NA,2,NA,NA,NA,"Assumed","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675","Bos et al., 2010",2010,"https://doi.org/10.1016/j.prevetmed.2010.04.006","AA/SL"
"Infectious period",NA,"days","Subdistrict","Field","Avian Influenza","HPAI H5N1","Poultry",NA,NA,NA,NA,NA,NA,7,NA,NA,NA,"Assumed","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675 and Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","Marquetoux et al., 2012",2012,"https://doi.org/10.1016/j.prevetmed.2012.01.021","AA/SL"
"Infectious period",NA,"days","Subdistrict","Field","Avian Influenza","HPAI H5N1","Poultry",NA,NA,NA,NA,NA,NA,14,NA,NA,NA,"Assumed","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675 and Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","Marquetoux et al., 2012",2012,"https://doi.org/10.1016/j.prevetmed.2012.01.021","AA/SL"
"Infectious period",NA,"days","Village","Field","Avian Influenza","HPAI H5N1","Poultry",NA,NA,NA,NA,NA,NA,7,NA,NA,NA,"Assumed","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675 and Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","Pandit et al., 2013",2013,"https://doi.org/10.1038/srep02175","AA/SL"
"Infectious period",NA,"days","Village","Field","Avian Influenza","HPAI H5N1","Poultry",NA,NA,NA,NA,NA,NA,12,NA,NA,NA,"Assumed","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675 and Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","Bett et al., 2014",2014,"https://doi.org/10.1111/tbed.12003","AA/SL"
"Infectious period",NA,"days","Farm","Field","Avian Influenza","HPAI H7N7","Poultry",NA,NA,NA,NA,NA,NA,13.8,9.9,17.6,"Frequentist","Calculated","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675 and Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","Stegeman et al., 2004",2004,"https://doi.org/10.1086/425583","AA/SL"
"Infectious period",NA,"days","Farm","Field","Avian Influenza","HPAI H7N7","Poultry",NA,NA,NA,NA,NA,NA,8,NA,NA,"Frequentist","Calculated","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675 and Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","Stegeman et al., 2004",2004,"https://doi.org/10.1086/425583","AA/SL"
"Infectious period",NA,"days","Farm","Field","Avian Influenza","HPAI H7N7","Poultry",NA,NA,NA,NA,NA,NA,7.3,3.4,11.1,"Frequentist","Calculated","Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","Stegeman et al., 2004",2004,"https://doi.org/10.1086/425583","SL"
"Infectious period",NA,"days","Farm","Field","Avian Influenza","HPAI H7N7","Poultry",NA,NA,NA,NA,NA,NA,6.9,3.9,9.9,"Frequentist","Calculated","Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","Stegeman et al., 2004",2004,"https://doi.org/10.1086/425583","SL"
"Infectious period",NA,"days","Individual bird","Experimental","Avian Influenza","LPAI H7N1 (A/turkey/Italy/1067/99)","Chickens","SPF","White leghorn","Six weeks",NA,NA,NA,7.7,6.7,8.7,"Frequentist","Survival model","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675","Gonzales et al., 2011",2011,"https://doi.org/10.1016/j.vetmic.2011.04.022","AA/SL"
"Infectious period",NA,"days","Individual bird","Experimental","Avian Influenza","LPAI H7N3","Chickens","SPF","White leghorn","Six weeks",NA,"Contact",NA,10.03,8.5,11.56,"Frequentist","Survival model","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675","Gonzales et al., 2012b",2012,"https://doi.org/10.1016/j.prevetmed.2012.06.010","AA/SL"
"Infectious period",NA,"days","Individual bird","Experimental","Avian Influenza","LPAI H7N3","Chickens","SPF","White leghorn","Six weeks",NA,"Inoculated",NA,13.32,11.28,15.35,"Frequentist","Survival model","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675","Gonzales et al., 2012b",2012,"https://doi.org/10.1016/j.prevetmed.2012.06.010","AA/SL"
"Infectious period",NA,"days","Individual bird","Field","Avian Influenza","LPAI H7N3","Chickens","Layers",NA,NA,NA,NA,NA,7.69,5.88,11.11,"Frequentist","Least squares","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675 and Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","Gonzales et al., 2012b",2012,"https://doi.org/10.1016/j.prevetmed.2012.06.010","AA/SL"
"Infectious period",NA,"days","Individual bird","Field","Avian Influenza","LPAI H7N3","Chickens","Layers",NA,NA,NA,NA,NA,7.69,6.25,10,"Frequentist","Least squares","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675","Gonzales et al., 2012b",2012,"https://doi.org/10.1016/j.prevetmed.2012.06.010","AA/SL"
"Infectious period",NA,"days","Individual bird","Field","Avian Influenza","LPAI H7N3","Chickens","Layers",NA,NA,NA,NA,NA,9.09,6.25,20,"Frequentist","Least squares","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675 and Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","Gonzales et al., 2012b",2012,"https://doi.org/10.1016/j.prevetmed.2012.06.010","AA/SL"
"Infectious period",NA,"days","Individual bird","Field","Avian Influenza","LPAI H7N3","Chickens","Layers",NA,NA,NA,NA,NA,9.09,5.88,25,"Frequentist","Least squares","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675","Gonzales et al., 2012b",2012,"https://doi.org/10.1016/j.prevetmed.2012.06.010","AA/SL"
"Infectious period",NA,"days","Individual bird","Experimental","Avian Influenza","LPAI H7N7 (A/Chicken/Netherlands/2006)","Chickens","Layers","Lohmann Brown, Lohmann White","32-35 weeks",NA,NA,NA,7.8,7,8.6,"Frequentist","Survival model","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675","Gonzales et al., 2012a",2012,"https://doi.org/10.1016/j.vetmic.2011.09.016","AA/SL"
"Infectious period",NA,"days","Individual bird","Experimental","Avian Influenza","LPAI H7N7 (A/Chicken/Netherlands/2006)","Chickens","Layers","Lohmann Brown, Lohmann White","32-35 weeks",NA,NA,NA,6.4,5.4,7.4,"Frequentist","Survival model","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675","Gonzales et al., 2012a",2012,"https://doi.org/10.1016/j.vetmic.2011.09.016","AA/SL"
"Infectious period",NA,"days","Individual bird","Experimental","Avian Influenza","LPAI H5N2 (A/Ch/Belgium/150VB/99)","Chickens","SPF",NA,"4-6 weeks","Grid floor","Contact",NA,6.5,3.93,8.92,"Frequentist","Calculated",NA,"Claes et al., 2013",2013,"https://doi.org/10.1017/s0950268813000125","SL"
"Infectious period",NA,"days","Individual bird","Experimental","Avian Influenza","LPAI H5N2 (A/Ch/Belgium/150VB/99)","Chickens","SPF",NA,"4-6 weeks","Litter floor","Contact",NA,5.5,2.36,8.64,"Frequentist","Calculated",NA,"Claes et al., 2013",2013,"https://doi.org/10.1017/s0950268813000125","SL"
"Infectious period",NA,"days","Individual bird","Experimental","Avian Influenza","LPAI H7N1 (A/Ch/Italy/1067/v99)","Chickens","SPF",NA,"4-6 weeks","Grid floor","Contact",NA,6.2,1.73,10.67,"Frequentist","Calculated",NA,"Claes et al., 2013",2013,"https://doi.org/10.1017/s0950268813000125","SL"
"Infectious period",NA,"days","Individual bird","Experimental","Avian Influenza","LPAI H7N1 (A/Ch/Italy/1067/v99)","Chickens","SPF",NA,"4-6 weeks","Litter floor","Contact",NA,6.1,0.45,11.75,"Frequentist","Calculated",NA,"Claes et al., 2013",2013,"https://doi.org/10.1017/s0950268813000125","SL"
"Infectious period",NA,"days","Individual bird","Experimental","Avian Influenza","LPAI H5N2 (A/Chicken/Pennsylvania/21525/83)","Chickens","SPF","White leghorn","Six weeks",NA,NA,NA,4.25,2.57,5.93,"Frequentist","Calculated","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675","Van der Goot et al., 2003",2003,"https://doi.org/10.1017/S0950268803001067","AA/SL"
"Infectious period",NA,"days","Individual bird","Experimental","Avian Influenza","HPAI H5N2 (A/Chicken/Pennsylvania/1370/83)","Chickens","SPF","White leghorn","Six weeks",NA,NA,NA,6.8,4.91,8.69,"Frequentist","Calculated","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675","Van der Goot et al., 2003",2003,"https://doi.org/10.1017/S0950268803001067","AA/SL"
"Infectious period",NA,"days","Individual bird","Experimental","Avian Influenza","HPAI H5N2 (A/Chicken/Pennsylvania/1370/83)","Chickens","SPF","White leghorn","Six weeks","Titres against LPAI H5N2",NA,NA,1,NA,NA,"Frequentist","Calculated","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675","Van der Goot et al., 2003",2003,"https://doi.org/10.1017/S0950268803001067","AA/SL"
"Infectious period",NA,"days","Individual bird","Experimental","Avian Influenza","HPAI H5N1 (A/turkey/Turkey/1/2005)","Chickens","Layers","White leghorn","Five weeks",NA,"Inoculated",NA,1.5,0,7.8,"Frequentist","Calculated","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675","Spekreijse et al., 2011",2011,"https://doi.org/10.1016/j.vetmic.2010.06.012","AA/SL"
"Infectious period",NA,"days","Individual bird","Experimental","Avian Influenza","HPAI H5N1 (A/turkey/Turkey/1/2005)","Chickens","Layers","White leghorn","Five weeks",NA,"Inoculated",NA,1,NA,NA,"Frequentist","Calculated","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675","Spekreijse et al., 2011",2011,"https://doi.org/10.1016/j.vetmic.2010.06.012","AA/SL"
"Infectious period",NA,"days","Individual bird","Experimental","Avian Influenza","HPAI H5N1 (A/turkey/Turkey/1/2005)","Chickens","Layers","White leghorn","Five weeks",NA,"Inoculated",NA,1.3,0.8,1.7,"Frequentist","Calculated","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675","Spekreijse et al., 2011",2011,"https://doi.org/10.1016/j.vetmic.2010.06.012","AA/SL"
"Infectious period",NA,"days","Individual bird","Experimental","Avian Influenza","HPAI H5N1 (A/turkey/Turkey/1/2005)","Chickens","Layers","White leghorn","Five weeks",NA,"Inoculated",NA,2.8,0.6,5,"Frequentist","Calculated","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675","Spekreijse et al., 2011",2011,"https://doi.org/10.1016/j.vetmic.2010.06.012","AA/SL"
"Infectious period",NA,"days","Individual bird","Experimental","Avian Influenza","HPAI H5N1 (A/turkey/Turkey/1/2005)","Chickens","Layers","White leghorn","Five weeks",NA,"Inoculated",NA,1.4,1,1.7,"Frequentist","Calculated","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675","Spekreijse et al., 2011",2011,"https://doi.org/10.1016/j.vetmic.2010.06.012","AA/SL"
"Infectious period",NA,"days","Individual bird","Experimental","Avian Influenza","HPAI H5N1 (A/turkey/Turkey/1/2005)","Chickens","Layers","White leghorn","Five weeks",NA,"Inoculated",NA,1.8,1.2,2.4,"Frequentist","Calculated","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675","Spekreijse et al., 2011",2011,"https://doi.org/10.1016/j.vetmic.2010.06.012","AA/SL"
"Infectious period",NA,"days","Individual bird","Field","Avian Influenza","HPAI H5N1","Chickens","Layers, Broilers, Backyard chickens, fighting cocks",NA,NA,NA,NA,NA,1,NA,NA,NA,"Assumed","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675 and Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","Tiensin et al., 2007",2007,"https://doi.org/10.1086/522007","AA/SL"
"Infectious period",NA,"days","Individual bird","Field","Avian Influenza","HPAI H5N1","Chickens","Layers, Broilers, Backyard chickens, fighting cocks",NA,NA,NA,NA,NA,2,NA,NA,NA,"Assumed","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675 and Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","Tiensin et al., 2007",2007,"https://doi.org/10.1086/522007","AA/SL"
"Infectious period",NA,"days","Individual bird","Field","Avian Influenza","HPAI H5N1","Chickens","Layers, Broilers, Backyard chickens, fighting cocks",NA,NA,NA,NA,NA,3,NA,NA,NA,"Assumed","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675 and Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","Tiensin et al., 2007",2007,"https://doi.org/10.1086/522007","AA/SL"
"Infectious period",NA,"days","Individual bird","Field","Avian Influenza","HPAI H5N1","Chickens","Layers, Broilers, Backyard chickens, fighting cocks",NA,NA,NA,NA,NA,4,NA,NA,NA,"Assumed","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675 and Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","Tiensin et al., 2007",2007,"https://doi.org/10.1086/522007","AA/SL"
"Infectious period",NA,"days","Individual bird","Experimental","Avian Influenza","HPAI H7N7 (A/Chicken/Netherlands/621557/03)","Chickens","SPF","White leghorn","Six weeks",NA,"Contact",NA,6.3,3.9,8.7,"Frequentist","Calculated","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675","Van der Goot et al., 2005",2005,"https://doi.org/10.1073/pnas.0505098102","AA/SL"
"Infectious period",NA,"days","Individual bird","Experimental","Avian Influenza","HPAI H5N1 (A/Chicken/Legok/2003)","Chickens","SPF Chicken layers",NA,"Four weeks",NA,NA,NA,2.5,2.2,2.8,"Bayesian","MCMC","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675","Bouma et al., 2009",2009,"https://doi.org/10.1371/journal.ppat.1000281","AA/SL"
"Infectious period",NA,"days","Individual bird","Experimental","Avian Influenza","HPAI H5N1 (A/Chicken/Legok/2003)","Chickens","SPF Chicken layers",NA,"Four weeks",NA,NA,NA,1.3,0.92,1.8,"Bayesian","MCMC","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675","Bouma et al., 2009",2009,"https://doi.org/10.1371/journal.ppat.1000281","AA/SL"
"Infectious period",NA,"days","Farm","Field","Avian Influenza","HPAI H7N1","Poultry",NA,NA,NA,NA,NA,NA,12.3,NA,NA,"Frequentist","Calculated","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675","Mannelli et al., 2007",2007,"https://doi.org/10.1016/j.prevetmed.2007.04.017","AA/SL"
"Infectious period",NA,"days","Farm","Field","Avian Influenza","HPAI H7N1","Poultry",NA,NA,NA,NA,NA,NA,11.3,NA,NA,"Frequentist","Calculated","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675","Mannelli et al., 2007",2007,"https://doi.org/10.1016/j.prevetmed.2007.04.017","AA/SL"
"Infectious period",NA,"days","Tambon","Field","Avian Influenza","HPAI H5N1","Chickens, Ducks, Geese",NA,NA,NA,NA,NA,NA,8.5,7.6,9.4,"Bayesian","MCMC","Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","Walker et al., 2012",2012,"https://doi.org/10.1098/rsif.2012.0022","TV/AA/SL"
"Infectious period",NA,"days","Commune","Field","Avian Influenza","HPAI H5N1","Poultry",NA,NA,NA,NA,NA,NA,5.87,4.59,7.4,"Bayesian","MCMC","Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","Walker et al., 2010",2010,"https://doi.org/10.1371/journal.pcbi.1000683","TV/AA/SL"
"Infectious period",NA,"days","Commune","Field","Avian Influenza","HPAI H5N1","Poultry",NA,NA,NA,NA,NA,NA,4.74,3.84,5.91,"Bayesian","MCMC","Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","Walker et al., 2010",2010,"https://doi.org/10.1371/journal.pcbi.1000683","TV/AA/SL"
"Infectious period",NA,"days","Commune","Field","Avian Influenza","HPAI H5N1","Poultry",NA,NA,NA,NA,NA,NA,9.1,7.29,11.21,"Bayesian","MCMC","Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","Walker et al., 2010",2010,"https://doi.org/10.1371/journal.pcbi.1000683","TV/AA/SL"
"Infectious period",NA,"days","Farm","Field","Avian Influenza","HPAI H5N1","Poultry",NA,NA,NA,NA,NA,NA,4,NA,NA,NA,"Assumed","Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","Delabouglise et al., 2017",2017,"https://doi.org/10.1038/s41598-017-06244-6","TV/AA/SL"
"Infectious period",NA,"days","Farm","Field","Avian Influenza","HPAI H5N1","Poultry",NA,NA,NA,NA,NA,NA,13,NA,NA,NA,"Assumed","Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","Delabouglise et al., 2017",2017,"https://doi.org/10.1038/s41598-017-06244-6","TV/AA/SL"
"Infectious period",NA,"days","Individual bird","Field","Avian Influenza","HPAI H5N1","Poultry",NA,NA,NA,NA,NA,NA,10,NA,NA,NA,"Assumed","Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","Smirnova & Tuncer, 2014",2014,"https://doi.org/10.1515/jip-2012-0097","TV/AA/SL"
"Infectious period",NA,"days","Individual bird","Field","Avian Influenza","HPAI H5N1","Poultry",NA,NA,NA,NA,NA,NA,10,NA,NA,NA,"Assumed","Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","Tuncer & Martcheva, 2013",2013,"https://doi.org/10.1142/S0218339013400044","TV/AA/SL"
"Infectious period",NA,"days","Farm","Field","Avian Influenza","HPAI H5N1","Poultry",NA,NA,NA,NA,NA,NA,10,NA,NA,NA,"Assumed","Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","Pelletier et al., 2012",2012,"https://doi.org/10.1007/s11250-012-0124-2","TV/AA/SL"
"Infectious period",NA,"days","Individual bird","Field","Avian Influenza","HPAI H5N1","Poultry",NA,NA,NA,NA,NA,NA,10,NA,NA,NA,"Assumed","Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","Lee et al., 2017",2017,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5977687/","TV/AA/SL"
"Infectious period",NA,"days","Farm","Field","Avian Influenza","HPAI H5N2","Poultry",NA,NA,NA,NA,NA,NA,7,NA,NA,NA,"Assumed","Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","Rorres et al., 2011a",2011,"https://doi.org/10.1637/9429-061710-Reg.1","TV/AA/SL"
"Infectious period",NA,"days","Farm","Field","Avian Influenza","HPAI H5N2","Poultry",NA,NA,NA,NA,NA,NA,7,NA,NA,NA,"Assumed","Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","Rorres et al., 2011b",2011,"https://doi.org/10.1016/j.epidem.2011.02.003","TV/AA/SL"
"Infectious period",NA,"days","Farm","Field","Avian Influenza","HPAI H5N2","Chickens, Turkeys",NA,NA,NA,NA,NA,NA,17.22,16.57,17.87,"Frequentist","Calculated","Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","Bonney et al., 2018",2018,"https://doi.org/10.1371/journal.pone.0204262","TV/AA/SL"
"Infectious period",NA,"days","Individual bird","Field","Avian Influenza","HPAI H5N8","Chickens","Layers",NA,NA,NA,NA,NA,2.5,NA,NA,NA,"Assumed","Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","Hobbelen et al., 2020",2020,"https://doi.org/10.1038/s41598-020-68623-w","TV/AA/SL"
"Infectious period",NA,"days","Individual bird","Field","Avian Influenza","HPAI H5N8","Chickens","Layers",NA,NA,NA,NA,NA,1.1,NA,NA,NA,"Assumed","Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","Hobbelen et al., 2020",2020,"https://doi.org/10.1038/s41598-020-68623-w","TV/AA/SL"
"Infectious period",NA,"days","Individual bird","Field","Avian Influenza","HPAI H5N8","Ducks","Broilers",NA,NA,NA,NA,NA,8.5,NA,NA,NA,"Assumed","Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","Hobbelen et al., 2020",2020,"https://doi.org/10.1038/s41598-020-68623-w","TV/AA/SL"
"Infectious period",NA,"days","Individual bird","Field","Avian Influenza","HPAI H5N8","Ducks","Broilers",NA,NA,"Survivors",NA,NA,6,NA,NA,NA,"Assumed","Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","Hobbelen et al., 2020",2020,"https://doi.org/10.1038/s41598-020-68623-w","TV/AA/SL"
"Infectious period",NA,"days","Individual bird","Field","Avian Influenza","HPAI H5N8","Ducks","Broilers",NA,NA,"Non-survivors",NA,NA,3.5,NA,NA,NA,"Assumed","Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","Hobbelen et al., 2020",2020,"https://doi.org/10.1038/s41598-020-68623-w","TV/AA/SL"
"Infectious period",NA,"days","Individual bird","Field","Avian Influenza","HPAI H5N8","Ducks","Mule ducks",NA,NA,NA,NA,NA,4.3,2.8,5.7,"Bayesian","ABC","Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","Vergne et al., 2021",2021,"https://doi.org/10.1111/tbed.14202","TV/AA/SL"
"Infectious period",NA,"days","Individual bird","Field","Avian Influenza","HPAI H5N8","Chickens","Broilers",NA,NA,NA,NA,NA,4,NA,NA,NA,"Assumed","Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","Hayama et al., 2022",2022,"https://doi.org/10.1016/j.prevetmed.2022.105768","TV/AA/SL"
"Infectious period",NA,"days","Individual bird","Field","Avian Influenza","HPAI H5Nx","Poultry",NA,NA,NA,NA,NA,NA,4.5,NA,NA,NA,"Assumed","Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","Chen et al., 2022",2022,"10.1080/17513758.2015.1111449","TV/AA/SL"
"Infectious period",NA,"days","Farm","Field","Avian Influenza","HPAI H7N1","Chickens, Turkeys, Others",NA,NA,NA,NA,NA,NA,11.82,6,26,"Frequentist","Calculated","Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","Dorigatti et al., 2010",2010,"https://doi.org/10.1016/j.epidem.2010.01.002","TV/AA/SL"
"Infectious period",NA,"days","Farm","Field","Avian Influenza","HPAI H7N3","Poultry",NA,NA,NA,NA,NA,NA,7,NA,NA,"Frequentist","Calculated",NA,"Smith & Dunipace 2011",2011,"https://doi.org/10.1016/j.epidem.2011.01.003","SL"
