"parameter","if_other","unit","model_type","model_mixing","model_scale","study_type","pathogen","variant_strain","host","host_type","host_breed","host_age","host_other","vaccine_seeder","vaccine_contact","vaccine","value","lower_cl","upper_cl","estimation_type","estimation_method","remarks","ref","ref_status","ref_last_access","ref_short","year","filled_by","filled_date","value_original","parameter_type","id"
"Basic reproduction number",NA,"Dimensionless","SIR","Frequency","Between-village","Field","Avian Influenza","HPAI H5N1","Poultry",NA,NA,NA,NA,NA,NA,NA,1.034,NA,NA,"Frequentist","Final Size of the stochastic model","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675 and Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","10.1038/srep02175","doi_invalid",2026-06-25,"Pandit et al., 2013",2013,"Alistair Antonopoulos & Sebastien Lambert",2025-08-28,1.034,"Transmission","Transmission*294"
"Basic reproduction number",NA,"Dimensionless","SIR","Frequency","Between-village","Field","Avian Influenza","HPAI H5N1","Poultry",NA,NA,NA,NA,NA,NA,NA,0.9,0.7,1.1,"Frequentist","Bootstrap","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675 and Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","10.1111/tbed.12003","doi_invalid",2026-06-25,"Bett et al., 2012",2012,"Alistair Antonopoulos & Sebastien Lambert",2025-08-28,0.9,"Transmission","Transmission*295"
"Basic reproduction number",NA,"Dimensionless","SLIR","Frequency","Between-farm","Field","Avian Influenza","HPAI H7N7","Poultry",NA,NA,NA,NA,NA,NA,NA,6.5,3.1,9.9,"Frequentist","Calculated","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675 and Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","10.1086/425583","doi_invalid",2026-06-25,"Stegeman et al., 2004",2004,"Alistair Antonopoulos & Sebastien Lambert",2025-08-28,6.5,"Transmission","Transmission*296"
"Basic reproduction number",NA,"Dimensionless","SLIR","Frequency","Between-farm","Field","Avian Influenza","HPAI H7N7","Poultry",NA,NA,NA,NA,NA,NA,NA,3.1,NA,NA,"Frequentist","Calculated","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675 and Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","10.1086/425583","doi_invalid",2026-06-25,"Stegeman et al., 2004",2004,"Alistair Antonopoulos & Sebastien Lambert",2025-08-28,3.1,"Transmission","Transmission*297"
"Basic reproduction number",NA,"Dimensionless","SLIR","Frequency","Between-farm","Field","Avian Influenza","HPAI H7N7","Poultry",NA,NA,NA,NA,NA,NA,NA,1.2,0.6,1.9,"Frequentist","Calculated","Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","10.1086/425583","doi_invalid",2026-06-25,"Stegeman et al., 2004",2004,"Sebastien Lambert",2025-08-28,1.2,"Transmission","Transmission*298"
"Basic reproduction number",NA,"Dimensionless","SLIR","Frequency","Between-farm","Field","Avian Influenza","HPAI H7N7","Poultry",NA,NA,NA,NA,NA,NA,NA,1.2,0.6,1.9,"Frequentist","Calculated","Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","10.1086/425583","doi_invalid",2026-06-25,"Stegeman et al., 2004",2004,"Sebastien Lambert",2025-08-28,1.2,"Transmission","Transmission*299"
"Basic reproduction number",NA,"Dimensionless","SLIR","Frequency","Within-farm","Experimental","Avian Influenza","LPAI H7N1 (A/turkey/Italy/1067/99)","Chickens","SPF","White leghorn","Six weeks",NA,"No","No",NA,3.8,1.3,6.3,"Frequentist","GLM","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675","10.1016/j.vetmic.2011.04.022","doi_invalid",2026-06-25,"Gonzales et al., 2011",2011,"Alistair Antonopoulos & Sebastien Lambert",2025-08-28,3.8,"Transmission","Transmission*300"
"Basic reproduction number",NA,"Dimensionless","Final Size",NA,"Within-farm","Experimental","Avian Influenza","LPAI H7N1 (A/turkey/Italy/1067/99)","Chickens","SPF","White leghorn","Six weeks",NA,"No","No",NA,4,1.7,11,"Frequentist","MLE","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675","10.1016/j.vetmic.2011.04.022","doi_invalid",2026-06-25,"Gonzales et al., 2011",2011,"Alistair Antonopoulos & Sebastien Lambert",2025-08-28,4,"Transmission","Transmission*301"
"Basic reproduction number",NA,"Dimensionless","SLIR","Frequency","Within-farm","Experimental","Avian Influenza","LPAI H7N3","Chickens","SPF","White leghorn","Six weeks",NA,"No","No",NA,9.1,3.6,19.5,"Frequentist","Monte Carlo simulations","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675","10.1016/j.prevetmed.2012.06.010","doi_invalid",2026-06-25,"Gonzales et al., 2012",2012,"Alistair Antonopoulos & Sebastien Lambert",2025-08-28,9.1,"Transmission","Transmission*302"
"Basic reproduction number",NA,"Dimensionless","SIR","Frequency","Within-farm","Field","Avian Influenza","LPAI H7N3","Chickens","Layers",NA,NA,NA,NA,NA,NA,5.6,4.3,7.7,"Frequentist","Monte Carlo simulations","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675 and Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","10.1016/j.prevetmed.2012.06.010","doi_invalid",2026-06-25,"Gonzales et al., 2012",2012,"Alistair Antonopoulos & Sebastien Lambert",2025-08-28,5.6,"Transmission","Transmission*303"
"Basic reproduction number",NA,"Dimensionless","SLIR","Frequency","Within-farm","Field","Avian Influenza","LPAI H7N3","Chickens","Layers",NA,NA,NA,NA,NA,NA,5.6,4.4,7.8,"Frequentist","Monte Carlo simulations","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675 and Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","10.1016/j.prevetmed.2012.06.010","doi_invalid",2026-06-25,"Gonzales et al., 2012",2012,"Alistair Antonopoulos & Sebastien Lambert",2025-08-28,5.6,"Transmission","Transmission*304"
"Basic reproduction number",NA,"Dimensionless","SIR","Frequency","Within-farm","Field","Avian Influenza","LPAI H7N3","Chickens","Layers",NA,NA,NA,NA,NA,NA,4.7,3,8.6,"Frequentist","Monte Carlo simulations","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675 and Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","10.1016/j.prevetmed.2012.06.010","doi_invalid",2026-06-25,"Gonzales et al., 2012",2012,"Alistair Antonopoulos & Sebastien Lambert",2025-08-28,4.7,"Transmission","Transmission*305"
"Basic reproduction number",NA,"Dimensionless","SLIR","Frequency","Within-farm","Field","Avian Influenza","LPAI H7N3","Chickens","Layers",NA,NA,NA,NA,NA,NA,4.7,2.2,11,"Frequentist","Monte Carlo simulations","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675 and Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","10.1016/j.prevetmed.2012.06.010","doi_invalid",2026-06-25,"Gonzales et al., 2012",2012,"Alistair Antonopoulos & Sebastien Lambert",2025-08-28,4.7,"Transmission","Transmission*306"
"Basic reproduction number",NA,"Dimensionless","SLIR","Frequency","Within-farm","Experimental","Avian Influenza","LPAI H7N7 (A/Chicken/Netherlands/2006)","Chickens","Layers","Lohmann Brown, Lohmann White","32-35 weeks",NA,"No","No",NA,1.2,0,2.5,"Frequentist","Calculated","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675","10.1016/j.vetmic.2011.09.016","doi_invalid",2026-06-25,"Gonzales et al., 2012",2012,"Alistair Antonopoulos & Sebastien Lambert",2025-08-28,1.2,"Transmission","Transmission*307"
"Basic reproduction number",NA,"Dimensionless","Final Size",NA,"Within-farm","Experimental","Avian Influenza","LPAI H7N7 (A/Chicken/Netherlands/2006)","Chickens","Layers","Lohmann Brown, Lohmann White","32-35 weeks",NA,"No","No",NA,1.5,0.4,4.9,"Frequentist","MLE","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675","10.1016/j.vetmic.2011.09.016","doi_invalid",2026-06-25,"Gonzales et al., 2012",2012,"Alistair Antonopoulos & Sebastien Lambert",2025-08-28,1.5,"Transmission","Transmission*308"
"Basic reproduction number",NA,"Dimensionless","SLIR","Frequency","Within-farm","Experimental","Avian Influenza","LPAI H7N7 (A/Chicken/Netherlands/2006)","Chickens","Layers","Lohmann Brown, Lohmann White","32-35 weeks",NA,"No","No",NA,0.3,0,2.3,"Frequentist","Calculated","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675","10.1016/j.vetmic.2011.09.016","doi_invalid",2026-06-25,"Gonzales et al., 2012",2012,"Alistair Antonopoulos & Sebastien Lambert",2025-08-28,0.3,"Transmission","Transmission*309"
"Basic reproduction number",NA,"Dimensionless","Final Size",NA,"Within-farm","Experimental","Avian Influenza","LPAI H7N7 (A/Chicken/Netherlands/2006)","Chickens","Layers","Lohmann Brown, Lohmann White","32-35 weeks",NA,"No","No",NA,0.3,0,1.5,"Frequentist","MLE","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675","10.1016/j.vetmic.2011.09.016","doi_invalid",2026-06-25,"Gonzales et al., 2012",2012,"Alistair Antonopoulos & Sebastien Lambert",2025-08-28,0.3,"Transmission","Transmission*310"
"Basic reproduction number",NA,"Dimensionless","SLIR","Frequency","Within-farm","Experimental","Avian Influenza","LPAI H5N2 (A/Ch/Belgium/150VB/99)","Chickens","SPF",NA,"4-6 weeks","Grid floor","No","No",NA,1.54,0.84,2.24,"Frequentist","Calculated","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675","10.1017/s0950268813000125","doi_invalid",2026-06-25,"CLAES et al., 2013",2013,"Alistair Antonopoulos & Sebastien Lambert",2025-08-28,1.54,"Transmission","Transmission*311"
"Basic reproduction number",NA,"Dimensionless","SLIR","Frequency","Within-farm","Experimental","Avian Influenza","LPAI H5N2 (A/Ch/Belgium/150VB/99)","Chickens","SPF",NA,"4-6 weeks","Litter floor","No","No",NA,2.04,0.79,3.28,"Frequentist","Calculated","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675","10.1017/s0950268813000125","doi_invalid",2026-06-25,"CLAES et al., 2013",2013,"Alistair Antonopoulos & Sebastien Lambert",2025-08-28,2.04,"Transmission","Transmission*312"
"Basic reproduction number",NA,"Dimensionless","SLIR","Frequency","Within-farm","Experimental","Avian Influenza","LPAI H7N1 (A/Ch/Italy/1067/v99)","Chickens","SPF",NA,"4-6 weeks","Grid floor","No","No",NA,0.93,0.21,1.65,"Frequentist","Calculated","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675","10.1017/s0950268813000125","doi_invalid",2026-06-25,"CLAES et al., 2013",2013,"Alistair Antonopoulos & Sebastien Lambert",2025-08-28,0.93,"Transmission","Transmission*313"
"Basic reproduction number",NA,"Dimensionless","SLIR","Frequency","Within-farm","Experimental","Avian Influenza","LPAI H7N1 (A/Ch/Italy/1067/v99)","Chickens","SPF",NA,"4-6 weeks","Litter floor","No","No",NA,2.32,0.12,4.52,"Frequentist","Calculated","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675","10.1017/s0950268813000125","doi_invalid",2026-06-25,"CLAES et al., 2013",2013,"Alistair Antonopoulos & Sebastien Lambert",2025-08-28,2.32,"Transmission","Transmission*314"
"Basic reproduction number",NA,"Dimensionless","Final Size",NA,"Within-farm","Experimental","Avian Influenza","LPAI H5N2 (A/Ch/Belgium/150VB/99)","Chickens","SPF",NA,"4-6 weeks","Grid floor","No","No",NA,1.27,0.43,3.5,"Frequentist","MLE","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675","10.1017/s0950268813000125","doi_invalid",2026-06-25,"CLAES et al., 2013",2013,"Alistair Antonopoulos & Sebastien Lambert",2025-08-28,1.27,"Transmission","Transmission*315"
"Basic reproduction number",NA,"Dimensionless","Final Size",NA,"Within-farm","Experimental","Avian Influenza","LPAI H5N2 (A/Ch/Belgium/150VB/99)","Chickens","SPF",NA,"4-6 weeks","Litter floor","No","No",NA,1.77,0.55,4.14,"Frequentist","MLE","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675","10.1017/s0950268813000125","doi_invalid",2026-06-25,"CLAES et al., 2013",2013,"Alistair Antonopoulos & Sebastien Lambert",2025-08-28,1.77,"Transmission","Transmission*316"
"Basic reproduction number",NA,"Dimensionless","Final Size",NA,"Within-farm","Experimental","Avian Influenza","LPAI H7N1 (A/Ch/Italy/1067/v99)","Chickens","SPF",NA,"4-6 weeks","Grid floor","No","No",NA,1.03,0.27,2.82,"Frequentist","MLE","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675","10.1017/s0950268813000125","doi_invalid",2026-06-25,"CLAES et al., 2013",2013,"Alistair Antonopoulos & Sebastien Lambert",2025-08-28,1.03,"Transmission","Transmission*317"
"Basic reproduction number",NA,"Dimensionless","Final Size",NA,"Within-farm","Experimental","Avian Influenza","LPAI H7N1 (A/Ch/Italy/1067/v99)","Chickens","SPF",NA,"4-6 weeks","Litter floor","No","No",NA,1.72,0.68,4.14,"Frequentist","MLE","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675","10.1017/s0950268813000125","doi_invalid",2026-06-25,"CLAES et al., 2013",2013,"Alistair Antonopoulos & Sebastien Lambert",2025-08-28,1.72,"Transmission","Transmission*318"
"Basic reproduction number",NA,"Dimensionless","Final Size",NA,"Within-farm","Experimental","Avian Influenza","LPAI H5N3 (A/Anas platyrhynchos/Belgium/09-884/2008)","Chickens","SPF",NA,"4-6 weeks","Grid floor","No","No",NA,0,0,0.72,"Frequentist","MLE",NA,"10.1017/s0950268813000125","doi_invalid",2026-06-25,"CLAES et al., 2013",2013,"Sebastien Lambert",2025-08-28,0,"Transmission","Transmission*319"
"Basic reproduction number",NA,"Dimensionless","Final Size",NA,"Within-farm","Experimental","Avian Influenza","LPAI H5N3 (A/Anas platyrhynchos/Belgium/09-884/2008)","Chickens","SPF",NA,"4-6 weeks","Litter floor","No","No",NA,0,0,0.72,"Frequentist","MLE",NA,"10.1017/s0950268813000125","doi_invalid",2026-06-25,"CLAES et al., 2013",2013,"Sebastien Lambert",2025-08-28,0,"Transmission","Transmission*320"
"Basic reproduction number",NA,"Dimensionless","Final Size",NA,"Within-farm","Experimental","Avian Influenza","LPAI H5N2 (A/Chicken/Pennsylvania/21525/83)","Chickens","SPF","White leghorn","Six weeks",NA,"No","No",NA,1.17,0.47,2.39,"Frequentist","MLE","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675","10.1017/s0950268803001067","doi_invalid",2026-06-25,"VAN DER GOOT et al., 2003",2003,"Alistair Antonopoulos & Egil Fischer & Sebastien Lambert",2025-08-28,1.17,"Transmission","Transmission*321"
"Basic reproduction number",NA,"Dimensionless","Final Size",NA,"Within-farm","Experimental","Avian Influenza","LPAI H5N2 (A/Chicken/Pennsylvania/21525/83)","Chickens","SPF","White leghorn","Six weeks",NA,"No","No",NA,1.06,0.47,1.89,"Frequentist","MLE","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675","10.1017/s0950268803001067","doi_invalid",2026-06-25,"VAN DER GOOT et al., 2003",2003,"Alistair Antonopoulos & Egil Fischer & Sebastien Lambert",2025-08-28,1.06,"Transmission","Transmission*322"
"Basic reproduction number",NA,"Dimensionless","Final Size",NA,"Within-farm","Experimental","Avian Influenza","LPAI H5N2 (A/Chicken/Pennsylvania/21525/83)","Chickens","SPF","White leghorn","Six weeks",NA,"No","No",NA,0.62,0.2,1.52,"Frequentist","MLE","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675","10.1017/s0950268803001067","doi_invalid",2026-06-25,"VAN DER GOOT et al., 2003",2003,"Alistair Antonopoulos & Egil Fischer & Sebastien Lambert",2025-08-28,0.62,"Transmission","Transmission*323"
"Basic reproduction number",NA,"Dimensionless","Final Size",NA,"Within-farm","Experimental","Avian Influenza","LPAI H5N2 (A/Chicken/Pennsylvania/21525/83)","Chickens","SPF","White leghorn","Six weeks",NA,"No","No",NA,0.59,0.21,1.27,"Frequentist","MLE","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675","10.1017/s0950268803001067","doi_invalid",2026-06-25,"VAN DER GOOT et al., 2003",2003,"Alistair Antonopoulos & Egil Fischer & Sebastien Lambert",2025-08-28,0.59,"Transmission","Transmission*324"
"Basic reproduction number",NA,"Dimensionless","Final Size",NA,"Within-farm","Experimental","Avian Influenza","HPAI H5N2 (A/Chicken/Pennsylvania/1370/83)","Chickens","SPF","White leghorn","Six weeks",NA,"No","No",NA,0.79,0.2,2.68,"Frequentist","MLE","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675","10.1017/s0950268803001067","doi_invalid",2026-06-25,"VAN DER GOOT et al., 2003",2003,"Alistair Antonopoulos & Egil Fischer & Sebastien Lambert",2025-08-28,0.79,"Transmission","Transmission*325"
"Basic reproduction number",NA,"Dimensionless","Final Size",NA,"Within-farm","Experimental","Avian Influenza","HPAI H5N2 (A/Chicken/Pennsylvania/1370/83)","Chickens","SPF","White leghorn","Six weeks",NA,"No","No",NA,0.78,0.21,2.02,"Frequentist","MLE","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675","10.1017/s0950268803001067","doi_invalid",2026-06-25,"VAN DER GOOT et al., 2003",2003,"Alistair Antonopoulos & Egil Fischer & Sebastien Lambert",2025-08-28,0.78,"Transmission","Transmission*326"
"Basic reproduction number",NA,"Dimensionless","SLIR","Frequency","Within-farm","Experimental","Avian Influenza","LPAI H5N2 (A/Chicken/Pennsylvania/21525/83)","Chickens","SPF","White leghorn","Six weeks",NA,"No","No",NA,0.95,0,2.29,"Frequentist","Calculated","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675","10.1017/s0950268803001067","doi_invalid",2026-06-25,"VAN DER GOOT et al., 2003",2003,"Alistair Antonopoulos & Egil Fischer & Sebastien Lambert",2025-08-28,0.95,"Transmission","Transmission*327"
"Basic reproduction number",NA,"Dimensionless","SLIR","Frequency","Within-farm","Experimental","Avian Influenza","LPAI H5N2 (A/Chicken/Pennsylvania/21525/83)","Chickens","SPF","White leghorn","Six weeks",NA,"No","No",NA,1,0,2.42,"Frequentist","Calculated","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675","10.1017/s0950268803001067","doi_invalid",2026-06-25,"VAN DER GOOT et al., 2003",2003,"Alistair Antonopoulos & Egil Fischer & Sebastien Lambert",2025-08-28,1,"Transmission","Transmission*328"
"Basic reproduction number",NA,"Dimensionless","SLIR","Frequency","Within-farm","Experimental","Avian Influenza","HPAI H5N2 (A/Chicken/Pennsylvania/1370/83)","Chickens","SPF","White leghorn","Six weeks",NA,"No","No",NA,5.3,NA,NA,"Frequentist","Calculated","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675","10.1017/s0950268803001067","doi_invalid",2026-06-25,"VAN DER GOOT et al., 2003",2003,"Alistair Antonopoulos & Egil Fischer & Sebastien Lambert",2025-08-28,5.3,"Transmission","Transmission*329"
"Basic reproduction number",NA,"Dimensionless","SLIR","Frequency","Within-farm","Experimental","Avian Influenza","HPAI H5N2 (A/Chicken/Pennsylvania/1370/83)","Chickens","SPF","White leghorn","Six weeks",NA,"No","No",NA,31.7,NA,NA,"Frequentist","Calculated","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675","10.1017/s0950268803001067","doi_invalid",2026-06-25,"VAN DER GOOT et al., 2003",2003,"Alistair Antonopoulos & Egil Fischer & Sebastien Lambert",2025-08-28,31.7,"Transmission","Transmission*330"
"Basic reproduction number",NA,"Dimensionless","SLIR","Frequency","Within-farm","Experimental","Avian Influenza","HPAI H5N2 (A/Chicken/Pennsylvania/1370/83)","Chickens","SPF","White leghorn","Six weeks","Titres against LPAI H5N2","No","No",NA,0.17,NA,NA,"Frequentist","Calculated","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675","10.1017/s0950268803001067","doi_invalid",2026-06-25,"VAN DER GOOT et al., 2003",2003,"Alistair Antonopoulos & Egil Fischer & Sebastien Lambert",2025-08-28,0.17,"Transmission","Transmission*331"
"Basic reproduction number",NA,"Dimensionless","SLIR","Frequency","Within-farm","Experimental","Avian Influenza","HPAI H5N2 (A/Chicken/Pennsylvania/1370/83)","Chickens","SPF","White leghorn","Six weeks","Titres against LPAI H5N2","No","No",NA,0.24,NA,NA,"Frequentist","Calculated","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675","10.1017/s0950268803001067","doi_invalid",2026-06-25,"VAN DER GOOT et al., 2003",2003,"Alistair Antonopoulos & Egil Fischer & Sebastien Lambert",2025-08-28,0.24,"Transmission","Transmission*332"
"Basic reproduction number",NA,"Dimensionless","SLIR","Frequency","Within-farm","Experimental","Avian Influenza","HPAI H5N1 (A/turkey/Turkey/1/2005)","Chickens","Layers","White leghorn","Five weeks",NA,"No","No",NA,2.5,0,6.8,"Frequentist","Calculated","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675","10.1016/j.vetmic.2010.06.012","doi_invalid",2026-06-25,"Spekreijse et al., 2011",2011,"Alistair Antonopoulos & Sebastien Lambert",2025-08-28,2.5,"Transmission","Transmission*333"
"Basic reproduction number",NA,"Dimensionless","SLIR","Frequency","Within-farm","Experimental","Avian Influenza","HPAI H5N1 (A/turkey/Turkey/1/2005)","Chickens","Layers","White leghorn","Five weeks",NA,"No","No",NA,2.2,0,5.2,"Frequentist","Calculated","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675","10.1016/j.vetmic.2010.06.012","doi_invalid",2026-06-25,"Spekreijse et al., 2011",2011,"Alistair Antonopoulos & Sebastien Lambert",2025-08-28,2.2,"Transmission","Transmission*334"
"Basic reproduction number",NA,"Dimensionless","SLIR","Frequency","Within-farm","Experimental","Avian Influenza","HPAI H5N1 (A/turkey/Turkey/1/2005)","Chickens","Layers","White leghorn","Five weeks",NA,"No","No",NA,1.2,0,4.4,"Frequentist","Calculated","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675","10.1016/j.vetmic.2010.06.012","doi_invalid",2026-06-25,"Spekreijse et al., 2011",2011,"Alistair Antonopoulos & Sebastien Lambert",2025-08-28,1.2,"Transmission","Transmission*335"
"Basic reproduction number",NA,"Dimensionless","SLIR","Frequency","Within-farm","Experimental","Avian Influenza","HPAI H5N1 (A/turkey/Turkey/1/2005)","Chickens","Layers","White leghorn","Five weeks",NA,"No","No",NA,5.6,0,16.8,"Frequentist","Calculated","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675","10.1016/j.vetmic.2010.06.012","doi_invalid",2026-06-25,"Spekreijse et al., 2011",2011,"Alistair Antonopoulos & Sebastien Lambert",2025-08-28,5.6,"Transmission","Transmission*336"
"Basic reproduction number",NA,"Dimensionless","SLIR","Frequency","Within-farm","Experimental","Avian Influenza","HPAI H5N1 (A/turkey/Turkey/1/2005)","Chickens","Layers","White leghorn","Five weeks",NA,"No","No",NA,2.1,0,5.2,"Frequentist","Calculated","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675","10.1016/j.vetmic.2010.06.012","doi_invalid",2026-06-25,"Spekreijse et al., 2011",2011,"Alistair Antonopoulos & Sebastien Lambert",2025-08-28,2.1,"Transmission","Transmission*337"
"Basic reproduction number",NA,"Dimensionless","SLIR","Frequency","Within-farm","Experimental","Avian Influenza","HPAI H5N1 (A/turkey/Turkey/1/2005)","Chickens","Layers","White leghorn","Five weeks",NA,"No","No",NA,4.8,0,7.5,"Frequentist","Calculated","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675","10.1016/j.vetmic.2010.06.012","doi_invalid",2026-06-25,"Spekreijse et al., 2011",2011,"Alistair Antonopoulos & Sebastien Lambert",2025-08-28,4.8,"Transmission","Transmission*338"
"Basic reproduction number",NA,"Dimensionless","SIR","Frequency","Within-farm","Field","Avian Influenza","HPAI H5N1","Chickens","Layers, Broilers",NA,NA,NA,NA,NA,NA,2.3,1.92,2.76,"Frequentist","Calculated","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675 and Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","10.1086/522007","doi_invalid",2026-06-25,"Tiensin et al., 2007",2007,"Alistair Antonopoulos & Sebastien Lambert",2025-08-28,2.3,"Transmission","Transmission*339"
"Basic reproduction number",NA,"Dimensionless","SIR","Frequency","Within-farm","Field","Avian Influenza","HPAI H5N1","Chickens","Layers, Broilers",NA,NA,NA,NA,NA,NA,2.86,2.41,3.41,"Frequentist","Calculated","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675 and Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","10.1086/522007","doi_invalid",2026-06-25,"Tiensin et al., 2007",2007,"Alistair Antonopoulos & Sebastien Lambert",2025-08-28,2.86,"Transmission","Transmission*340"
"Basic reproduction number",NA,"Dimensionless","SIR","Frequency","Within-farm","Field","Avian Influenza","HPAI H5N1","Chickens","Layers, Broilers",NA,NA,NA,NA,NA,NA,3.49,2.7,4.5,"Frequentist","Calculated","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675 and Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","10.1086/522007","doi_invalid",2026-06-25,"Tiensin et al., 2007",2007,"Alistair Antonopoulos & Sebastien Lambert",2025-08-28,3.49,"Transmission","Transmission*341"
