"parameter","test_type","pathogen","host","host_type","host_breed","host_age","host_other","study_type","sample_type","value","lower_cl","upper_cl","remarks","ref","ref_status","ref_last_access","ref_short","year","filled_by","filled_date","value_original","parameter_type","id"
"Sensitivity","SICCT","Bovine Tuberculosis","Cattle",NA,NA,NA,NA,"Review","Skin",0.52,NA,NA,"Although various factors can reduce the sensitivity and specificity of the skin tests, these remain the primary ante mortem diagnostic tools for TB in cattle, providing a cost-effective and reliable means of screening entire cattle populations.","10.1016/j.rvsc.2005.11.005","doi_invalid",2026-06-25,"de la Rua-Domenech et al., 2006",2006,"Alistair Antonopoulos",2025-08-28,0.52,"DiagnosticTest","DiagnosticTest*109"
"Sensitivity","SICCT","Bovine Tuberculosis","Cattle",NA,NA,NA,NA,"Review","Skin",0.8,NA,NA,"Although various factors can reduce the sensitivity and specificity of the skin tests, these remain the primary ante mortem diagnostic tools for TB in cattle, providing a cost-effective and reliable means of screening entire cattle populations.","10.1016/j.rvsc.2005.11.005","doi_invalid",2026-06-25,"de la Rua-Domenech et al., 2006",2006,"Alistair Antonopoulos",2025-08-28,0.8,"DiagnosticTest","DiagnosticTest*110"
"Sensitivity","SICCT","Bovine Tuberculosis","Cattle",NA,NA,NA,NA,"Review","Skin",0.75,NA,NA,"Although various factors can reduce the sensitivity and specificity of the skin tests, these remain the primary ante mortem diagnostic tools for TB in cattle, providing a cost-effective and reliable means of screening entire cattle populations.","10.1016/j.rvsc.2005.11.005","doi_invalid",2026-06-25,"de la Rua-Domenech et al., 2006",2006,"Alistair Antonopoulos",2025-08-28,0.75,"DiagnosticTest","DiagnosticTest*111"
"Sensitivity","SICCT","Bovine Tuberculosis","Cattle",NA,NA,NA,NA,"Review","Skin",0.935,NA,NA,"Although various factors can reduce the sensitivity and specificity of the skin tests, these remain the primary ante mortem diagnostic tools for TB in cattle, providing a cost-effective and reliable means of screening entire cattle populations.","10.1016/j.rvsc.2005.11.005","doi_invalid",2026-06-25,"de la Rua-Domenech et al., 2006",2006,"Alistair Antonopoulos",2025-08-28,0.935,"DiagnosticTest","DiagnosticTest*112"
"Specificity","SICCT","Bovine Tuberculosis","Cattle",NA,NA,NA,NA,"Review","Skin",100,NA,NA,"Although various factors can reduce the sensitivity and specificity of the skin tests, these remain the primary ante mortem diagnostic tools for TB in cattle, providing a cost-effective and reliable means of screening entire cattle populations.","10.1016/j.rvsc.2005.11.005","doi_invalid",2026-06-25,"de la Rua-Domenech et al., 2006",2006,"Alistair Antonopoulos",2025-08-28,100,"DiagnosticTest","DiagnosticTest*113"
"Specificity","SICCT","Bovine Tuberculosis","Cattle",NA,NA,NA,NA,"Review","Skin",99.9,NA,NA,"Although various factors can reduce the sensitivity and specificity of the skin tests, these remain the primary ante mortem diagnostic tools for TB in cattle, providing a cost-effective and reliable means of screening entire cattle populations.","10.1016/j.rvsc.2005.11.005","doi_invalid",2026-06-25,"de la Rua-Domenech et al., 2006",2006,"Alistair Antonopoulos",2025-08-28,99.9,"DiagnosticTest","DiagnosticTest*114"
"Specificity","SICCT","Bovine Tuberculosis","Cattle",NA,NA,NA,NA,"Review","Skin",97.8,NA,NA,"Although various factors can reduce the sensitivity and specificity of the skin tests, these remain the primary ante mortem diagnostic tools for TB in cattle, providing a cost-effective and reliable means of screening entire cattle populations.","10.1016/j.rvsc.2005.11.005","doi_invalid",2026-06-25,"de la Rua-Domenech et al., 2006",2006,"Alistair Antonopoulos",2025-08-28,97.8,"DiagnosticTest","DiagnosticTest*115"
"Specificity","SICCT","Bovine Tuberculosis","Cattle",NA,NA,NA,NA,"Review","Skin",88.8,NA,NA,"Although various factors can reduce the sensitivity and specificity of the skin tests, these remain the primary ante mortem diagnostic tools for TB in cattle, providing a cost-effective and reliable means of screening entire cattle populations.","10.1016/j.rvsc.2005.11.005","doi_invalid",2026-06-25,"de la Rua-Domenech et al., 2006",2006,"Alistair Antonopoulos",2025-08-28,88.8,"DiagnosticTest","DiagnosticTest*116"
"Specificity","SICCT","Bovine Tuberculosis","Cattle",NA,NA,NA,NA,"Review","Skin",1,NA,NA,"Although various factors can reduce the sensitivity and specificity of the skin tests, these remain the primary ante mortem diagnostic tools for TB in cattle, providing a cost-effective and reliable means of screening entire cattle populations.","10.1016/j.rvsc.2005.11.005","doi_invalid",2026-06-25,"de la Rua-Domenech et al., 2006",2006,"Alistair Antonopoulos",2025-08-28,1,"DiagnosticTest","DiagnosticTest*117"
"Specificity","SICCT","Bovine Tuberculosis","Cattle",NA,NA,NA,NA,"Review","Skin",1,NA,NA,"Although various factors can reduce the sensitivity and specificity of the skin tests, these remain the primary ante mortem diagnostic tools for TB in cattle, providing a cost-effective and reliable means of screening entire cattle populations.","10.1016/j.rvsc.2005.11.005","doi_invalid",2026-06-25,"de la Rua-Domenech et al., 2006",2006,"Alistair Antonopoulos",2025-08-28,1,"DiagnosticTest","DiagnosticTest*118"
"Specificity","SICCT","Bovine Tuberculosis","Cattle",NA,NA,NA,NA,"Review","Skin",0.94,NA,NA,"Although various factors can reduce the sensitivity and specificity of the skin tests, these remain the primary ante mortem diagnostic tools for TB in cattle, providing a cost-effective and reliable means of screening entire cattle populations.","10.1016/j.rvsc.2005.11.005","doi_invalid",2026-06-25,"de la Rua-Domenech et al., 2006",2006,"Alistair Antonopoulos",2025-08-28,0.94,"DiagnosticTest","DiagnosticTest*119"
"Specificity","SICCT","Bovine Tuberculosis","Cattle",NA,NA,NA,NA,"Review","Skin",0.99,NA,NA,"Although various factors can reduce the sensitivity and specificity of the skin tests, these remain the primary ante mortem diagnostic tools for TB in cattle, providing a cost-effective and reliable means of screening entire cattle populations.","10.1016/j.rvsc.2005.11.005","doi_invalid",2026-06-25,"de la Rua-Domenech et al., 2006",2006,"Alistair Antonopoulos",2025-08-28,0.99,"DiagnosticTest","DiagnosticTest*120"
"Specificity","SICCT","Bovine Tuberculosis","Cattle",NA,NA,NA,NA,"Review","Skin",1,NA,NA,"Although various factors can reduce the sensitivity and specificity of the skin tests, these remain the primary ante mortem diagnostic tools for TB in cattle, providing a cost-effective and reliable means of screening entire cattle populations.","10.1016/j.rvsc.2005.11.005","doi_invalid",2026-06-25,"de la Rua-Domenech et al., 2006",2006,"Alistair Antonopoulos",2025-08-28,1,"DiagnosticTest","DiagnosticTest*121"
"Sensitivity","Bovigam","Bovine Tuberculosis","Cattle",NA,NA,NA,NA,"Review","Serum",0.816,NA,NA,"Although various factors can reduce the sensitivity and specificity of the skin tests, these remain the primary ante mortem diagnostic tools for TB in cattle, providing a cost-effective and reliable means of screening entire cattle populations.","10.1016/j.rvsc.2005.11.005","doi_invalid",2026-06-25,"de la Rua-Domenech et al., 2006",2006,"Alistair Antonopoulos",2025-08-28,0.816,"DiagnosticTest","DiagnosticTest*122"
"Sensitivity","Bovigam","Bovine Tuberculosis","Cattle",NA,NA,NA,NA,"Review","Serum",0.818,NA,NA,"Although various factors can reduce the sensitivity and specificity of the skin tests, these remain the primary ante mortem diagnostic tools for TB in cattle, providing a cost-effective and reliable means of screening entire cattle populations.","10.1016/j.rvsc.2005.11.005","doi_invalid",2026-06-25,"de la Rua-Domenech et al., 2006",2006,"Alistair Antonopoulos",2025-08-28,0.818,"DiagnosticTest","DiagnosticTest*123"
"Sensitivity","Bovigam","Bovine Tuberculosis","Cattle",NA,NA,NA,NA,"Review","Serum",0.843,NA,NA,"Although various factors can reduce the sensitivity and specificity of the skin tests, these remain the primary ante mortem diagnostic tools for TB in cattle, providing a cost-effective and reliable means of screening entire cattle populations.","10.1016/j.rvsc.2005.11.005","doi_invalid",2026-06-25,"de la Rua-Domenech et al., 2006",2006,"Alistair Antonopoulos",2025-08-28,0.843,"DiagnosticTest","DiagnosticTest*124"
"Sensitivity","Bovigam","Bovine Tuberculosis","Cattle",NA,NA,NA,NA,"Review","Serum",0.73,NA,NA,"Although various factors can reduce the sensitivity and specificity of the skin tests, these remain the primary ante mortem diagnostic tools for TB in cattle, providing a cost-effective and reliable means of screening entire cattle populations.","10.1016/j.rvsc.2005.11.005","doi_invalid",2026-06-25,"de la Rua-Domenech et al., 2006",2006,"Alistair Antonopoulos",2025-08-28,0.73,"DiagnosticTest","DiagnosticTest*125"
"Sensitivity","Bovigam","Bovine Tuberculosis","Cattle",NA,NA,NA,NA,"Review","Serum",0.937,NA,NA,"Although various factors can reduce the sensitivity and specificity of the skin tests, these remain the primary ante mortem diagnostic tools for TB in cattle, providing a cost-effective and reliable means of screening entire cattle populations.","10.1016/j.rvsc.2005.11.005","doi_invalid",2026-06-25,"de la Rua-Domenech et al., 2006",2006,"Alistair Antonopoulos",2025-08-28,0.937,"DiagnosticTest","DiagnosticTest*126"
"Sensitivity","Bovigam","Bovine Tuberculosis","Cattle",NA,NA,NA,NA,"Review","Serum",0.874,NA,NA,"Although various factors can reduce the sensitivity and specificity of the skin tests, these remain the primary ante mortem diagnostic tools for TB in cattle, providing a cost-effective and reliable means of screening entire cattle populations.","10.1016/j.rvsc.2005.11.005","doi_invalid",2026-06-25,"de la Rua-Domenech et al., 2006",2006,"Alistair Antonopoulos",2025-08-28,0.874,"DiagnosticTest","DiagnosticTest*127"
"Sensitivity","Bovigam","Bovine Tuberculosis","Cattle",NA,NA,NA,NA,"Review","Serum",0.877,NA,NA,"Although various factors can reduce the sensitivity and specificity of the skin tests, these remain the primary ante mortem diagnostic tools for TB in cattle, providing a cost-effective and reliable means of screening entire cattle populations.","10.1016/j.rvsc.2005.11.005","doi_invalid",2026-06-25,"de la Rua-Domenech et al., 2006",2006,"Alistair Antonopoulos",2025-08-28,0.877,"DiagnosticTest","DiagnosticTest*128"
"Sensitivity","Bovigam","Bovine Tuberculosis","Cattle",NA,NA,NA,NA,"Review","Serum",1,NA,NA,"Although various factors can reduce the sensitivity and specificity of the skin tests, these remain the primary ante mortem diagnostic tools for TB in cattle, providing a cost-effective and reliable means of screening entire cattle populations.","10.1016/j.rvsc.2005.11.005","doi_invalid",2026-06-25,"de la Rua-Domenech et al., 2006",2006,"Alistair Antonopoulos",2025-08-28,1,"DiagnosticTest","DiagnosticTest*129"
"Sensitivity","Bovigam","Bovine Tuberculosis","Cattle",NA,NA,NA,NA,"Review","Serum",0.849,NA,NA,"Although various factors can reduce the sensitivity and specificity of the skin tests, these remain the primary ante mortem diagnostic tools for TB in cattle, providing a cost-effective and reliable means of screening entire cattle populations.","10.1016/j.rvsc.2005.11.005","doi_invalid",2026-06-25,"de la Rua-Domenech et al., 2006",2006,"Alistair Antonopoulos",2025-08-28,0.849,"DiagnosticTest","DiagnosticTest*130"
"Sensitivity","Bovigam","Bovine Tuberculosis","Cattle",NA,NA,NA,NA,"Review","Serum",0.955,NA,NA,"Although various factors can reduce the sensitivity and specificity of the skin tests, these remain the primary ante mortem diagnostic tools for TB in cattle, providing a cost-effective and reliable means of screening entire cattle populations.","10.1016/j.rvsc.2005.11.005","doi_invalid",2026-06-25,"de la Rua-Domenech et al., 2006",2006,"Alistair Antonopoulos",2025-08-28,0.955,"DiagnosticTest","DiagnosticTest*131"
"Sensitivity","Bovigam","Bovine Tuberculosis","Cattle",NA,NA,NA,NA,"Review","Serum",0.85,NA,NA,"Although various factors can reduce the sensitivity and specificity of the skin tests, these remain the primary ante mortem diagnostic tools for TB in cattle, providing a cost-effective and reliable means of screening entire cattle populations.","10.1016/j.rvsc.2005.11.005","doi_invalid",2026-06-25,"de la Rua-Domenech et al., 2006",2006,"Alistair Antonopoulos",2025-08-28,0.85,"DiagnosticTest","DiagnosticTest*132"
"Sensitivity","Bovigam","Bovine Tuberculosis","Cattle",NA,NA,NA,NA,"Review","Serum",0.94,NA,NA,"Although various factors can reduce the sensitivity and specificity of the skin tests, these remain the primary ante mortem diagnostic tools for TB in cattle, providing a cost-effective and reliable means of screening entire cattle populations.","10.1016/j.rvsc.2005.11.005","doi_invalid",2026-06-25,"de la Rua-Domenech et al., 2006",2006,"Alistair Antonopoulos",2025-08-28,0.94,"DiagnosticTest","DiagnosticTest*133"
"Sensitivity","Bovigam","Bovine Tuberculosis","Cattle",NA,NA,NA,NA,"Review","Serum",0.98,NA,NA,"Although various factors can reduce the sensitivity and specificity of the skin tests, these remain the primary ante mortem diagnostic tools for TB in cattle, providing a cost-effective and reliable means of screening entire cattle populations.","10.1016/j.rvsc.2005.11.005","doi_invalid",2026-06-25,"de la Rua-Domenech et al., 2006",2006,"Alistair Antonopoulos",2025-08-28,0.98,"DiagnosticTest","DiagnosticTest*134"
"Sensitivity","Bovigam","Bovine Tuberculosis","Cattle",NA,NA,NA,NA,"Review","Serum",0.882,NA,NA,"Although various factors can reduce the sensitivity and specificity of the skin tests, these remain the primary ante mortem diagnostic tools for TB in cattle, providing a cost-effective and reliable means of screening entire cattle populations.","10.1016/j.rvsc.2005.11.005","doi_invalid",2026-06-25,"de la Rua-Domenech et al., 2006",2006,"Alistair Antonopoulos",2025-08-28,0.882,"DiagnosticTest","DiagnosticTest*135"
"Specificity","Bovigam","Bovine Tuberculosis","Cattle",NA,NA,NA,NA,"Review","Serum",0.994,NA,NA,"Although various factors can reduce the sensitivity and specificity of the skin tests, these remain the primary ante mortem diagnostic tools for TB in cattle, providing a cost-effective and reliable means of screening entire cattle populations.","10.1016/j.rvsc.2005.11.005","doi_invalid",2026-06-25,"de la Rua-Domenech et al., 2006",2006,"Alistair Antonopoulos",2025-08-28,0.994,"DiagnosticTest","DiagnosticTest*136"
"Specificity","Bovigam","Bovine Tuberculosis","Cattle",NA,NA,NA,NA,"Review","Serum",0.962,NA,NA,"Although various factors can reduce the sensitivity and specificity of the skin tests, these remain the primary ante mortem diagnostic tools for TB in cattle, providing a cost-effective and reliable means of screening entire cattle populations.","10.1016/j.rvsc.2005.11.005","doi_invalid",2026-06-25,"de la Rua-Domenech et al., 2006",2006,"Alistair Antonopoulos",2025-08-28,0.962,"DiagnosticTest","DiagnosticTest*137"
"Specificity","Bovigam","Bovine Tuberculosis","Cattle",NA,NA,NA,NA,"Review","Serum",0.974,NA,NA,"Although various factors can reduce the sensitivity and specificity of the skin tests, these remain the primary ante mortem diagnostic tools for TB in cattle, providing a cost-effective and reliable means of screening entire cattle populations.","10.1016/j.rvsc.2005.11.005","doi_invalid",2026-06-25,"de la Rua-Domenech et al., 2006",2006,"Alistair Antonopoulos",2025-08-28,0.974,"DiagnosticTest","DiagnosticTest*138"
"Specificity","Bovigam","Bovine Tuberculosis","Cattle",NA,NA,NA,NA,"Review","Serum",0.98,NA,NA,"Although various factors can reduce the sensitivity and specificity of the skin tests, these remain the primary ante mortem diagnostic tools for TB in cattle, providing a cost-effective and reliable means of screening entire cattle populations.","10.1016/j.rvsc.2005.11.005","doi_invalid",2026-06-25,"de la Rua-Domenech et al., 2006",2006,"Alistair Antonopoulos",2025-08-28,0.98,"DiagnosticTest","DiagnosticTest*139"
"Specificity","Bovigam","Bovine Tuberculosis","Cattle",NA,NA,NA,NA,"Review","Serum",0.981,NA,NA,"Although various factors can reduce the sensitivity and specificity of the skin tests, these remain the primary ante mortem diagnostic tools for TB in cattle, providing a cost-effective and reliable means of screening entire cattle populations.","10.1016/j.rvsc.2005.11.005","doi_invalid",2026-06-25,"de la Rua-Domenech et al., 2006",2006,"Alistair Antonopoulos",2025-08-28,0.981,"DiagnosticTest","DiagnosticTest*140"
"Specificity","Bovigam","Bovine Tuberculosis","Cattle",NA,NA,NA,NA,"Review","Serum",0.978,NA,NA,"Although various factors can reduce the sensitivity and specificity of the skin tests, these remain the primary ante mortem diagnostic tools for TB in cattle, providing a cost-effective and reliable means of screening entire cattle populations.","10.1016/j.rvsc.2005.11.005","doi_invalid",2026-06-25,"de la Rua-Domenech et al., 2006",2006,"Alistair Antonopoulos",2025-08-28,0.978,"DiagnosticTest","DiagnosticTest*141"
"Specificity","Bovigam","Bovine Tuberculosis","Cattle",NA,NA,NA,NA,"Review","Serum",0.991,NA,NA,"Although various factors can reduce the sensitivity and specificity of the skin tests, these remain the primary ante mortem diagnostic tools for TB in cattle, providing a cost-effective and reliable means of screening entire cattle populations.","10.1016/j.rvsc.2005.11.005","doi_invalid",2026-06-25,"de la Rua-Domenech et al., 2006",2006,"Alistair Antonopoulos",2025-08-28,0.991,"DiagnosticTest","DiagnosticTest*142"
"Specificity","Bovigam","Bovine Tuberculosis","Cattle",NA,NA,NA,NA,"Review","Serum",0.996,NA,NA,"Although various factors can reduce the sensitivity and specificity of the skin tests, these remain the primary ante mortem diagnostic tools for TB in cattle, providing a cost-effective and reliable means of screening entire cattle populations.","10.1016/j.rvsc.2005.11.005","doi_invalid",2026-06-25,"de la Rua-Domenech et al., 2006",2006,"Alistair Antonopoulos",2025-08-28,0.996,"DiagnosticTest","DiagnosticTest*143"
"Specificity","Bovigam","Bovine Tuberculosis","Cattle",NA,NA,NA,NA,"Review","Serum",0.966,NA,NA,"Although various factors can reduce the sensitivity and specificity of the skin tests, these remain the primary ante mortem diagnostic tools for TB in cattle, providing a cost-effective and reliable means of screening entire cattle populations.","10.1016/j.rvsc.2005.11.005","doi_invalid",2026-06-25,"de la Rua-Domenech et al., 2006",2006,"Alistair Antonopoulos",2025-08-28,0.966,"DiagnosticTest","DiagnosticTest*144"
"Specificity","Bovigam","Bovine Tuberculosis","Cattle",NA,NA,NA,NA,"Review","Serum",0.94,NA,NA,"Although various factors can reduce the sensitivity and specificity of the skin tests, these remain the primary ante mortem diagnostic tools for TB in cattle, providing a cost-effective and reliable means of screening entire cattle populations.","10.1016/j.rvsc.2005.11.005","doi_invalid",2026-06-25,"de la Rua-Domenech et al., 2006",2006,"Alistair Antonopoulos",2025-08-28,0.94,"DiagnosticTest","DiagnosticTest*145"
"Specificity","Bovigam","Bovine Tuberculosis","Cattle",NA,NA,NA,NA,"Review","Serum",0.889,NA,NA,"Although various factors can reduce the sensitivity and specificity of the skin tests, these remain the primary ante mortem diagnostic tools for TB in cattle, providing a cost-effective and reliable means of screening entire cattle populations.","10.1016/j.rvsc.2005.11.005","doi_invalid",2026-06-25,"de la Rua-Domenech et al., 2006",2006,"Alistair Antonopoulos",2025-08-28,0.889,"DiagnosticTest","DiagnosticTest*146"
"Specificity","Bovigam","Bovine Tuberculosis","Cattle",NA,NA,NA,NA,"Review","Serum",0.877,NA,NA,"Although various factors can reduce the sensitivity and specificity of the skin tests, these remain the primary ante mortem diagnostic tools for TB in cattle, providing a cost-effective and reliable means of screening entire cattle populations.","10.1016/j.rvsc.2005.11.005","doi_invalid",2026-06-25,"de la Rua-Domenech et al., 2006",2006,"Alistair Antonopoulos",2025-08-28,0.877,"DiagnosticTest","DiagnosticTest*147"
"Specificity","Bovigam","Bovine Tuberculosis","Cattle",NA,NA,NA,NA,"Review","Serum",0.93,NA,NA,"Although various factors can reduce the sensitivity and specificity of the skin tests, these remain the primary ante mortem diagnostic tools for TB in cattle, providing a cost-effective and reliable means of screening entire cattle populations.","10.1016/j.rvsc.2005.11.005","doi_invalid",2026-06-25,"de la Rua-Domenech et al., 2006",2006,"Alistair Antonopoulos",2025-08-28,0.93,"DiagnosticTest","DiagnosticTest*148"
"Specificity","Bovigam","Bovine Tuberculosis","Cattle",NA,NA,NA,NA,"Review","Serum",0.94,NA,NA,"Although various factors can reduce the sensitivity and specificity of the skin tests, these remain the primary ante mortem diagnostic tools for TB in cattle, providing a cost-effective and reliable means of screening entire cattle populations.","10.1016/j.rvsc.2005.11.005","doi_invalid",2026-06-25,"de la Rua-Domenech et al., 2006",2006,"Alistair Antonopoulos",2025-08-28,0.94,"DiagnosticTest","DiagnosticTest*149"
"Specificity","Bovigam","Bovine Tuberculosis","Cattle",NA,NA,NA,NA,"Review","Serum",0.85,NA,NA,"Although various factors can reduce the sensitivity and specificity of the skin tests, these remain the primary ante mortem diagnostic tools for TB in cattle, providing a cost-effective and reliable means of screening entire cattle populations.","10.1016/j.rvsc.2005.11.005","doi_invalid",2026-06-25,"de la Rua-Domenech et al., 2006",2006,"Alistair Antonopoulos",2025-08-28,0.85,"DiagnosticTest","DiagnosticTest*150"
"Specificity","Bovigam","Bovine Tuberculosis","Cattle",NA,NA,NA,NA,"Review","Serum",0.92,NA,NA,"Although various factors can reduce the sensitivity and specificity of the skin tests, these remain the primary ante mortem diagnostic tools for TB in cattle, providing a cost-effective and reliable means of screening entire cattle populations.","10.1016/j.rvsc.2005.11.005","doi_invalid",2026-06-25,"de la Rua-Domenech et al., 2006",2006,"Alistair Antonopoulos",2025-08-28,0.92,"DiagnosticTest","DiagnosticTest*151"
"Sensitivity","CFTb","Bovine Tuberculosis","Cattle",NA,NA,NA,NA,"Comparative","Skin",93.5,NA,NA,"the methodological approaches used to model bTB and published in the peer-reviewed literature in the last decades were reviewed with a focus on the impact that the models’ assumptions may have had on their results, such as the assumption of density vs. frequency-dependent transmission, the existence of non-infectious and non-detectable stages, and the effect of extrinsic sources of infection (usually associated with wildlife reservoirs).","10.1016/j.rvsc.2014.04.009","doi_invalid",2026-06-25,"Álvarez et al., 2014",2014,"Alistair Antonopoulos",2025-08-28,93.5,"DiagnosticTest","DiagnosticTest*152"
"Sensitivity","CFT","Bovine Tuberculosis","Cattle",NA,NA,NA,NA,"Comparative","Skin",0.8,NA,NA,"the methodological approaches used to model bTB and published in the peer-reviewed literature in the last decades were reviewed with a focus on the impact that the models’ assumptions may have had on their results, such as the assumption of density vs. frequency-dependent transmission, the existence of non-infectious and non-detectable stages, and the effect of extrinsic sources of infection (usually associated with wildlife reservoirs).","10.1016/j.rvsc.2014.04.009","doi_invalid",2026-06-25,"Álvarez et al., 2014",2014,"Alistair Antonopoulos",2025-08-28,0.8,"DiagnosticTest","DiagnosticTest*153"
"Sensitivity","CFT","Bovine Tuberculosis","Cattle",NA,NA,NA,NA,"Comparative","Skin",0.968,0.632,1,"the methodological approaches used to model bTB and published in the peer-reviewed literature in the last decades were reviewed with a focus on the impact that the models’ assumptions may have had on their results, such as the assumption of density vs. frequency-dependent transmission, the existence of non-infectious and non-detectable stages, and the effect of extrinsic sources of infection (usually associated with wildlife reservoirs).","10.1016/j.rvsc.2014.04.009","doi_invalid",2026-06-25,"Álvarez et al., 2014",2014,"Alistair Antonopoulos",2025-08-28,0.968,"DiagnosticTest","DiagnosticTest*154"
"Sensitivity","CFT","Bovine Tuberculosis","Cattle",NA,NA,NA,NA,"Comparative","Skin",0.8,NA,NA,"the methodological approaches used to model bTB and published in the peer-reviewed literature in the last decades were reviewed with a focus on the impact that the models’ assumptions may have had on their results, such as the assumption of density vs. frequency-dependent transmission, the existence of non-infectious and non-detectable stages, and the effect of extrinsic sources of infection (usually associated with wildlife reservoirs).","10.1016/j.rvsc.2014.04.009","doi_invalid",2026-06-25,"Álvarez et al., 2014",2014,"Alistair Antonopoulos",2025-08-28,0.8,"DiagnosticTest","DiagnosticTest*155"
"Sensitivity","CCTc","Bovine Tuberculosis","Cattle",NA,NA,NA,NA,"Comparative","Skin",0.904,NA,NA,"the methodological approaches used to model bTB and published in the peer-reviewed literature in the last decades were reviewed with a focus on the impact that the models’ assumptions may have had on their results, such as the assumption of density vs. frequency-dependent transmission, the existence of non-infectious and non-detectable stages, and the effect of extrinsic sources of infection (usually associated with wildlife reservoirs).","10.1016/j.rvsc.2014.04.009","doi_invalid",2026-06-25,"Álvarez et al., 2014",2014,"Alistair Antonopoulos",2025-08-28,0.904,"DiagnosticTest","DiagnosticTest*156"
"Sensitivity","CCT","Bovine Tuberculosis","Cattle",NA,NA,NA,NA,"Comparative","Skin",0.7,0.6,0.8,"the methodological approaches used to model bTB and published in the peer-reviewed literature in the last decades were reviewed with a focus on the impact that the models’ assumptions may have had on their results, such as the assumption of density vs. frequency-dependent transmission, the existence of non-infectious and non-detectable stages, and the effect of extrinsic sources of infection (usually associated with wildlife reservoirs).","10.1016/j.rvsc.2014.04.009","doi_invalid",2026-06-25,"Álvarez et al., 2014",2014,"Alistair Antonopoulos",2025-08-28,0.7,"DiagnosticTest","DiagnosticTest*157"
"Sensitivity","CCT","Bovine Tuberculosis","Cattle",NA,NA,NA,NA,"Comparative","Skin",0.995,0.551,1,"the methodological approaches used to model bTB and published in the peer-reviewed literature in the last decades were reviewed with a focus on the impact that the models’ assumptions may have had on their results, such as the assumption of density vs. frequency-dependent transmission, the existence of non-infectious and non-detectable stages, and the effect of extrinsic sources of infection (usually associated with wildlife reservoirs).","10.1016/j.rvsc.2014.04.009","doi_invalid",2026-06-25,"Álvarez et al., 2014",2014,"Alistair Antonopoulos",2025-08-28,0.995,"DiagnosticTest","DiagnosticTest*158"
"Sensitivity","SCT + CCTd","Bovine Tuberculosis","Cattle",NA,NA,NA,NA,"Comparative","Skin",0.65,0.55,0.75,"the methodological approaches used to model bTB and published in the peer-reviewed literature in the last decades were reviewed with a focus on the impact that the models’ assumptions may have had on their results, such as the assumption of density vs. frequency-dependent transmission, the existence of non-infectious and non-detectable stages, and the effect of extrinsic sources of infection (usually associated with wildlife reservoirs).","10.1016/j.rvsc.2014.04.009","doi_invalid",2026-06-25,"Álvarez et al., 2014",2014,"Alistair Antonopoulos",2025-08-28,0.65,"DiagnosticTest","DiagnosticTest*159"
"Sensitivity","CCT severe","Bovine Tuberculosis","Cattle",NA,NA,NA,NA,"Comparative","Skin",0.72,0.56,0.88,"the methodological approaches used to model bTB and published in the peer-reviewed literature in the last decades were reviewed with a focus on the impact that the models’ assumptions may have had on their results, such as the assumption of density vs. frequency-dependent transmission, the existence of non-infectious and non-detectable stages, and the effect of extrinsic sources of infection (usually associated with wildlife reservoirs).","10.1016/j.rvsc.2014.04.009","doi_invalid",2026-06-25,"Álvarez et al., 2014",2014,"Alistair Antonopoulos",2025-08-28,0.72,"DiagnosticTest","DiagnosticTest*160"
"Sensitivity","CCT standard","Bovine Tuberculosis","Cattle",NA,NA,NA,NA,"Comparative","Skin",0.66,0.52,0.8,"the methodological approaches used to model bTB and published in the peer-reviewed literature in the last decades were reviewed with a focus on the impact that the models’ assumptions may have had on their results, such as the assumption of density vs. frequency-dependent transmission, the existence of non-infectious and non-detectable stages, and the effect of extrinsic sources of infection (usually associated with wildlife reservoirs).","10.1016/j.rvsc.2014.04.009","doi_invalid",2026-06-25,"Álvarez et al., 2014",2014,"Alistair Antonopoulos",2025-08-28,0.66,"DiagnosticTest","DiagnosticTest*161"
"Sensitivity","CCT severe","Bovine Tuberculosis","Cattle",NA,NA,NA,NA,"Comparative","Skin",0.48,0.34,0.69,"the methodological approaches used to model bTB and published in the peer-reviewed literature in the last decades were reviewed with a focus on the impact that the models’ assumptions may have had on their results, such as the assumption of density vs. frequency-dependent transmission, the existence of non-infectious and non-detectable stages, and the effect of extrinsic sources of infection (usually associated with wildlife reservoirs).","10.1016/j.rvsc.2014.04.009","doi_invalid",2026-06-25,"Álvarez et al., 2014",2014,"Alistair Antonopoulos",2025-08-28,0.48,"DiagnosticTest","DiagnosticTest*162"
"Sensitivity","CCT standard","Bovine Tuberculosis","Cattle",NA,NA,NA,NA,"Comparative","Skin",0.36,0.24,0.51,"the methodological approaches used to model bTB and published in the peer-reviewed literature in the last decades were reviewed with a focus on the impact that the models’ assumptions may have had on their results, such as the assumption of density vs. frequency-dependent transmission, the existence of non-infectious and non-detectable stages, and the effect of extrinsic sources of infection (usually associated with wildlife reservoirs).","10.1016/j.rvsc.2014.04.009","doi_invalid",2026-06-25,"Álvarez et al., 2014",2014,"Alistair Antonopoulos",2025-08-28,0.36,"DiagnosticTest","DiagnosticTest*163"
