"parameter","if_other","unit","model_type","model_mixing","model_scale","study_type","pathogen","variant_strain","host","host_type","host_breed","host_age","host_other","vaccine_seeder","vaccine_contact","vaccine","value","lower_cl","upper_cl","estimation_type","estimation_method","remarks","ref","ref_short","year","filled_by","parameter_type","id","scale","inoculated_contact","material","test_type","sample_type","time_period","country","sampling_purpose","info_level","plan_implemented","plan_voluntary_compulsary","plan_coverage","country_disease_status","plan_type","last_updated"
"Transmission parameter",NA,"Per day","SLIR","Frequency","Between-farm","Field","Avian Influenza","HPAI H5N8","Galliformes, Palmipeds",NA,NA,NA,NA,NA,NA,NA,0.53,0.37,0.72,"Bayesian","MCMC","Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","10.1016/j.epidem.2019.03.006","Andronico et al., 2019",2019,"TV/AA/SL","Transmission","Transmission_200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Transmission parameter",NA,"Per day","SLIR","Frequency","Between-farm","Field","Avian Influenza","HPAI H5N8","Galliformes, Palmipeds",NA,NA,NA,NA,NA,NA,NA,0.28,0.18,0.4,"Bayesian","MCMC","Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","10.1016/j.epidem.2019.03.006","Andronico et al., 2019",2019,"TV/AA/SL","Transmission","Transmission_201",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Transmission parameter",NA,"Per day","SLIR","Frequency","Within-farm","Field","Avian Influenza","HPAI H5N8","Ducks","Mule ducks",NA,NA,NA,NA,NA,NA,4.1,2.8,5.8,"Bayesian","ABC","Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","10.1111/tbed.14202","Vergne et al., 2021",2021,"TV/AA/SL","Transmission","Transmission_202",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Transmission parameter",NA,"Per day","SLIR","Frequency","Within-farm","Field","Avian Influenza","HPAI H5N8","Chickens","Broilers",NA,NA,NA,NA,NA,NA,0.822,0.803,0.842,"Frequentist","MLE","Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","10.1016/j.prevetmed.2022.105768","Hayama et al., 2022",2022,"TV/AA/SL","Transmission","Transmission_203",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Transmission parameter",NA,"Per day","SLIR","Frequency","Within-farm","Field","Avian Influenza","HPAI H5N8","Chickens","Broilers",NA,NA,NA,NA,NA,NA,1.916,1.774,2.071,"Frequentist","MLE","Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","10.1016/j.prevetmed.2022.105768","Hayama et al., 2022",2022,"TV/AA/SL","Transmission","Transmission_204",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Transmission parameter",NA,"Per day","SLIR","Frequency","Within-farm","Field","Avian Influenza","HPAI H5N8","Chickens","Broilers",NA,NA,NA,NA,NA,NA,3.387,3.208,3.576,"Frequentist","MLE","Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","10.1016/j.prevetmed.2022.105768","Hayama et al., 2022",2022,"TV/AA/SL","Transmission","Transmission_205",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Transmission parameter",NA,"Per day","SLIR","Frequency","Within-farm","Field","Avian Influenza","HPAI H5N8","Chickens","Broilers",NA,NA,NA,NA,NA,NA,0.661,0.627,0.696,"Frequentist","MLE","Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","10.1016/j.prevetmed.2022.105768","Hayama et al., 2022",2022,"TV/AA/SL","Transmission","Transmission_206",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Transmission parameter",NA,"Per day","SLIR","Frequency","Within-farm","Field","Avian Influenza","HPAI H5N8","Chickens","Broilers",NA,NA,NA,NA,NA,NA,1.54,1.436,1.652,"Frequentist","MLE","Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","10.1016/j.prevetmed.2022.105768","Hayama et al., 2022",2022,"TV/AA/SL","Transmission","Transmission_207",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Transmission parameter",NA,"Per day","SLIR","Frequency","Within-farm","Field","Avian Influenza","HPAI H5N8","Chickens","Broilers",NA,NA,NA,NA,NA,NA,0.978,0.95,1.007,"Frequentist","MLE","Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","10.1016/j.prevetmed.2022.105768","Hayama et al., 2022",2022,"TV/AA/SL","Transmission","Transmission_208",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Transmission parameter",NA,"Per day","SLIR","Frequency","Within-farm","Field","Avian Influenza","HPAI H5N8","Chickens","Broilers",NA,NA,NA,NA,NA,NA,1.004,0.952,1.059,"Frequentist","MLE","Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","10.1016/j.prevetmed.2022.105768","Hayama et al., 2022",2022,"TV/AA/SL","Transmission","Transmission_209",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Transmission parameter",NA,"Per day","SLIR","Frequency","Within-farm","Field","Avian Influenza","HPAI H5N8","Chickens","Broilers",NA,NA,NA,NA,NA,NA,1.427,1.355,1.502,"Frequentist","MLE","Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","10.1016/j.prevetmed.2022.105768","Hayama et al., 2022",2022,"TV/AA/SL","Transmission","Transmission_210",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Transmission parameter",NA,"Per day","SLIR","Frequency","Within-farm","Field","Avian Influenza","HPAI H5N8","Chickens","Broilers",NA,NA,NA,NA,NA,NA,1.471,1.385,1.563,"Frequentist","MLE","Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","10.1016/j.prevetmed.2022.105768","Hayama et al., 2022",2022,"TV/AA/SL","Transmission","Transmission_211",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Transmission parameter",NA,"Per day","SLIR","Frequency","Within-farm","Field","Avian Influenza","HPAI H5N8","Chickens","Broilers",NA,NA,NA,NA,NA,NA,1.83,1.723,1.944,"Frequentist","MLE","Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","10.1016/j.prevetmed.2022.105768","Hayama et al., 2022",2022,"TV/AA/SL","Transmission","Transmission_212",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Transmission parameter",NA,"Per day","SLIR","Frequency","Within-farm","Field","Avian Influenza","HPAI H5N8","Chickens","Broilers",NA,NA,NA,NA,NA,NA,1.021,0.961,1.084,"Frequentist","MLE","Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","10.1016/j.prevetmed.2022.105768","Hayama et al., 2022",2022,"TV/AA/SL","Transmission","Transmission_213",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Transmission parameter",NA,"Per day","SLIR","Frequency","Within-farm","Field","Avian Influenza","HPAI H5N8","Chickens","Broilers",NA,NA,NA,NA,NA,NA,1.69,1.591,1.795,"Frequentist","MLE","Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","10.1016/j.prevetmed.2022.105768","Hayama et al., 2022",2022,"TV/AA/SL","Transmission","Transmission_214",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Transmission parameter",NA,"Per individual per year","SIR","Density","Between-bird","Field","Avian Influenza","HPAI H5Nx","Poultry",NA,NA,NA,NA,NA,NA,NA,1.882e-08,NA,NA,"Frequentist","Least squares","Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","10.1142/s1793524522500589","Chen et al., 2022",2022,"TV/AA/SL","Transmission","Transmission_215",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Transmission parameter",NA,"Per farm per day","SLIR","Density","Between-farm","Field","Avian Influenza","HPAI H7N1","Chickens","Layers",NA,NA,"Phase 1",NA,NA,NA,0.0155,0.0078,0.0232,"Frequentist","MLE","Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","10.1016/j.epidem.2010.01.002","Dorigatti et al., 2010",2010,"TV/AA/SL","Transmission","Transmission_216",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Transmission parameter",NA,"Per farm per day","SLIR","Density","Between-farm","Field","Avian Influenza","HPAI H7N1","Turkeys","Broilers",NA,NA,"Phase 1",NA,NA,NA,0.0113,0.0057,0.0169,"Frequentist","MLE","Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","10.1016/j.epidem.2010.01.002","Dorigatti et al., 2010",2010,"TV/AA/SL","Transmission","Transmission_217",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Transmission parameter",NA,"Per farm per day","SLIR","Density","Between-farm","Field","Avian Influenza","HPAI H7N1","Chickens","Broilers",NA,NA,"Phase 1",NA,NA,NA,0.0015,8e-04,0.0023,"Frequentist","MLE","Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","10.1016/j.epidem.2010.01.002","Dorigatti et al., 2010",2010,"TV/AA/SL","Transmission","Transmission_218",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Transmission parameter",NA,"Per farm per day","SLIR","Density","Between-farm","Field","Avian Influenza","HPAI H7N1","Chickens, Turkeys","Breeders",NA,NA,"Phase 1",NA,NA,NA,0.0085,0.0043,0.0128,"Frequentist","MLE","Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","10.1016/j.epidem.2010.01.002","Dorigatti et al., 2010",2010,"TV/AA/SL","Transmission","Transmission_219",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Transmission parameter",NA,"Per farm per day","SLIR","Density","Between-farm","Field","Avian Influenza","HPAI H7N1","Others",NA,NA,NA,"Phase 1",NA,NA,NA,0.0018,9e-04,0.0028,"Frequentist","MLE","Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","10.1016/j.epidem.2010.01.002","Dorigatti et al., 2010",2010,"TV/AA/SL","Transmission","Transmission_220",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Transmission parameter",NA,"Per farm per day","SLIR","Density","Between-farm","Field","Avian Influenza","HPAI H7N1","Chickens","Layers",NA,NA,"Phase 2",NA,NA,NA,0.009,0.0045,0.0135,"Frequentist","MLE","Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","10.1016/j.epidem.2010.01.002","Dorigatti et al., 2010",2010,"TV/AA/SL","Transmission","Transmission_221",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Transmission parameter",NA,"Per farm per day","SLIR","Density","Between-farm","Field","Avian Influenza","HPAI H7N1","Turkeys","Broilers",NA,NA,"Phase 2",NA,NA,NA,0.0065,0.0033,0.0098,"Frequentist","MLE","Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","10.1016/j.epidem.2010.01.002","Dorigatti et al., 2010",2010,"TV/AA/SL","Transmission","Transmission_222",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Transmission parameter",NA,"Per farm per day","SLIR","Density","Between-farm","Field","Avian Influenza","HPAI H7N1","Chickens","Broilers",NA,NA,"Phase 2",NA,NA,NA,9e-04,5e-04,0.0013,"Frequentist","MLE","Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","10.1016/j.epidem.2010.01.002","Dorigatti et al., 2010",2010,"TV/AA/SL","Transmission","Transmission_223",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Transmission parameter",NA,"Per farm per day","SLIR","Density","Between-farm","Field","Avian Influenza","HPAI H7N1","Chickens, Turkeys","Breeders",NA,NA,"Phase 2",NA,NA,NA,0.0049,0.0025,0.0074,"Frequentist","MLE","Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","10.1016/j.epidem.2010.01.002","Dorigatti et al., 2010",2010,"TV/AA/SL","Transmission","Transmission_224",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Transmission parameter",NA,"Per farm per day","SLIR","Density","Between-farm","Field","Avian Influenza","HPAI H7N1","Others",NA,NA,NA,"Phase 2",NA,NA,NA,0.001,5e-04,0.0016,"Frequentist","MLE","Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","10.1016/j.epidem.2010.01.002","Dorigatti et al., 2010",2010,"TV/AA/SL","Transmission","Transmission_225",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Transmission parameter",NA,"Per farm per day","SLIR","Density","Between-farm","Field","Avian Influenza","HPAI H7N3","Poultry","Backyard",NA,NA,"From backyard",NA,NA,NA,0,NA,NA,"Frequentist","MLE","Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","10.1016/j.epidem.2011.01.003","Smith et al., 2011",2011,"TV/AA/SL","Transmission","Transmission_226",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Transmission parameter",NA,"Per farm per day","SLIR","Density","Between-farm","Field","Avian Influenza","HPAI H7N3","Poultry","Backyard",NA,NA,"From commercial",NA,NA,NA,0.000166,NA,NA,"Frequentist","MLE","Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","10.1016/j.epidem.2011.01.003","Smith et al., 2011",2011,"TV/AA/SL","Transmission","Transmission_227",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Transmission parameter",NA,"Per farm per day","SLIR","Density","Between-farm","Field","Avian Influenza","HPAI H7N3","Poultry","Commercial",NA,NA,"From backyard",NA,NA,NA,0.00238,NA,NA,"Frequentist","MLE","Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","10.1016/j.epidem.2011.01.003","Smith et al., 2011",2011,"TV/AA/SL","Transmission","Transmission_228",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Transmission parameter",NA,"Per farm per day","SLIR","Density","Between-farm","Field","Avian Influenza","HPAI H7N3","Poultry","Commercial",NA,NA,"From commercial",NA,NA,NA,0.000505,NA,NA,"Frequentist","MLE","Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","10.1016/j.epidem.2011.01.003","Smith et al., 2011",2011,"TV/AA/SL","Transmission","Transmission_229",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Transmission parameter",NA,"Per farm per day","SLIR","Density","Between-farm","Field","Avian Influenza","HPAI H7N7","Poultry",NA,NA,NA,"Short-range, pre-control period",NA,NA,NA,0.336,NA,NA,"Frequentist","MLE","Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","10.1098/rspb.2006.3609","Le Menach et al., 2006",2006,"TV/AA/SL","Transmission","Transmission_230",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Transmission parameter",NA,"Per farm per day","SLIR","Density","Between-farm","Field","Avian Influenza","HPAI H7N7","Poultry",NA,NA,NA,"Medium-range, pre-control period",NA,NA,NA,0.292,NA,NA,"Frequentist","MLE","Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","10.1098/rspb.2006.3609","Le Menach et al., 2006",2006,"TV/AA/SL","Transmission","Transmission_231",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Transmission parameter",NA,"Per farm per day","SLIR","Density","Between-farm","Field","Avian Influenza","HPAI H7N7","Poultry",NA,NA,NA,"Long-range, pre-control period",NA,NA,NA,0.076,NA,NA,"Frequentist","MLE","Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","10.1098/rspb.2006.3609","Le Menach et al., 2006",2006,"TV/AA/SL","Transmission","Transmission_232",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Transmission parameter",NA,"Per farm per day","SLIR","Density","Between-farm","Field","Avian Influenza","HPAI H7N7","Poultry",NA,NA,NA,"Short-range, control period",NA,NA,NA,0.13,NA,NA,"Frequentist","MLE","Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","10.1098/rspb.2006.3609","Le Menach et al., 2006",2006,"TV/AA/SL","Transmission","Transmission_233",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Transmission parameter",NA,"Per farm per day","SLIR","Density","Between-farm","Field","Avian Influenza","HPAI H7N7","Poultry",NA,NA,NA,"Medium-range, control period",NA,NA,NA,0.162,NA,NA,"Frequentist","MLE","Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","10.1098/rspb.2006.3609","Le Menach et al., 2006",2006,"TV/AA/SL","Transmission","Transmission_234",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Transmission parameter",NA,"Per farm per day","SLIR","Density","Between-farm","Field","Avian Influenza","HPAI H7N7","Poultry",NA,NA,NA,"Long-range, control period",NA,NA,NA,0.016,NA,NA,"Frequentist","MLE","Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","10.1098/rspb.2006.3609","Le Menach et al., 2006",2006,"TV/AA/SL","Transmission","Transmission_235",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Transmission parameter",NA,"Per farm per day","SLIR","Density","Between-farm","Field","Avian Influenza","HPAI H7N7","Poultry",NA,NA,NA,NA,NA,NA,NA,0.002,0.0012,0.0039,"Frequentist","MLE","Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","10.1371/journal.pcbi.0030071","Boender et al., 2007",2007,"TV/AA/SL","Transmission","Transmission_236",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Transmission parameter",NA,"Per farm per day","SLIR","Density","Between-farm","Field","Avian Influenza","HPAI H7N7","Poultry",NA,NA,NA,NA,NA,NA,NA,0.00017,0.00015,2e-04,"Frequentist","MLE","Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","10.1016/j.prevetmed.2008.10.007","Bavinck et al., 2009",2009,"TV/AA/SL","Transmission","Transmission_237",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Transmission parameter",NA,"Per day","SLIR","Frequency","Within-farm","Field","Avian Influenza","HPAI H7N7","Chickens, Ducks, Turkeys",NA,NA,NA,NA,NA,NA,NA,1.9,0.61,8.1,"Frequentist","MLE","Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","10.1016/j.prevetmed.2015.06.006","Backer et al., 2015",2015,"TV/AA/SL","Transmission","Transmission_238",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Transmission parameter",NA,"Per farm per day","SLIR","Density","Between-farm","Field","Avian Influenza","HPAI H7N7","Chickens, Ducks, Turkeys",NA,NA,NA,NA,NA,NA,NA,0.0039,0.0023,0.0076,"Frequentist","MLE","Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","10.1016/j.prevetmed.2015.06.006","Backer et al., 2015",2015,"TV/AA/SL","Transmission","Transmission_239",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Transmission parameter",NA,"Per day","SLIR","Frequency","Within-farm","Field","Avian Influenza","LPAI H5N2","Turkeys","Broilers",NA,NA,NA,NA,NA,NA,3.9,1.2,5.8,"Bayesian","Grid-based method","Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","10.1038/s41598-021-81254-z","Bonney et al., 2021",2021,"TV/AA/SL","Transmission","Transmission_240",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Transmission parameter",NA,"Per day","SLIR","Frequency","Within-farm","Field","Avian Influenza","LPAI H5N2","Turkeys","Broilers",NA,NA,NA,NA,NA,NA,1.2,0.5,5,"Bayesian","Grid-based method","Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","10.1038/s41598-021-81254-z","Bonney et al., 2021",2021,"TV/AA/SL","Transmission","Transmission_241",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Transmission parameter",NA,"Per day","SLIR","Frequency","Within-farm","Field","Avian Influenza","LPAI H5N2","Turkeys","Broilers",NA,NA,NA,NA,NA,NA,1,0.5,4.1,"Bayesian","Grid-based method","Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","10.1038/s41598-021-81254-z","Bonney et al., 2021",2021,"TV/AA/SL","Transmission","Transmission_242",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Transmission parameter",NA,"Per day","SLIR","Frequency","Within-farm","Field","Avian Influenza","LPAI H5N2","Turkeys","Broilers",NA,NA,NA,NA,NA,NA,0.6,0.4,1,"Bayesian","Grid-based method","Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","10.1038/s41598-021-81254-z","Bonney et al., 2021",2021,"TV/AA/SL","Transmission","Transmission_243",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Transmission parameter",NA,"Per day","SLIR","Frequency","Within-farm","Field","Avian Influenza","LPAI H5N2","Turkeys","Broilers",NA,NA,NA,NA,NA,NA,3.9,1.2,5.8,"Bayesian","Grid-based method","Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","10.1038/s41598-021-81254-z","Bonney et al., 2021",2021,"TV/AA/SL","Transmission","Transmission_244",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Transmission parameter",NA,"Per day","SIR","Frequency","Between-bird","Field","Avian Influenza","LPAI H7N9","Chickens",NA,NA,NA,NA,NA,NA,NA,0.49,NA,NA,"Bayesian","SMC","Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","10.2807/1560-7917.es.2017.22.7.30462","Li et al., 2017",2017,"TV/AA/SL","Transmission","Transmission_245",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Transmission parameter",NA,"Per day","SIR","Frequency","Between-bird","Field","Avian Influenza","LPAI H7N9","Chickens",NA,NA,NA,NA,NA,NA,NA,0.32,NA,NA,"Bayesian","SMC","Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","10.2807/1560-7917.es.2017.22.7.30462","Li et al., 2017",2017,"TV/AA/SL","Transmission","Transmission_246",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Transmission parameter",NA,"Per day","SIR","Frequency","Between-bird","Field","Avian Influenza","LPAI H7N9","Chickens",NA,NA,NA,NA,NA,NA,NA,0.22,NA,NA,"Bayesian","SMC","Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","10.2807/1560-7917.es.2017.22.7.30462","Li et al., 2017",2017,"TV/AA/SL","Transmission","Transmission_247",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Transmission parameter",NA,"Per day","SIR","Frequency","Between-bird","Field","Avian Influenza","LPAI H7N9","Chickens",NA,NA,NA,NA,NA,NA,NA,0.28,NA,NA,"Bayesian","SMC","Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","10.2807/1560-7917.es.2017.22.7.30462","Li et al., 2017",2017,"TV/AA/SL","Transmission","Transmission_248",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Transmission parameter",NA,"Per day","SIR","Frequency","Between-bird","Field","Avian Influenza","LPAI H7N9","Chickens",NA,NA,NA,NA,NA,NA,NA,0.31,NA,NA,"Bayesian","SMC","Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","10.2807/1560-7917.es.2017.22.7.30462","Li et al., 2017",2017,"TV/AA/SL","Transmission","Transmission_249",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Transmission parameter",NA,"Per month","SIR","Other (environment)","Environment-to-bird","Field","Avian Influenza","LPAI/HPAI H7N9","Poultry",NA,NA,NA,NA,NA,NA,NA,5.15e-10,NA,NA,NA,NA,"Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","10.3934/mbe.2019170","Bai et al., 2019",2019,"TV/AA/SL","Transmission","Transmission_250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Transmission parameter",NA,"Per month","SIR","Other (environment)","Environment-to-bird","Field","Avian Influenza","LPAI/HPAI H7N9","Poultry",NA,NA,NA,NA,NA,NA,NA,1.992e-09,NA,NA,NA,NA,"Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","10.3934/mbe.2019170","Bai et al., 2019",2019,"TV/AA/SL","Transmission","Transmission_251",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Transmission parameter",NA,"Per week","SIR","Frequency","Between-bird","Field","Avian Influenza","LPAI/HPAI H7N9","Poultry",NA,NA,NA,NA,NA,NA,NA,1.532,NA,NA,"Bayesian","MCMC","Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","10.1016/j.envres.2020.110465","Zhu et al., 2021",2021,"TV/AA/SL","Transmission","Transmission_252",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
